Sequence	CB_Domain	Between_CB_and_CAT_Domains	CAT_Domain	Total_Length
endocarpon.pusillum.2_tyr109	96	29	224	577
endocarpon.pusillum.2_tyr1208	96	30	238	693
endocarpon.pusillum.2_tyr1874	77	29	227	1221
gypsoplaca.macrophylla.1_tyr2626	96	30	238	679
gyalolechia.sp..2_tyr1934	39	18	221	331
endocarpon.pusillum.3_tyr187	83	29	178	524
endocarpon.pusillum.2_tyr350	96	30	238	791
sticta.canariensis.1_tyr1098	89	30	209	633
gyalecta.farlowii.1_tyr1367	96	30	238	966
phlyctis.petraea.1_tyr3429	77	30	238	642
umbilicaria.mammulata.1_tyr2778	68	14	238	634
melanina.sp..1_tyr579	0	14	241	837
cladophialophora.sp..2_tyr3779	90	30	224	982
dermiscellum.oulocheilum.1_tyr302	0	15	238	495
endocarpon.pusillum.3_tyr1094	0	13	231	645
melanina.sp..2_tyr361	0	23	238	552
melanina.sp..2_tyr580	0	23	238	552
melanina.sp..2_tyr4104	0	23	238	552
melanina.sp..2_tyr2558	98	30	238	725
umbilicaria.freyi.1_tyr3723	80	30	233	620
rhizocarpon.geographicum.1_tyr3008	42	18	220	449
botryolepraria.lesdainii.1_tyr1357	35	29	209	616
umbilicaria.polyphylla.2_tyr2880	49	29	217	354
puttea.exsequens.2_tyr3329	86	29	205	586
puttea.exsequens.1_tyr3752	86	29	205	586
gomame1_CAF9918205.1	53	29	239	364
gomphillus.americanus.2_tyr699	54	29	256	703
gomphillus.americanus.1_tyr3352	54	29	256	703
gomphillus.calycioides.1_tyr3850	54	29	221	578
gomphillus.americanus.1_tyr1052	54	15	226	319
gomphillus.americanus.2_tyr1204	54	15	226	319
peltigera.leucophlebia.1_tyr2605	0	3	171	215
gyalecta.farlowii.1_tyr3918	91	25	177	330
stictis.urceolata.1_tyr3	52	23	213	622
stictis.urceolata.2_tyr3841	52	23	213	622
stictis.urceolata.2_tyr519	49	29	212	573
stictis.urceolata.1_tyr1936	49	29	212	573
evernia.divaricata.1_tyr91	65	16	166	553
alectoria.sarmentosa.3_tyr1880	71	29	215	675
alectoria.sarmentosa.4_tyr2248	71	29	215	675
pseudevernia.cladonia.1_tyr2154	63	14	190	401
alectoria.sarmentosa.2_tyr3470	105	30	214	657
parmotrema.xanthinum.1_tyr3941	90	18	214	630
hypogymnia.vittata.1_tyr3028	51	29	214	585
parmeliaceae.sp..22_tyr4031	51	29	214	585
melanelia.culbersonii.1_tyr901	51	19	182	478
heterodermia.sp..3_tyr809	26	29	252	651
leucodermia.appalachiensis.1_tyr1199	26	29	252	651
pseudephebe.minuscula.1_tyr3983	7	0	165	520
cladonia.ochrochlora.1_tyr483	0	0	173	540
umbilicaria.deusta.1_tyr129	52	29	231	646
umbilicaria.deusta.3_tyr134	52	29	231	646
umbilicaria.deusta.2_tyr2074	52	29	231	646
umbilicaria.crustulosa.1_tyr445	4	0	218	228
umbilicaria.crustulosa.2_tyr1384	0	0	223	229
icmadophila.ericetorum.1_tyr760	40	16	205	550
umbilicaria.polyphylla.4_tyr1695	0	0	179	363
umbilicaria.iberica.1_tyr3829	0	0	179	410
umbilicaria.polyphylla.2_tyr4153	0	9	202	442
umbilicaria.iberica.2_tyr3683	0	0	173	395
umbilicaria.subpolyphylla.1_tyr3994	0	0	173	395
umbilicaria.deusta.1_tyr3545	52	25	214	597
umbilicaria.deusta.2_tyr3548	52	25	214	597
umbilicaria.deusta.3_tyr4087	52	25	214	597
umbilicaria.subpolyphylla.1_tyr996	0	0	167	395
umbilicaria.iberica.2_tyr2670	0	0	167	395
umbilicaria.crustulosa.2_tyr2752	0	9	145	219
umbilicaria.crustulosa.2_tyr1336	62	14	178	340
umbilicaria.crustulosa.2_tyr2366	74	30	208	473
micareopsis.irriguata.1_tyr332	42	29	238	651
lecanora.rugosella.1_tyr1097	52	28	262	694
polyblastidium.squamulosum.1_tyr1128	51	15	124	431
physciaceae.sp..4_tyr1550	51	15	124	431
xylographa.carneopallida.2_tyr322	63	15	210	602
xylographa.carneopallida.1_tyr2106	63	15	210	602
lignoscripta.atroalba.1_tyr1779	65	29	184	356
lignoscripta.atroalba.2_tyr2436	65	29	184	356
dibaeis.sorediata.1_tyr822	112	31	230	736
platismatia.glauca.2_tyr870	53	30	270	524
platismatia.glauca.1_tyr3810	53	30	270	524
platismatia.glauca.3_tyr3764	53	30	270	524
cetrelia.chicitae.1_tyr924	59	30	214	577
cladonia.sp..6_tyr1274	105	30	206	500
cladonia.sp..7_tyr3011	105	30	206	500
cladonia.sp..7_tyr4148	105	30	206	500
cladonia.pyxidata.1_tyr1813	105	30	213	666
cladonia.grayi.1_tyr2378	105	30	213	648
cladonia.diversa.1_tyr3620	103	30	213	646
cladonia.metacorallifera.1_tyr3646	105	30	214	651
cladonia.diversa.2_tyr3629	76	30	213	515
leprocaulales.sp..1_tyr3963	103	30	214	621
lepraria.neglecta.1_tyr2380	104	30	214	624
lecidella.sp..1_tyr3667	57	30	214	583
usnochroma.carphineum.1_tyr2193	72	15	187	520
circinaria.calcarea.1_tyr662	52	20	214	545
mycoblastus.sanguinarius.1_tyr374	55	15	216	797
mycoblastus.sanguinarius.2_tyr1893	55	15	216	797
bulbothrix.scortella.1_tyr3897	54	11	162	415
cladonia.petrophila.1_tyr686	54	29	201	614
cladonia.sp..3_tyr3587	54	29	201	614
stereocaulon.virgatum.1_tyr1566	53	29	248	691
baeomycetales.sp..4_tyr2003	33	29	244	656
byssoloma.meadii.1_tyr1150	54	29	228	641
psora.testacea.1_tyr1362	51	29	215	571
xanthoria.sp..2_tyr2313	60	29	245	600
stereocaulon.dactylophyllum.1_tyr3962	54	29	169	507
phlyctis.petraea.1_tyr2918	52	29	238	600
acanthothecis.fontana.1_tyr3987	45	30	244	675
fissurina.insidiosa.1_tyr3797	98	27	205	611
baeomycetales.sp..4_tyr3271	60	30	211	605
phlyctis.speirea.1_tyr1966	71	29	227	606
puttea.exsequens.1_tyr619	50	20	196	448
puttea.exsequens.2_tyr973	50	20	196	448
lecanorales.sp..4_tyr1332	96	29	244	794
lecanoromycetes.sp..5_tyr2228	52	29	235	676
lecanora.subimmergens.1_tyr3085	52	29	235	676
phlyctis.petraea.1_tyr590	52	29	199	632
fissurina.insidiosa.1_tyr4178	52	29	266	659
pertusaria.plittiana.1_tyr2716	52	29	222	637
acanthothecis.fontana.1_tyr1575	52	27	242	671
cladonia.kurokawae.1_tyr218	0	0	124	287
cladonia.uncialis.1_tyr3676	42	14	175	489
hypotrachyna.catawbiensis.1_tyr70	71	30	236	684
parmeliaceae.sp..16_tyr251	0	0	175	225
hypotrachyna.osseoalba.1_tyr3345	0	0	206	256
alectoria.ochroleuca.1_tyr213	100	30	216	653
hypogymnia.physodes.1_tyr649	103	29	238	424
usnea.ceratina.2_tyr3511	8	0	171	205
parmeliaceae.sp..19_tyr1117	67	29	212	536
lecanoromycetes.sp..5_tyr907	83	18	234	687
lecanora.subimmergens.1_tyr2969	83	18	234	687
protoblastenia.rupestris.2_tyr3986	50	7	192	372
lecanorales.sp..6_tyr3448	50	29	238	673
micareopsis.irriguata.1_tyr744	51	18	142	382
rhizocarpon.geographicum.1_tyr1674	39	28	189	463
psora.testacea.1_tyr3628	96	30	248	551
lecanorales.sp..6_tyr3950	96	17	231	380
lecanora.helva.1_tyr587	78	29	226	695
lecanora.helva.1_tyr1660	81	45	233	630
buellia.spuria.2_tyr2143	47	12	206	533
lecanora.atra.1_tyr4123	50	29	222	621
umbilicaria.hispanica.4_tyr3617	53	29	207	584
umbilicaria.polyphylla.1_tyr2011	0	0	161	268
umbilicaria.crustulosa.2_tyr1381	0	0	170	450
obscuroplaca.camptidia.1_tyr3126	57	45	211	649
dirinaria.sp..2_tyr3979	81	31	247	731
xanthoria.steineri.1_tyr393	87	36	236	780
scaffold_007362-T1	90	36	236	741
gyalolechia.ehrenbergii.1_tyr3397	74	30	239	594
XpGTX0501_010485-T1	0	9	232	243
xanthoria.mediterranea.1_tyr1163	50	29	201	563
squamulea.squamosa.1_tyr3214	73	30	239	716
OZ2100_008954-T1	0	0	160	320
puttea.exsequens.1_tyr618	61	29	211	528
puttea.exsequens.2_tyr972	61	29	211	528
nadvornikia.sorediata.1_tyr1018	53	29	216	631
thelotrema.lepadinum.2_tyr2220	50	29	178	592
thelotrema.lepadinum.1_tyr2472	50	29	178	592
agyrium.rufum.1_tyr1948	45	25	191	462
cladonia.sp..7_tyr1450	0	7	189	239
cladonia.sp..6_tyr4014	0	7	189	239
platismatia.glauca.2_tyr27	0	14	213	267
platismatia.glauca.1_tyr1356	0	14	213	267
platismatia.glauca.3_tyr2772	0	14	213	267
cladonia.kurokawae.1_tyr1067	1	11	232	307
pseudosagedia.isidiata.1_tyr707	69	28	205	656
lecanora.oreinoides.1_tyr3125	50	30	176	296
psora.testacea.1_tyr2544	63	13	154	429
gomphillus.americanus.2_tyr748	0	0	163	599
gomphillus.americanus.1_tyr3818	0	0	163	599
gomphillus.calycioides.1_tyr3074	1	0	176	611
thelotrema.subtile.1_tyr73	0	0	214	489
nadvornikia.sorediata.1_tyr544	0	0	219	583
thelotrema.lepadinum.1_tyr2043	0	0	221	576
thelotrema.lepadinum.2_tyr2840	0	0	221	576
stictis.urceolata.1_tyr685	0	0	197	533
stictis.urceolata.2_tyr2309	0	0	227	572
fissurina.insidiosa.1_tyr2126	0	0	222	581
stictis.urceolata.1_tyr1911	0	9	250	281
stictis.urceolata.2_tyr2470	0	9	250	281
phlyctis.speirea.1_tyr496	0	3	198	562
gomphillus.calycioides.1_tyr2044	0	0	218	577
lecanoromycetes.sp..5_tyr215	0	14	209	541
lecanora.subimmergens.1_tyr3208	0	14	209	541
lecanora.markjohnstonii.1_tyr3716	0	14	207	545
teloschistes.exilis.3_tyr2165	0	21	223	571
flavoplaca.marina.2_tyr690	0	78	277	677
flavoplaca.marina.2_tyr860	0	78	277	677
flavoplaca.marina.2_tyr1181	0	78	277	677
flavoplaca.marina.2_tyr1418	0	78	277	677
flavoplaca.marina.2_tyr1595	0	78	277	677
flavoplaca.marina.2_tyr1818	0	78	277	677
flavoplaca.marina.2_tyr2364	0	78	277	677
flavoplaca.marina.2_tyr2416	0	78	277	677
flavoplaca.marina.2_tyr2722	0	78	277	677
flavoplaca.marina.2_tyr2838	0	78	277	677
flavoplaca.marina.2_tyr3459	0	78	277	677
flavoplaca.marina.2_tyr3512	0	78	277	677
flavoplaca.marina.2_tyr3645	0	78	277	677
flavoplaca.marina.2_tyr3773	0	78	277	677
flavoplaca.marina.2_tyr3774	0	78	277	677
flavoplaca.marina.2_tyr3904	0	78	277	677
flavoplaca.marina.2_tyr3910	0	78	277	677
flavoplaca.marina.2_tyr4119	0	78	277	677
flavoplaca.marina.2_tyr1895	0	78	277	677
flavoplaca.marina.2_tyr3169	0	78	277	643
flavoplaca.oasis.1_tyr3190	0	78	277	677
flavoplaca.marina.2_tyr3656	0	9	277	630
gyalolechia.fulgens.1_tyr1884	0	17	214	555
teloschistes.exilis.3_tyr1430	0	72	240	348
teloschistes.exilis.1_tyr3279	0	0	222	257
teloschistes.exilis.2_tyr3635	0	0	222	257
gyalolechia.sp..1_tyr1287	0	5	239	563
brigantiaea.leucoxantha.2_tyr1373	0	15	255	586
brigantiaea.leucoxantha.1_tyr3736	0	15	245	578
brigantiaea.leucoxantha.1_tyr3404	0	15	211	540
flavoplaca.marina.2_tyr1166	0	0	232	508
melanohalea.halei.1_tyr1353	0	14	212	580
hypotrachyna.osseoalba.1_tyr3563	7	31	209	573
cetrelia.olivetorum.1_tyr1650	0	14	203	536
parmelia.squarrosa.1_tyr1871	0	14	205	588
letharia.lupina.1_tyr2135	0	1	208	273
letharia.vulpina.1_tyr3504	0	0	198	333
pectenia.cyanoloma.1_tyr365	0	0	290	485
leptogium.corticola.1_tyr1821	62	29	255	734
leptogium.corticola.1_tyr2029	81	29	264	794
phlyctis.petraea.1_tyr677	81	29	259	487
buellia.spuria.2_tyr3032	81	30	281	878
endocarpon.pusillum.1_tyr2774	81	30	264	1336
umbilicaria.muhlenbergii.1_tyr4002	80	30	288	982
umbilicaria.crustulosa.3_tyr2056	50	21	198	661
dimelaena.oreina.1_tyr4063	49	29	273	1213
solorina.crocea.1_tyr2839	53	14	241	630
agyrium.rufum.1_tyr1892	0	0	193	501
muellerella.sp..1_tyr85	102	47	222	685
melanelia.culbersonii.1_tyr1605	1	0	121	298
penant1_11477	1	22	216	282
aspaff1_tyr365	0	0	171	194
aspthe1_tyr2953	75	30	243	411
acarospora.socialis.1_tyr836	2	0	160	292
cyanodermella.asteris.1_tyr1868	0	3	199	550
coltru1_KAF6782444.1	68	31	194	361
chasp.7_RMZ91819.1	59	23	229	365
orboli2_tyr8545	0	0	191	201
blaper1_5625	57	29	254	340
umbilicaria.muhlenbergii.1_tyr2675	3	20	391	713
acarospora.strigata.1_tyr462	56	9	193	351
acarospora.strigata.2_tyr842	56	9	193	351
pleopsidium.flavum.1_tyr2871	31	28	193	316
variospora.aurantia.1_tyr837	54	5	179	238
variospora.flavescens.1_tyr4146	54	24	192	363
buellia.spuria.2_tyr1302	54	25	165	352
caloplaca.sp..2_tyr1451	49	9	149	230
lecidea.sp..1_tyr1182	36	24	147	314
porpidia.macrocarpa.1_tyr2736	55	28	178	368
acarospora.socialis.1_tyr2417	42	28	150	327
micareopsis.irriguata.1_tyr2991	27	28	140	299
physciaceae.sp..3_tyr1922	43	19	118	226
mobergia.calculiformis.1_tyr3516	43	19	118	226
xanthoria.sp..2_tyr418	74	29	311	730
xanthoria.sp..1_tyr3059	81	29	267	449
gyalolechia.gomerana.1_tyr3154	73	29	197	343
gyalolechia.ehrenbergii.1_tyr2514	0	9	205	520
xanthoparmelia.verrucella.1_tyr431	70	29	230	652
umbilicaria.hispanica.3_tyr420	44	29	267	367
umbilicaria.hispanica.1_tyr3308	44	29	267	367
umbilicaria.hispanica.2_tyr3324	44	29	267	367
lasallia.pustulata.7_tyr2471	44	13	268	569
lasallia.pustulata.6_tyr2737	44	13	268	569
lasallia.pustulata.5_tyr4132	44	13	268	569
lasallia.pustulata.2_tyr2820	44	29	186	503
lasallia.pustulata.3_tyr3966	44	29	186	503
umbilicaria.hispanica.4_tyr2335	44	29	160	478
solorina.crocea.1_tyr3631	27	29	200	494
dendriscocaulon.intricatulum.1_tyr3949	94	25	160	602
dirinaria.sp..2_tyr2060	45	12	252	575
gyalolechia.marmorata.1_tyr1245	61	29	176	397
porpidia.albocaerulescens.1_tyr3320	0	10	146	402
heterodermia.echinata.1_tyr1896	70	29	286	723
heterodermia.sp..1_tyr3580	70	29	286	723
xanthoparmelia.tasmanica.1_tyr2842	45	13	266	528
umbilicaria.crustulosa.1_tyr449	94	29	315	469
umbilicaria.crustulosa.2_tyr1383	66	29	315	435
umbilicaria.crustulosa.3_tyr2756	94	29	315	469
pleopsidium.flavum.1_tyr1541	27	29	267	355
acarospora.strigata.2_tyr1465	70	26	274	663
acarospora.strigata.1_tyr1553	70	26	274	663
phaeophyscia.squarrosa.1_tyr3355	2	0	201	513
diploschistes.diacapsis.1_tyr1681	9	0	87	212
lecanora.albella.1_tyr331	53	29	247	634
lecanora.strobilina.1_tyr1712	41	23	258	598
lecanoromycetes.sp..5_tyr3245	52	29	246	625
peltigera.hydrothyria.1_tyr3437	55	29	238	616
arthonia.rubella.1_tyr891	5	10	226	534
umbpus1_102502	74	29	239	420
umbilicaria.spodochroa.4_tyr282	37	29	275	411
lasallia.pustulata.6_tyr312	77	13	268	449
lasallia.pustulata.3_tyr488	77	0	256	427
lasallia.pustulata.4_tyr597	77	0	256	427
lasallia.pustulata.2_tyr1745	77	0	256	427
lasallia.pustulata.1_tyr1313	77	0	256	427
lasallia.pustulata.5_tyr1846	77	0	256	427
lasallia.pustulata.7_tyr2715	77	0	256	427
bacidia.gigantensis.1_tyr1200	73	29	267	394
trapelia.coarctata.1_tyr3636	29	29	267	378
stereocaulon.alpinum.1_tyr3793	64	29	255	412
xylographa.parallela.1_tyr39	81	29	338	524
pseudevernia.consocians.1_tyr1255	73	29	277	404
flavoparmelia.baltimorensis.1_tyr3090	29	29	222	351
umbilicaria.nylanderiana.1_tyr505	73	29	263	389
umbilicaria.iberica.1_tyr754	73	29	263	389
umbilicaria.nylanderiana.2_tyr3495	73	29	263	389
umbilicaria.spodochroa.3_tyr1176	55	29	326	481
umbilicaria.spodochroa.1_tyr3403	55	29	326	481
umbilicaria.crustulosa.1_tyr1414	55	29	326	481
lasallia.papulosa.1_tyr3924	55	29	326	481
acarospora.strigata.1_tyr1398	73	29	257	384
acarospora.strigata.2_tyr2042	73	29	257	384
stereocaulon.alpinum.1_tyr66	64	17	147	294
stereocaulon.dactylophyllum.1_tyr921	64	17	147	294
lepraria.finkii.1_tyr2291	83	29	326	503
stereocaulon.alpinum.1_tyr1945	73	29	289	416
lepraria.finkii.1_tyr329	83	17	250	641
cornicularia.normoerica.2_tyr2887	9	14	245	358
umbilicaria.iberica.1_tyr463	0	0	145	390
lepraria.leprolomopsis.1_tyr2773	82	15	263	624
lepraria.finkii.1_tyr295	73	27	271	388
lepraria.sp..1_tyr3866	0	3	277	299
stereocaulon.virgatum.1_tyr3063	21	16	200	438
cladonia.diversa.1_tyr882	81	16	264	650
cladonia.robbinsii.1_tyr1015	0	0	218	485
cladonia.sp..2_tyr2127	0	0	218	485
umbilicaria.polyphylla.3_tyr780	1	0	122	317
umbilicaria.crustulosa.2_tyr15	92	16	261	646
umbilicaria.spodochroa.4_tyr2689	92	16	265	650
umbilicaria.crustulosa.2_tyr830	92	16	265	650
umbilicaria.crustulosa.1_tyr205	92	16	228	613
umbilicaria.crustulosa.2_tyr2369	92	16	265	650
umbilicaria.polyphylla.3_tyr510	92	16	265	663
umbilicaria.crustulosa.2_tyr1222	92	16	265	663
lasallia.papulosa.1_tyr80	44	82	257	660
umbilicaria.deusta.2_tyr764	50	3	236	503
umbilicaria.deusta.4_tyr2080	50	3	236	503
umbilicaria.deusta.1_tyr2121	50	3	236	503
umbilicaria.deusta.3_tyr2760	50	3	236	503
umbilicaria.hispanica.2_tyr339	50	16	226	497
umbilicaria.hispanica.1_tyr2935	50	16	226	497
umbilicaria.hispanica.3_tyr2974	50	16	226	497
lasallia.pustulata.7_tyr1832	50	16	235	506
lasallia.pustulata.5_tyr3938	50	16	235	506
lasallia.pustulata.4_tyr1889	50	16	235	506
lasallia.pustulata.6_tyr3012	50	16	235	507
lasallia.pustulata.1_tyr849	50	16	239	511
lasallia.pustulata.3_tyr852	50	16	239	511
lasallia.pustulata.2_tyr2793	50	16	239	511
lasallia.pustulata.1_tyr527	92	16	236	507
lasallia.pustulata.7_tyr2661	92	16	236	507
lasallia.pustulata.5_tyr3064	92	16	236	507
lasallia.pustulata.6_tyr3360	92	16	236	503
lasallia.pustulata.2_tyr1978	92	16	239	554
lasallia.pustulata.3_tyr3870	92	16	239	554
lasallia.pustulata.4_tyr2699	92	16	239	554
lasallia.pustulata.7_tyr1579	92	16	239	984
lasallia.pustulata.5_tyr3679	92	16	239	984
lasallia.pustulata.4_tyr2700	92	16	239	984
lasallia.pustulata.1_tyr1976	92	16	239	984
lasallia.pustulata.2_tyr2478	92	16	239	984
lasallia.pustulata.3_tyr3931	92	16	239	984
lasallia.pustulata.6_tyr2949	92	16	239	519
umbilicaria.hispanica.4_tyr3745	66	7	237	469
dermiscellum.oulocheilum.1_tyr1667	14	16	253	559
buellia.mamillana.1_tyr2261	80	16	255	620
xanthoparmelia.verrucella.1_tyr2858	0	0	241	287
lepraria.neglecta.1_tyr2667	49	16	253	594
lecanora.atra.1_tyr1602	0	0	166	441
lecanoromycetes.sp..3_tyr325	0	0	146	385
xanthoria.aureola.1_tyr1297	73	16	274	645
XcGTX0491_009866-T1	73	16	274	645
gallowayella.fulva.1_tyr3268	72	16	275	645
variospora.flavescens.1_tyr2402	73	16	265	636
polycauliona.sp..2_tyr1326	72	16	263	641
OZ2100_003971-T1	72	16	275	645
XpGTX0501_007307-T1	72	16	275	645
scaffold_005633-T1	72	16	293	663
lecanora.subimmergens.1_tyr2007	0	0	146	421
lecanora.oreinoides.1_tyr3132	87	16	257	642
dirinaria.sp..1_tyr981	86	16	259	651
gyalolechia.ehrenbergii.1_tyr635	48	16	246	502
flavoplaca.marina.2_tyr1816	74	16	284	655
lecidea.sp..1_tyr1333	67	0	266	623
xanthoparmelia.plittii.1_tyr1653	29	16	176	459
teloschistes.exilis.1_tyr87	0	0	232	431
teloschistes.exilis.2_tyr3488	0	0	232	431
bulbothrix.scortella.1_tyr1497	13	16	188	288
teloschistes.exilis.2_tyr2742	90	29	270	463
teloschistes.exilis.1_tyr2992	90	29	270	463
teloschistes.exilis.3_tyr3078	72	13	241	347
umbilicaria.deusta.4_tyr3554	55	16	243	369
baeomycetales.sp..4_tyr1767	47	16	262	607
leptogium.corticola.1_tyr2099	55	22	289	437
leptogium.austroamericanum.2_tyr4156	73	21	354	788
rhizocarpon.geographicum.1_tyr1673	71	16	260	619
peltigera.aphthosa.1_tyr3761	50	10	299	443
thelotrema.lepadinum.1_tyr491	0	0	146	346
thelotrema.lepadinum.2_tyr2343	0	0	146	346
arthonia.susa.1_tyr612	54	25	382	781
opegrapha.moroziana.1_tyr668	54	29	373	799
umbilicaria.polyphylla.4_tyr3789	0	0	181	292
wetmoreana.brouardii.1_tyr3494	37	10	160	358
rusavskia.elegans.1_tyr3814	55	29	270	380
xanthoparmelia.plittii.1_tyr1652	29	29	270	389
parmeliaceae.sp..19_tyr3079	29	29	270	389
buellia.spuria.2_tyr3581	9	28	263	369
rinodina.dolichospora.1_tyr97	62	52	305	438
buellia.mamillana.1_tyr876	0	13	256	340
lecanorales.sp..5_tyr3653	67	29	261	376
gomphillus.calycioides.1_tyr2862	54	26	308	542
gomphillus.calycioides.1_tyr2877	55	29	301	456
solorina.crocea.1_tyr2868	45	29	345	421
lambiella.insularis.1_tyr2190	73	23	387	560
leucodecton.sp..1_tyr1006	26	16	247	308
pertusaria.ostiolata.1_tyr2466	62	22	254	615
lecanoromycetes.sp..5_tyr3299	73	16	146	467
lecanora.subimmergens.1_tyr3478	73	16	146	467
lepsp.1_482229	47	14	245	346
psora.crenata.1_tyr256	5	9	150	239
cadsp.2_KAG4436364.1	75	28	176	340
platismatia.glauca.3_tyr3970	93	28	227	1014
vulpicida.juniperinus.1_tyr1524	9	28	229	823
hypogymnia.vittata.1_tyr3408	88	28	251	975
parmeliaceae.sp..22_tyr3606	88	28	251	975
leucodermia.leucomelos.1_tyr1351	51	28	241	663
leucodermia.appalachiensis.1_tyr1489	51	28	251	407
heterodermia.sp..3_tyr1517	51	28	251	407
polyblastidium.squamulosum.1_tyr1642	0	0	164	534
physciaceae.sp..4_tyr3794	0	0	164	534
dibaeis.sorediata.1_tyr503	0	0	205	208
pertusaria.propinqua.1_tyr292	88	28	261	699
pertusaria.ostiolata.1_tyr2780	55	28	245	355
pertusaria.epixantha.1_tyr2831	8	0	150	435
fustja1_KAF5616136.1	73	23	132	269
aspicilia.laevata.1_tyr1038	63	65	125	342
glaloz2_EHL01589.1	14	27	201	279
psesp.14_KFY24906.1	78	24	229	394
umbilicaria.americana.1_tyr1621	116	20	233	830
umbilicaria.spodochroa.1_tyr1173	45	26	226	297
umbilicaria.spodochroa.3_tyr4111	45	26	226	297
umbilicaria.phaea.3_tyr3731	69	24	247	373
umbilicaria.phaea.1_tyr3806	69	24	247	373
umbilicaria.freyi.3_tyr456	49	26	136	247
umbilicaria.freyi.1_tyr983	49	26	136	247
umbilicaria.freyi.2_tyr2505	49	26	136	247
umbilicaria.crustulosa.3_tyr1110	0	16	161	205
umbilicaria.vellea.1_tyr1419	6	26	210	275
umbilicaria.crustulosa.2_tyr632	0	6	159	722
baeomycetales.sp..2_tyr423	79	26	244	823
parmeliaceae.sp..1_tyr1267	83	28	255	476
usnea.ceratina.1_tyr3457	83	28	255	476
usnea.florida.1_tyr2354	116	28	255	968
oidmai1_53117	59	28	214	340
clorhi1_VUC09346.1	48	30	233	354
aspasp7_tyr618	76	29	210	390
ochrolechia.trochophora.1_tyr59	71	31	242	645
pertusariales.sp..1_tyr2468	71	31	243	646
lepra.amara.1_tyr3243	44	14	242	463
varicellaria.rhodocarpa.2_tyr3226	71	31	242	643
varicellaria.rhodocarpa.2_tyr3227	71	31	242	643
ochrolechia.trochophora.1_tyr195	69	29	244	747
lepra.amara.1_tyr4152	71	27	203	568
xylographa.soralifera.1_tyr200	19	14	229	547
rhizocarpon.subgeminatum.1_tyr3783	71	31	239	640
lepra.amara.1_tyr1513	20	13	199	451
circinaria.calcarea.1_tyr1727	24	31	252	695
acanthothecis.fontana.1_tyr2489	56	30	252	772
lecanoromycetes.sp..3_tyr106	33	17	224	524
lecanorales.sp..5_tyr1365	33	31	247	675
stereocaulon.virgatum.1_tyr1494	29	29	250	630
umbilicaria.deusta.1_tyr348	33	31	250	663
umbilicaria.deusta.2_tyr1335	33	31	250	663
umbilicaria.deusta.3_tyr1341	33	31	250	663
massalongia.carnosa.1_tyr387	33	31	250	671
umbilicaria.crustulosa.1_tyr1416	32	31	250	670
platismatia.glauca.1_tyr2923	33	31	250	671
sticta.canariensis.1_tyr2194	12	26	249	644
bryoria.fremontii.1_tyr2274	12	31	250	650
massalongia.carnosa.1_tyr386	0	2	242	590
flavoplaca.marina.2_tyr584	57	30	274	737
platismatia.glauca.3_tyr2149	33	17	245	652
cladonia.sp..5_tyr687	33	31	250	680
cladonia.peziziformis.1_tyr2189	33	31	250	680
pannaria.tavaresii.1_tyr1358	0	10	226	554
porpidia.crustulata.1_tyr3202	33	31	250	641
pectenia.plumbea.1_tyr1189	69	30	251	797
pectenia.plumbea.1_tyr3607	69	30	251	797
psora.testacea.1_tyr3791	0	0	215	482
byssoloma.meadii.1_tyr3705	26	13	242	577
phyllopsora.parvifolia.1_tyr3702	33	31	216	646
cladonia.robbinsii.1_tyr222	0	0	214	419
ramalina.farinacea.1_tyr4179	0	0	176	379
stereocaulon.alpinum.1_tyr237	71	20	196	676
gyalolechia.sp..1_tyr2596	71	29	214	712
parmotrema.rampoddense.1_tyr152	71	31	248	585
bulbothrix.scortella.1_tyr731	71	31	261	665
bulbothrix.scortella.1_tyr1496	0	14	261	403
crespoa.crozalsiana.1_tyr2802	71	31	261	621
crespoa.crozalsiana.1_tyr2396	71	31	242	646
hypotrachyna.lividescens.1_tyr1740	71	21	261	485
bryoria.fremontii.1_tyr1056	71	31	232	636
parmotrema.hypotropum.1_tyr1396	67	31	260	629
parmeliaceae.sp..7_tyr3415	67	31	260	629
parmotrema.austrosinense.1_tyr4173	67	31	260	629
pseudevernia.furfuracea.3_tyr1487	67	31	261	630
bulbothrix.scortella.1_tyr964	71	31	261	632
lecanorales.sp..5_tyr405	71	30	248	593
platismatia.glauca.1_tyr1872	71	30	248	593
evernia.prunastri.2_tyr548	71	31	269	716
alectoria.sarmentosa.3_tyr1179	71	31	269	716
ramalina.petrina.1_tyr2210	71	31	243	647
lecanora.strobilina.1_tyr4016	69	30	248	716
puttea.exsequens.2_tyr958	71	17	217	444
puttea.exsequens.1_tyr4125	71	17	217	444
platismatia.glauca.3_tyr2090	71	17	241	465
umbilicaria.mammulata.1_tyr360	68	30	237	565
lasallia.papulosa.1_tyr782	71	31	244	587
lecanora.markjohnstonii.1_tyr1498	71	31	210	566
biatora.pontica.1_tyr3278	71	31	244	648
phlyctis.petraea.1_tyr1557	71	22	183	574
puttea.exsequens.2_tyr414	71	17	194	545
puttea.exsequens.1_tyr2206	71	17	194	545
bulbothrix.scortella.1_tyr2571	71	31	216	518
xanthoparmelia.tasmanica.1_tyr1556	71	31	256	494
stereocaulon.virgatum.1_tyr1960	70	31	208	555
stereocaulon.virgatum.1_tyr3365	70	31	234	663
