Captain	familyID	Source	Genome
pseudocyphellaria.aurata.1_tyr2535		Newly-annotated lichen genomes	pseudocyphellaria.aurata.1
variospora.aurantia.1_tyr252		Newly-annotated lichen genomes	variospora.aurantia.1
porpidia.subsimplex.1_tyr3856		Newly-annotated lichen genomes	porpidia.subsimplex.1
pertusaria.obruta.1_tyr1756		Newly-annotated lichen genomes	pertusaria.obruta.1
caloplaca.aegaea.1_tyr3005		Newly-annotated lichen genomes	caloplaca.aegaea.1
dendriscocaulon.intricatulum.1_tyr934		Newly-annotated lichen genomes	dendriscocaulon.intricatulum.1
coniocarpon.cinnabarinum.1_tyr383		Newly-annotated lichen genomes	coniocarpon.cinnabarinum.1
arthonia.susa.1_tyr48		Newly-annotated lichen genomes	arthonia.susa.1
arthothelium.ruanum.1_tyr3382		Newly-annotated lichen genomes	arthothelium.ruanum.1
lecidea.sp..1_tyr3029		Newly-annotated lichen genomes	lecidea.sp..1
variospora.velana.1_tyr1969		Newly-annotated lichen genomes	variospora.velana.1
leprocaulales.sp..1_tyr100		Newly-annotated lichen genomes	leprocaulales.sp..1
xanthoria.parietina.2_tyr4027		Newly-annotated lichen genomes	xanthoria.parietina.2
dermiscellum.oulocheilum.1_tyr3978		Newly-annotated lichen genomes	dermiscellum.oulocheilum.1
mycoblastus.sanguinarius.1_tyr3252		Newly-annotated lichen genomes	mycoblastus.sanguinarius.1
umbilicaria.hispanica.2_tyr338		Newly-annotated lichen genomes	umbilicaria.hispanica.2
mycoblastus.sanguinarius.2_tyr1893		Newly-annotated lichen genomes	mycoblastus.sanguinarius.2
protoblastenia.rupestris.2_tyr3986		Newly-annotated lichen genomes	protoblastenia.rupestris.2
lecanora.oreinoides.1_tyr2196		Newly-annotated lichen genomes	lecanora.oreinoides.1
lepraria.neglecta.1_tyr2664		Newly-annotated lichen genomes	lepraria.neglecta.1
mycoblastus.sanguinarius.2_tyr3955		Newly-annotated lichen genomes	mycoblastus.sanguinarius.2
chaetothyriales.sp..1_tyr953		Newly-annotated lichen genomes	chaetothyriales.sp..1
gyalolechia.fulgens.1_tyr1661		Newly-annotated lichen genomes	gyalolechia.fulgens.1
gyalolechia.sp..2_tyr1934		Newly-annotated lichen genomes	gyalolechia.sp..2
cetrelia.chicitae.1_tyr2618		Newly-annotated lichen genomes	cetrelia.chicitae.1
variospora.aurantia.1_tyr838		Newly-annotated lichen genomes	variospora.aurantia.1
umbilicaria.hispanica.3_tyr2281		Newly-annotated lichen genomes	umbilicaria.hispanica.3
umbilicaria.spodochroa.1_tyr3402		Newly-annotated lichen genomes	umbilicaria.spodochroa.1
xanthoria.parietina.3_tyr2404		Newly-annotated lichen genomes	xanthoria.parietina.3
dermiscellum.oulocheilum.1_tyr302		Newly-annotated lichen genomes	dermiscellum.oulocheilum.1
cladophialophora.sp..1_tyr3153		Newly-annotated lichen genomes	cladophialophora.sp..1
lecidea.sp..1_tyr1765		Newly-annotated lichen genomes	lecidea.sp..1
umbilicaria.vellea.1_tyr1155		Newly-annotated lichen genomes	umbilicaria.vellea.1
umbilicaria.polyphylla.1_tyr3046		Newly-annotated lichen genomes	umbilicaria.polyphylla.1
umbilicaria.freyi.1_tyr1075		Newly-annotated lichen genomes	umbilicaria.freyi.1
umbilicaria.polyphylla.4_tyr437		Newly-annotated lichen genomes	umbilicaria.polyphylla.4
umbilicaria.polyphylla.1_tyr3044		Newly-annotated lichen genomes	umbilicaria.polyphylla.1
umbilicaria.spodochroa.2_tyr2687		Newly-annotated lichen genomes	umbilicaria.spodochroa.2
parmotrema.rampoddense.1_tyr1744		Newly-annotated lichen genomes	parmotrema.rampoddense.1
mycoblastus.sanguinarius.2_tyr2714		Newly-annotated lichen genomes	mycoblastus.sanguinarius.2
leucodermia.appalachiensis.1_tyr1199		Newly-annotated lichen genomes	leucodermia.appalachiensis.1
melanelia.culbersonii.1_tyr1605		Newly-annotated lichen genomes	melanelia.culbersonii.1
lecanora.strobilina.1_tyr2168		Newly-annotated lichen genomes	lecanora.strobilina.1
umbilicaria.crustulosa.1_tyr445		Newly-annotated lichen genomes	umbilicaria.crustulosa.1
cladonia.sp..8_tyr3200		Newly-annotated lichen genomes	cladonia.sp..8
stereocaulon.dactylophyllum.1_tyr3962		Newly-annotated lichen genomes	stereocaulon.dactylophyllum.1
cladonia.strepsilis.1_tyr4046		Newly-annotated lichen genomes	cladonia.strepsilis.1
puttea.exsequens.1_tyr868		Newly-annotated lichen genomes	puttea.exsequens.1
caloplaca.sp..2_tyr1916		Newly-annotated lichen genomes	caloplaca.sp..2
cladonia.kurokawae.1_tyr1067		Newly-annotated lichen genomes	cladonia.kurokawae.1
parmotrema.rampoddense.1_tyr589		Newly-annotated lichen genomes	parmotrema.rampoddense.1
stictis.urceolata.2_tyr2530		Newly-annotated lichen genomes	stictis.urceolata.2
porpidia.macrocarpa.1_tyr313		Newly-annotated lichen genomes	porpidia.macrocarpa.1
bacidia.gigantensis.1_tyr2857		Newly-annotated lichen genomes	bacidia.gigantensis.1
usnea.ceratina.2_tyr3511		Newly-annotated lichen genomes	usnea.ceratina.2
micareopsis.irriguata.1_tyr1350		Newly-annotated lichen genomes	micareopsis.irriguata.1
gomphillus.americanus.1_tyr3818		Newly-annotated lichen genomes	gomphillus.americanus.1
umbilicaria.muhlenbergii.1_tyr4002		Newly-annotated lichen genomes	umbilicaria.muhlenbergii.1
phlyctis.petraea.1_tyr677		Newly-annotated lichen genomes	phlyctis.petraea.1
pectenia.cyanoloma.1_tyr365		Newly-annotated lichen genomes	pectenia.cyanoloma.1
xanthoria.parietina.3_tyr2487		Newly-annotated lichen genomes	xanthoria.parietina.3
phlyctis.speirea.1_tyr496		Newly-annotated lichen genomes	phlyctis.speirea.1
stictis.urceolata.1_tyr3647		Newly-annotated lichen genomes	stictis.urceolata.1
gyalolechia.sp..1_tyr1287		Newly-annotated lichen genomes	gyalolechia.sp..1
gyalolechia.sp..2_tyr2980		Newly-annotated lichen genomes	gyalolechia.sp..2
xanthoria.steineri.1_tyr3649		Newly-annotated lichen genomes	xanthoria.steineri.1
calogaya.arnoldii.1_tyr3150		Newly-annotated lichen genomes	calogaya.arnoldii.1
teloschistes.exilis.3_tyr1430		Newly-annotated lichen genomes	teloschistes.exilis.3
teloschistes.exilis.2_tyr3635		Newly-annotated lichen genomes	teloschistes.exilis.2
letharia.lupina.1_tyr4140		Newly-annotated lichen genomes	letharia.lupina.1
letharia.vulpina.1_tyr3504		Newly-annotated lichen genomes	letharia.vulpina.1
agyrium.rufum.1_tyr1892		Newly-annotated lichen genomes	agyrium.rufum.1
dibaeis.baeomyces.1_tyr240		Newly-annotated lichen genomes	dibaeis.baeomyces.1
teratosphaeriaceae.sp..1_tyr521		Newly-annotated lichen genomes	teratosphaeriaceae.sp..1
mycosphaerellales.sp..1_tyr2340		Newly-annotated lichen genomes	mycosphaerellales.sp..1
diploschistes.diacapsis.1_tyr3119		Newly-annotated lichen genomes	diploschistes.diacapsis.1
lecanorales.sp..3_tyr2207		Newly-annotated lichen genomes	lecanorales.sp..3
usnea.cornuta.1_tyr715		Newly-annotated lichen genomes	usnea.cornuta.1
teloschistes.chrysophthalmus.1_tyr1428		Newly-annotated lichen genomes	teloschistes.chrysophthalmus.1
stereocaulon.virgatum.1_tyr769		Newly-annotated lichen genomes	stereocaulon.virgatum.1
teloschistes.exilis.1_tyr3137		Newly-annotated lichen genomes	teloschistes.exilis.1
lecanoromycetes.sp..5_tyr3128		Newly-annotated lichen genomes	lecanoromycetes.sp..5
icmadophila.ericetorum.1_tyr1628		Newly-annotated lichen genomes	icmadophila.ericetorum.1
dibbae1_5584_5585	n.d.	Gluck-Thaler and Vogan (2024)	dibbae1
acanthothecis.fontana.1_tyr566		Newly-annotated lichen genomes	acanthothecis.fontana.1
lambiella.insularis.1_tyr1955		Newly-annotated lichen genomes	lambiella.insularis.1
rhizocarpon.subgeminatum.1_tyr1956		Newly-annotated lichen genomes	rhizocarpon.subgeminatum.1
thelotrema.lepadinum.2_tyr3246		Newly-annotated lichen genomes	thelotrema.lepadinum.2
grascr1_687	clade01	Gluck-Thaler and Vogan (2024)	grascr1
flavoplaca.marina.2_tyr1563		Newly-annotated lichen genomes	flavoplaca.marina.2
xanthoria.parietina.3_tyr3143		Newly-annotated lichen genomes	xanthoria.parietina.3
XANPAGTX0501_001716-T1		Tangerine element from X. parietina	X. parietina GTX0501
teloschistes.exilis.1_tyr919		Newly-annotated lichen genomes	teloschistes.exilis.1
teloschistes.peruensis.1_tyr1136		Newly-annotated lichen genomes	teloschistes.peruensis.1
teloschistes.exilis.2_tyr1488		Newly-annotated lichen genomes	teloschistes.exilis.2
teloschistes.exilis.1_tyr2639		Newly-annotated lichen genomes	teloschistes.exilis.1
teloschistes.exilis.3_tyr2393		Newly-annotated lichen genomes	teloschistes.exilis.3
stictis.urceolata.1_tyr1442		Newly-annotated lichen genomes	stictis.urceolata.1
umbpus1_103454	clade01	Gluck-Thaler and Vogan (2024)	umbpus1
umbilicaria.iberica.2_tyr712		Newly-annotated lichen genomes	umbilicaria.iberica.2
lasallia.pustulata.7_tyr1272		Newly-annotated lichen genomes	lasallia.pustulata.7
porina.heterospora.1_tyr2130		Newly-annotated lichen genomes	porina.heterospora.1
arthoniomycete.sp..1_tyr3894		Newly-annotated lichen genomes	arthoniomycete.sp..1
arthoniomycete.sp..1_tyr3896		Newly-annotated lichen genomes	arthoniomycete.sp..1
arthonia.rubella.1_tyr714		Newly-annotated lichen genomes	arthonia.rubella.1
opegrapha.moroziana.1_tyr1878		Newly-annotated lichen genomes	opegrapha.moroziana.1
cloaqu1_tyr4087	fam04	Gluck-Thaler and Vogan (2024)	cloaqu1
polfus1_606100	fam04	Gluck-Thaler and Vogan (2024)	polfus1
polfus1_599705	fam04	Gluck-Thaler and Vogan (2024)	polfus1
cengeo1_542205	fam04	Gluck-Thaler and Vogan (2024)	cengeo1
leppal1_OCK79459.1	fam04	Gluck-Thaler and Vogan (2024)	leppal1
moncan1_RYO85021.1	fam04	Gluck-Thaler and Vogan (2024)	moncan1
amnlig1_424037	fam04	Gluck-Thaler and Vogan (2024)	amnlig1
pletra1_KAF2844130.1	fam04	Gluck-Thaler and Vogan (2024)	pletra1
lizemp1_186564	fam04	Gluck-Thaler and Vogan (2024)	lizemp1
didker1_KAF3049100.1	fam04	Gluck-Thaler and Vogan (2024)	didker1
cladophialophora.endolichena.1_tyr8		Newly-annotated lichen genomes	cladophialophora.endolichena.1
claban1_134700	fam04	Gluck-Thaler and Vogan (2024)	claban1
melanina.sp..2_tyr2115		Newly-annotated lichen genomes	melanina.sp..2
psora.testacea.1_tyr44		Newly-annotated lichen genomes	psora.testacea.1
chrysothrix.sp..1_tyr942		Newly-annotated lichen genomes	chrysothrix.sp..1
punctelia.appalachensis.1_tyr1715		Newly-annotated lichen genomes	punctelia.appalachensis.1
lecanoromycetes.sp..4_tyr2353		Newly-annotated lichen genomes	lecanoromycetes.sp..4
xanthoparmelia.tasmanica.1_tyr1273		Newly-annotated lichen genomes	xanthoparmelia.tasmanica.1
xanthoparmelia.taractica.1_tyr3903		Newly-annotated lichen genomes	xanthoparmelia.taractica.1
madmyc1_9294	fam04	Gluck-Thaler and Vogan (2024)	madmyc1
stacha2_KFA51963.1	fam04	Gluck-Thaler and Vogan (2024)	stacha2
plecuc2_353822	fam04	Gluck-Thaler and Vogan (2024)	plecuc2
verdah2_tyr10676	fam04	Gluck-Thaler and Vogan (2024)	verdah2
madmyc1_9889	fam04	Gluck-Thaler and Vogan (2024)	madmyc1
neodit1_2170	fam04	Gluck-Thaler and Vogan (2024)	neodit1
hirrho1_KAH0968669.1	fam04	Gluck-Thaler and Vogan (2024)	hirrho1
fussub5_tyr6719	fam04	Gluck-Thaler and Vogan (2024)	fussub5
monsp.2_RYP32009.1	fam04	Gluck-Thaler and Vogan (2024)	monsp.2
cadmal1_KAG4411212.1	fam04	Gluck-Thaler and Vogan (2024)	cadmal1
sclcep1_KAF7866863.1	fam04	Gluck-Thaler and Vogan (2024)	sclcep1
sclcep1_KAF7870603.1	fam04	Gluck-Thaler and Vogan (2024)	sclcep1
psesp.14_KFY31966.1	fam04	Gluck-Thaler and Vogan (2024)	psesp.14
psesp.14_tyr9380	fam04	Gluck-Thaler and Vogan (2024)	psesp.14
micbol1_109359	fam04	Gluck-Thaler and Vogan (2024)	micbol1
helsp.4_KAE8442194.1	fam04	Gluck-Thaler and Vogan (2024)	helsp.4
xanthoparmelia.taractica.1_tyr115		Newly-annotated lichen genomes	xanthoparmelia.taractica.1
parmeliaceae.sp..17_tyr228		Newly-annotated lichen genomes	parmeliaceae.sp..17
pseudephebe.minuscula.1_tyr2975		Newly-annotated lichen genomes	pseudephebe.minuscula.1
usnea.aurantiacoatra.1_tyr2546		Newly-annotated lichen genomes	usnea.aurantiacoatra.1
xanthoparmelia.tasmanica.1_tyr326		Newly-annotated lichen genomes	xanthoparmelia.tasmanica.1
punctelia.appalachensis.1_tyr2301		Newly-annotated lichen genomes	punctelia.appalachensis.1
lasallia.pustulata.1_tyr486		Newly-annotated lichen genomes	lasallia.pustulata.1
umbilicaria.freyi.1_tyr3376		Newly-annotated lichen genomes	umbilicaria.freyi.1
umbilicaria.vellea.1_tyr2822		Newly-annotated lichen genomes	umbilicaria.vellea.1
umbilicaria.grisea.1_tyr989		Newly-annotated lichen genomes	umbilicaria.grisea.1
lasallia.pustulata.3_tyr2307		Newly-annotated lichen genomes	lasallia.pustulata.3
umbilicaria.hispanica.1_tyr1613		Newly-annotated lichen genomes	umbilicaria.hispanica.1
umbilicaria.iberica.1_tyr4018		Newly-annotated lichen genomes	umbilicaria.iberica.1
umbilicaria.iberica.1_tyr2561		Newly-annotated lichen genomes	umbilicaria.iberica.1
umbilicaria.iberica.2_tyr1863		Newly-annotated lichen genomes	umbilicaria.iberica.2
lasallia.papulosa.1_tyr3891		Newly-annotated lichen genomes	lasallia.papulosa.1
lasallia.pustulata.7_tyr318		Newly-annotated lichen genomes	lasallia.pustulata.7
umbilicaria.spodochroa.1_tyr820		Newly-annotated lichen genomes	umbilicaria.spodochroa.1
umbilicaria.spodochroa.2_tyr1539		Newly-annotated lichen genomes	umbilicaria.spodochroa.2
daccio1_otherdc0103420	fam03	Gluck-Thaler and Vogan (2024)	daccio1
orboli2_tyr8545	fam03	Gluck-Thaler and Vogan (2024)	orboli2
orboli2_TGJ70084.1	fam03	Gluck-Thaler and Vogan (2024)	orboli2
coniocarpon.cinnabarinum.1_tyr1072		Newly-annotated lichen genomes	coniocarpon.cinnabarinum.1
coniocarpon.cinnabarinum.2_tyr2144		Newly-annotated lichen genomes	coniocarpon.cinnabarinum.2
zymtri5_SMR62249.1	fam03	Gluck-Thaler and Vogan (2024)	zymtri5
aspfis5_tyr1178	fam03	Gluck-Thaler and Vogan (2024)	aspfis5
aspcro1_tyr1048	fam03	Gluck-Thaler and Vogan (2024)	aspcro1
aspind3_tyr1556	fam03	Gluck-Thaler and Vogan (2024)	aspind3
aspgla1_OJJ87743.1	fam03	Gluck-Thaler and Vogan (2024)	aspgla1
penfla1_2705	fam03	Gluck-Thaler and Vogan (2024)	penfla1
emmcre2_KKZ67376.1	fam03	Gluck-Thaler and Vogan (2024)	emmcre2
hiscap4_QSS56076.1	fam03	Gluck-Thaler and Vogan (2024)	hiscap4
penfla1_tyr8805	fam03	Gluck-Thaler and Vogan (2024)	penfla1
lambiella.insularis.1_tyr164		Newly-annotated lichen genomes	lambiella.insularis.1
acarospora.sp..1_tyr498		Newly-annotated lichen genomes	acarospora.sp..1
schaereria.dolodes.1_tyr788		Newly-annotated lichen genomes	schaereria.dolodes.1
muellerella.sp..1_tyr1325		Newly-annotated lichen genomes	muellerella.sp..1
lambiella.insularis.1_tyr2656		Newly-annotated lichen genomes	lambiella.insularis.1
hetspe1_CAF9941352.1	clade01	Gluck-Thaler and Vogan (2024)	hetspe1
polyblastidium.squamulosum.1_tyr1700		Newly-annotated lichen genomes	polyblastidium.squamulosum.1
heterodermia.obscurata.1_tyr2316		Newly-annotated lichen genomes	heterodermia.obscurata.1
heterodermia.speciosa.2_tyr3678		Newly-annotated lichen genomes	heterodermia.speciosa.2
umbilicaria.spodochroa.4_tyr606		Newly-annotated lichen genomes	umbilicaria.spodochroa.4
umbilicaria.deusta.4_tyr867		Newly-annotated lichen genomes	umbilicaria.deusta.4
umbilicaria.hispanica.4_tyr2253		Newly-annotated lichen genomes	umbilicaria.hispanica.4
umbilicaria.polyphylla.1_tyr3045		Newly-annotated lichen genomes	umbilicaria.polyphylla.1
umbilicaria.iberica.2_tyr3685		Newly-annotated lichen genomes	umbilicaria.iberica.2
umbilicaria.crustulosa.1_tyr1415		Newly-annotated lichen genomes	umbilicaria.crustulosa.1
umbilicaria.hispanica.4_tyr3652		Newly-annotated lichen genomes	umbilicaria.hispanica.4
umbilicaria.grisea.2_tyr2585		Newly-annotated lichen genomes	umbilicaria.grisea.2
umbilicaria.hispanica.2_tyr2692		Newly-annotated lichen genomes	umbilicaria.hispanica.2
trapelia.coarctata.1_tyr1301		Newly-annotated lichen genomes	trapelia.coarctata.1
icmadophila.ericetorum.1_tyr2978		Newly-annotated lichen genomes	icmadophila.ericetorum.1
blaper1_675	fam03	Gluck-Thaler and Vogan (2024)	blaper1
blaper1_5882	fam03	Gluck-Thaler and Vogan (2024)	blaper1
blaper1_6736	fam03	Gluck-Thaler and Vogan (2024)	blaper1
parlut1_5370	fam03	Gluck-Thaler and Vogan (2024)	parlut1
cocpos5_KMM73308.1	fam03	Gluck-Thaler and Vogan (2024)	cocpos5
blaper1_4528	fam03	Gluck-Thaler and Vogan (2024)	blaper1
wilmik1_113864	fam03	Gluck-Thaler and Vogan (2024)	wilmik1
tubmag1_tyr10581	clade01	Gluck-Thaler and Vogan (2024)	tubmag1
choven1_786032	clade01	Gluck-Thaler and Vogan (2024)	choven1
trihyb1_897299	clade01	Gluck-Thaler and Vogan (2024)	trihyb1
Starship-1_Mimp-Captain	clade01	Gluck-Thaler and Vogan (2024)	
Starship-1_Ooli-Captain	clade01	Gluck-Thaler and Vogan (2024)	
porpidia.macrocarpa.1_tyr3690		Newly-annotated lichen genomes	porpidia.macrocarpa.1
placynthium.petersii.1_tyr3666		Newly-annotated lichen genomes	placynthium.petersii.1
coniocarpon.cinnabarinum.2_tyr1581		Newly-annotated lichen genomes	coniocarpon.cinnabarinum.2
icmadophila.ericetorum.1_tyr1705		Newly-annotated lichen genomes	icmadophila.ericetorum.1
ptychographa.xylographoides.1_tyr2152		Newly-annotated lichen genomes	ptychographa.xylographoides.1
botacl1_KAF7955521.1	fam01	Gluck-Thaler and Vogan (2024)	botacl1
psesp.4_tyr9585	fam01	Gluck-Thaler and Vogan (2024)	psesp.4
psedes1_tyr9258	fam01	Gluck-Thaler and Vogan (2024)	psedes1
circinaria.calcarea.1_tyr556		Newly-annotated lichen genomes	circinaria.calcarea.1
monfru1_KAA8565543.1	fam01	Gluck-Thaler and Vogan (2024)	monfru1
rutsp.2_PQE09269.1	fam01	Gluck-Thaler and Vogan (2024)	rutsp.2
sclcep1_KAF7865656.1	fam01	Gluck-Thaler and Vogan (2024)	sclcep1
rutsp.1_PQE28656.1	fam01	Gluck-Thaler and Vogan (2024)	rutsp.1
xylographa.soralifera.1_tyr1475		Newly-annotated lichen genomes	xylographa.soralifera.1
phamin1_EOO01307.1	fam01	Gluck-Thaler and Vogan (2024)	phamin1
metrob3_EFZ00634.1	fam01	Gluck-Thaler and Vogan (2024)	metrob3
hirmin1_5623	fam01	Gluck-Thaler and Vogan (2024)	hirmin1
metani1_5588	fam01	Gluck-Thaler and Vogan (2024)	metani1
stachl1_3593	fam01	Gluck-Thaler and Vogan (2024)	stachl1
peltigera.hydrothyria.1_tyr3337		Newly-annotated lichen genomes	peltigera.hydrothyria.1
lecanora.atra.1_tyr1534		Newly-annotated lichen genomes	lecanora.atra.1
monfru1_KAA8574662.1	fam01	Gluck-Thaler and Vogan (2024)	monfru1
umbilicaria.spodochroa.2_tyr3569		Newly-annotated lichen genomes	umbilicaria.spodochroa.2
solorina.crocea.1_tyr419		Newly-annotated lichen genomes	solorina.crocea.1
acarospora.sp..1_tyr2916		Newly-annotated lichen genomes	acarospora.sp..1
monlax1_KAB8302114.1	fam01	Gluck-Thaler and Vogan (2024)	monlax1
scylig1_RFU28318.1	fam01	Gluck-Thaler and Vogan (2024)	scylig1
psesp.15_KFY65136.1	fam01	Gluck-Thaler and Vogan (2024)	psesp.15
fuscom2_tyr5400	fam01	Gluck-Thaler and Vogan (2024)	fuscom2
fusxyl4_KAG5801712.1	fam01	Gluck-Thaler and Vogan (2024)	fusxyl4
fusoxy42_ENH71189.1	fam01	Gluck-Thaler and Vogan (2024)	fusoxy42
fuscir3_tyr5364	fam01	Gluck-Thaler and Vogan (2024)	fuscir3
fusalb2_tyr5195	fam01	Gluck-Thaler and Vogan (2024)	fusalb2
moncan1_RYO82366.1	fam01	Gluck-Thaler and Vogan (2024)	moncan1
fusvan1_EEU40131.1	fam01	Gluck-Thaler and Vogan (2024)	fusvan1
metgui1_4539	fam01	Gluck-Thaler and Vogan (2024)	metgui1
coltof2_tyr4412	fam01	Gluck-Thaler and Vogan (2024)	coltof2
kredeu2_tyr7716	fam01	Gluck-Thaler and Vogan (2024)	kredeu2
dalgra1_438190	fam01	Gluck-Thaler and Vogan (2024)	dalgra1
crypar1_KAF3763523.1	fam01	Gluck-Thaler and Vogan (2024)	crypar1
spoins1_661	fam01	Gluck-Thaler and Vogan (2024)	spoins1
dimelaena.oreina.1_tyr177		Newly-annotated lichen genomes	dimelaena.oreina.1
anzia.colpodes.1_tyr2549		Newly-annotated lichen genomes	anzia.colpodes.1
rusear1_1273445	fam01	Gluck-Thaler and Vogan (2024)	rusear1
hypsp.2_644004	fam01	Gluck-Thaler and Vogan (2024)	hypsp.2
icmadophila.ericetorum.1_tyr1831		Newly-annotated lichen genomes	icmadophila.ericetorum.1
caloplaca.ligustica.1_tyr3435		Newly-annotated lichen genomes	caloplaca.ligustica.1
monsp.2_RYP22820.1	fam01	Gluck-Thaler and Vogan (2024)	monsp.2
monsp.3_RYP20312.1	fam01	Gluck-Thaler and Vogan (2024)	monsp.3
monsp.2_RYP34851.1	fam01	Gluck-Thaler and Vogan (2024)	monsp.2
moncan1_tyr8276	fam01	Gluck-Thaler and Vogan (2024)	moncan1
fusbur1_tyr5341	fam01	Gluck-Thaler and Vogan (2024)	fusbur1
spoins1_7186	fam01	Gluck-Thaler and Vogan (2024)	spoins1
fustri4_tyr6766	fam01	Gluck-Thaler and Vogan (2024)	fustri4
fusgad1_KAF4947046.1	fam01	Gluck-Thaler and Vogan (2024)	fusgad1
monibe1_RYO96122.1	fam01	Gluck-Thaler and Vogan (2024)	monibe1
triham1_3351	fam01	Gluck-Thaler and Vogan (2024)	triham1
triaru1_7814	fam01	Gluck-Thaler and Vogan (2024)	triaru1
valmal3_tyr10655	fam01	Gluck-Thaler and Vogan (2024)	valmal3
mictri1_377953	fam01	Gluck-Thaler and Vogan (2024)	mictri1
fusoxy45_KAG7413195.1	fam01	Gluck-Thaler and Vogan (2024)	fusoxy45
fusbra1_tyr5309	fam01	Gluck-Thaler and Vogan (2024)	fusbra1
clorhi1_VUC06060.1	fam01	Gluck-Thaler and Vogan (2024)	clorhi1
fusfus24_tyr5659	fam01	Gluck-Thaler and Vogan (2024)	fusfus24
dalsp.1_361367	fam01	Gluck-Thaler and Vogan (2024)	dalsp.1
dacmac1_34260	fam01	Gluck-Thaler and Vogan (2024)	dacmac1
colsoj1_KAF6812414.1	fam01	Gluck-Thaler and Vogan (2024)	colsoj1
crydep1_ODN97795.1	fam01	Gluck-Thaler and Vogan (2024)	crydep1
golmag1_tyr7146	fam01	Gluck-Thaler and Vogan (2024)	golmag1
leclec1_6749	fam01	Gluck-Thaler and Vogan (2024)	leclec1
mictri1_300110	fam01	Gluck-Thaler and Vogan (2024)	mictri1
micbol1_226188	fam01	Gluck-Thaler and Vogan (2024)	micbol1
phlyctis.petraea.1_tyr3242		Newly-annotated lichen genomes	phlyctis.petraea.1
fissurina.insidiosa.1_tyr235		Newly-annotated lichen genomes	fissurina.insidiosa.1
stictis.urceolata.1_tyr4160		Newly-annotated lichen genomes	stictis.urceolata.1
pertusaria.obruta.1_tyr2294		Newly-annotated lichen genomes	pertusaria.obruta.1
pertusaria.ostiolata.1_tyr2776		Newly-annotated lichen genomes	pertusaria.ostiolata.1
pertusaria.propinqua.1_tyr3578		Newly-annotated lichen genomes	pertusaria.propinqua.1
cladonia.sp..5_tyr4013		Newly-annotated lichen genomes	cladonia.sp..5
brigantiaea.leucoxantha.2_tyr4135		Newly-annotated lichen genomes	brigantiaea.leucoxantha.2
umbilicaria.freyi.3_tyr815		Newly-annotated lichen genomes	umbilicaria.freyi.3
parpol1_tyr8651	fam01	Gluck-Thaler and Vogan (2024)	parpol1
lepsp.1_739939	fam01	Gluck-Thaler and Vogan (2024)	lepsp.1
zalvar1_689006	fam01	Gluck-Thaler and Vogan (2024)	zalvar1
lepsp.1_674126	fam01	Gluck-Thaler and Vogan (2024)	lepsp.1
psedes1_5938	fam01	Gluck-Thaler and Vogan (2024)	psedes1
psesp.13_KFX93134.1	fam01	Gluck-Thaler and Vogan (2024)	psesp.13
psesp.13_tyr9350	fam01	Gluck-Thaler and Vogan (2024)	psesp.13
parpol1_tyr8652	fam01	Gluck-Thaler and Vogan (2024)	parpol1
rhesp.1_195900	fam01	Gluck-Thaler and Vogan (2024)	rhesp.1
parpol1_3559	fam01	Gluck-Thaler and Vogan (2024)	parpol1
phisub1_tyr9118	fam01	Gluck-Thaler and Vogan (2024)	phisub1
buellia.spuria.1_tyr2629		Newly-annotated lichen genomes	buellia.spuria.1
buellia.spuria.2_tyr1802		Newly-annotated lichen genomes	buellia.spuria.2
Phoenix_Mpha_mp053-Captain	fam01	Gluck-Thaler and Vogan (2024)	
rhimac1_8905	fam01	Gluck-Thaler and Vogan (2024)	rhimac1
chasp.7_RMZ87469.1	fam01	Gluck-Thaler and Vogan (2024)	chasp.7
exooli1_134015	fam01	Gluck-Thaler and Vogan (2024)	exooli1
zalvar1_685428	fam01	Gluck-Thaler and Vogan (2024)	zalvar1
endocarpon.pusillum.2_tyr310		Newly-annotated lichen genomes	endocarpon.pusillum.2
endocarpon.pusillum.1_tyr3655		Newly-annotated lichen genomes	endocarpon.pusillum.1
peltigera.aphthosa.1_tyr3865		Newly-annotated lichen genomes	peltigera.aphthosa.1
penrub2_KAF3021169.1	fam01	Gluck-Thaler and Vogan (2024)	penrub2
aspasp2_tyr552	fam01	Gluck-Thaler and Vogan (2024)	aspasp2
phyllopsora.corallina.1_tyr3776		Newly-annotated lichen genomes	phyllopsora.corallina.1
neopar1_6999	fam01	Gluck-Thaler and Vogan (2024)	neopar1
metrob3_tyr8212	fam01	Gluck-Thaler and Vogan (2024)	metrob3
toloph1_tyr10453	fam01	Gluck-Thaler and Vogan (2024)	toloph1
ilysp.2_681009	fam01	Gluck-Thaler and Vogan (2024)	ilysp.2
beabas1_10225	fam01	Gluck-Thaler and Vogan (2024)	beabas1
podcom1_tyr9194	fam01	Gluck-Thaler and Vogan (2024)	podcom1
coniocarpon.cinnabarinum.1_tyr976		Newly-annotated lichen genomes	coniocarpon.cinnabarinum.1
porpidia.albocaerulescens.1_tyr1306		Newly-annotated lichen genomes	porpidia.albocaerulescens.1
botryolepraria.lesdainii.1_tyr4168		Newly-annotated lichen genomes	botryolepraria.lesdainii.1
cetradonia.linearis.1_tyr2739		Newly-annotated lichen genomes	cetradonia.linearis.1
xanthoria.sp..1_tyr4191		Newly-annotated lichen genomes	xanthoria.sp..1
