HOG	OG	Gene Tree Parent Clade	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_GTX0501	Xanthoria_parietina_SAMEA111342678	Xanthoria_parietina_SAMEA115359166
N2.HOG0001259	OG0000904	n0	XANCAGTX0491_004092-T1	XANPAGTX0501_010291-T1, XANPAGTX0501_003846-T1		
N2.HOG0001260	OG0000905	n0	XANCAGTX0491_004093-T2, XANCAGTX0491_004093-T1	XANPAGTX0501_010292-T1		
N2.HOG0001261	OG0000906	n0	XANCAGTX0491_004105-T1, XANCAGTX0491_007661-T1	XANPAGTX0501_008754-T1		
N2.HOG0001262	OG0000907	n0	XANCAGTX0491_009119-T1, XANCAGTX0491_004107-T1	XANPAGTX0501_010084-T1		
N2.HOG0001263	OG0000908	n0	XANCAGTX0491_004116-T1	XANPAGTX0501_010309-T1		
N2.HOG0001264	OG0000909	n0	XANCAGTX0491_004118-T2, XANCAGTX0491_004118-T1	XANPAGTX0501_010312-T1		
N2.HOG0001265	OG0000910	n0	XANCAGTX0491_004123-T1	XANPAGTX0501_010318-T1, XANPAGTX0501_010318-T2		
N2.HOG0001266	OG0000911	n0	XANCAGTX0491_004134-T1	XANPAGTX0501_010331-T1, XANPAGTX0501_006045-T1		
N2.HOG0001267	OG0000912	n0	XANCAGTX0491_008861-T1, XANCAGTX0491_004137-T1	XANPAGTX0501_008693-T1		
N2.HOG0001268	OG0000913	n0	XANCAGTX0491_004138-T1	XANPAGTX0501_007264-T1, XANPAGTX0501_010707-T1		
N2.HOG0001269	OG0000914	n0	XANCAGTX0491_004143-T1	XANPAGTX0501_010709-T1, XANPAGTX0501_007266-T1		
N2.HOG0001270	OG0000915	n0	XANCAGTX0491_004145-T1, XANCAGTX0491_006788-T1	XANPAGTX0501_007269-T1		
N2.HOG0001271	OG0000916	n0	XANCAGTX0491_004146-T1, XANCAGTX0491_006791-T1	XANPAGTX0501_007270-T1		
N2.HOG0001272	OG0000917	n0	XANCAGTX0491_004190-T1	XANPAGTX0501_007329-T1, XANPAGTX0501_010484-T1		
N2.HOG0001273	OG0000918	n0	XANCAGTX0491_004191-T1	XANPAGTX0501_010483-T1, XANPAGTX0501_007330-T1		
N2.HOG0001274	OG0000919	n0	XANCAGTX0491_004192-T1	XANPAGTX0501_007331-T1, XANPAGTX0501_010482-T1		
N2.HOG0001275	OG0000920	n0	XANCAGTX0491_004193-T1	XANPAGTX0501_010481-T1, XANPAGTX0501_007332-T1		
N2.HOG0001276	OG0000921	n0	XANCAGTX0491_004194-T1	XANPAGTX0501_010480-T1, XANPAGTX0501_007333-T1		
N2.HOG0001277	OG0000922	n0	XANCAGTX0491_004196-T1	XANPAGTX0501_010478-T1, XANPAGTX0501_007335-T1		
N2.HOG0001278	OG0000923	n0	XANCAGTX0491_004197-T1	XANPAGTX0501_007336-T1, XANPAGTX0501_010477-T1		
N2.HOG0001279	OG0000924	n0	XANCAGTX0491_004207-T2, XANCAGTX0491_004207-T1	XANPAGTX0501_007354-T1		
N2.HOG0001280	OG0000925	n0	XANCAGTX0491_004216-T1	XANPAGTX0501_007363-T1, XANPAGTX0501_007363-T2		
N2.HOG0001281	OG0000926	n2	XANCAGTX0491_004221-T2	XANPAGTX0501_007370-T2		
N2.HOG0001282	OG0000926	n3	XANCAGTX0491_004221-T1	XANPAGTX0501_007370-T1		
N2.HOG0001283	OG0000927	n0	XANCAGTX0491_004270-T1	XANPAGTX0501_007422-T1, XANPAGTX0501_007422-T2		
N2.HOG0001284	OG0000928	n0	XANCAGTX0491_004278-T1	XANPAGTX0501_007431-T1, XANPAGTX0501_007430-T1		
N2.HOG0001285	OG0000929	n0	XANCAGTX0491_004281-T1	XANPAGTX0501_007433-T1, XANPAGTX0501_007433-T2		
N2.HOG0001286	OG0000930	n0	XANCAGTX0491_004299-T1	XANPAGTX0501_007452-T1, XANPAGTX0501_007452-T2		
N2.HOG0001287	OG0000931	n0	XANCAGTX0491_004310-T1	XANPAGTX0501_007463-T1, XANPAGTX0501_007463-T2		
N2.HOG0001288	OG0000932	n0	XANCAGTX0491_004313-T1	XANPAGTX0501_007467-T1		
N2.HOG0001289	OG0000933	n0	XANCAGTX0491_005552-T1, XANCAGTX0491_004318-T1	XANPAGTX0501_007472-T1		
N2.HOG0001290	OG0000934	n0	XANCAGTX0491_004321-T2, XANCAGTX0491_004321-T1	XANPAGTX0501_007475-T1		
N2.HOG0001291	OG0000935	n0	XANCAGTX0491_004326-T2, XANCAGTX0491_004326-T1	XANPAGTX0501_007480-T1		
N2.HOG0001292	OG0000936	n0	XANCAGTX0491_004368-T1	XANPAGTX0501_007523-T1, XANPAGTX0501_007523-T2		
N2.HOG0001293	OG0000937	n0	XANCAGTX0491_004386-T1	XANPAGTX0501_007543-T2, XANPAGTX0501_007543-T1		
N2.HOG0001294	OG0000938	n0	XANCAGTX0491_004395-T1	XANPAGTX0501_007553-T1, XANPAGTX0501_007552-T1		
N2.HOG0001295	OG0000939	n0	XANCAGTX0491_004401-T1	XANPAGTX0501_007561-T1		
N2.HOG0001296	OG0000940	n0	XANCAGTX0491_004408-T1, XANCAGTX0491_004970-T1	XANPAGTX0501_007568-T1		
N2.HOG0001297	OG0000941	n0	XANCAGTX0491_004434-T2, XANCAGTX0491_004434-T1	XANPAGTX0501_007597-T1		
N2.HOG0001298	OG0000942	n0	XANCAGTX0491_004437-T1, XANCAGTX0491_004437-T2	XANPAGTX0501_007600-T1		
N2.HOG0001299	OG0000943	n0	XANCAGTX0491_004454-T1, XANCAGTX0491_004454-T2	XANPAGTX0501_007617-T1		
N2.HOG0001300	OG0000944	n0	XANCAGTX0491_004464-T2, XANCAGTX0491_004464-T1	XANPAGTX0501_007627-T1		
N2.HOG0001301	OG0000945	n0	XANCAGTX0491_004491-T1	XANPAGTX0501_007656-T1, XANPAGTX0501_007657-T1		
N2.HOG0001302	OG0000946	n0	XANCAGTX0491_004505-T1	XANPAGTX0501_007672-T2, XANPAGTX0501_007672-T1		
N2.HOG0001303	OG0000947	n0	XANCAGTX0491_004506-T1	XANPAGTX0501_007673-T2, XANPAGTX0501_007673-T1		
N2.HOG0001304	OG0000948	n0	XANCAGTX0491_004539-T2, XANCAGTX0491_004539-T1	XANPAGTX0501_008248-T1		
N2.HOG0001305	OG0000949	n0	XANCAGTX0491_004541-T1, XANCAGTX0491_004541-T2	XANPAGTX0501_008246-T1		
N2.HOG0001306	OG0000950	n0	XANCAGTX0491_004574-T1, XANCAGTX0491_004574-T2	XANPAGTX0501_008215-T1		
N2.HOG0001307	OG0000951	n0	XANCAGTX0491_009588-T1, XANCAGTX0491_004587-T1	XANPAGTX0501_008200-T1		
N2.HOG0001308	OG0000952	n0	XANCAGTX0491_004653-T1	XANPAGTX0501_008131-T1, XANPAGTX0501_008131-T2		
N2.HOG0001309	OG0000953	n0	XANCAGTX0491_004658-T1	XANPAGTX0501_008126-T1, XANPAGTX0501_008126-T2		
N2.HOG0001310	OG0000954	n0	XANCAGTX0491_004669-T2, XANCAGTX0491_004669-T1	XANPAGTX0501_008114-T1		
N2.HOG0001311	OG0000955	n0	XANCAGTX0491_004672-T1, XANCAGTX0491_004672-T2	XANPAGTX0501_008110-T1		
N2.HOG0001312	OG0000956	n0	XANCAGTX0491_004699-T1	XANPAGTX0501_008362-T1, XANPAGTX0501_008083-T1		
N2.HOG0001313	OG0000957	n0	XANCAGTX0491_004721-T1, XANCAGTX0491_004721-T2	XANPAGTX0501_008058-T1		
N2.HOG0001314	OG0000958	n0	XANCAGTX0491_004725-T2, XANCAGTX0491_004725-T1	XANPAGTX0501_008053-T1, XANPAGTX0501_008053-T2		
N2.HOG0001315	OG0000959	n0	XANCAGTX0491_004727-T1	XANPAGTX0501_008051-T1		
N2.HOG0001316	OG0000960	n0	XANCAGTX0491_004750-T1	XANPAGTX0501_008024-T1, XANPAGTX0501_008024-T2		
N2.HOG0001317	OG0000961	n0	XANCAGTX0491_004756-T1	XANPAGTX0501_008015-T1, XANPAGTX0501_002475-T1		
N2.HOG0001318	OG0000962	n0	XANCAGTX0491_004763-T1, XANCAGTX0491_004762-T1	XANPAGTX0501_008010-T1		
N2.HOG0001319	OG0000963	n0	XANCAGTX0491_004774-T1	XANPAGTX0501_007999-T1, XANPAGTX0501_001006-T1		
N2.HOG0001320	OG0000964	n0	XANCAGTX0491_004838-T1	XANPAGTX0501_004468-T1, XANPAGTX0501_004467-T1		
N2.HOG0001321	OG0000965	n0	XANCAGTX0491_008379-T1, XANCAGTX0491_004887-T1	XANPAGTX0501_004410-T1		
N2.HOG0001322	OG0000966	n0	XANCAGTX0491_004899-T1	XANPAGTX0501_004399-T1		
N2.HOG0001323	OG0000967	n0	XANCAGTX0491_004904-T1	XANPAGTX0501_004394-T1, XANPAGTX0501_004394-T2		
N2.HOG0001324	OG0000968	n0	XANCAGTX0491_004911-T1	XANPAGTX0501_004387-T1, XANPAGTX0501_004387-T2		
N2.HOG0001325	OG0000969	n0	XANCAGTX0491_004912-T1	XANPAGTX0501_004386-T2, XANPAGTX0501_004386-T1		
N2.HOG0001326	OG0000970	n0	XANCAGTX0491_007042-T1, XANCAGTX0491_004936-T1	XANPAGTX0501_006611-T1		
N2.HOG0001327	OG0000971	n0	XANCAGTX0491_004943-T1	XANPAGTX0501_004370-T1		
N2.HOG0001328	OG0000972	n0	XANCAGTX0491_004945-T1	XANPAGTX0501_004368-T1		
N2.HOG0001329	OG0000973	n0	XANCAGTX0491_004956-T1	XANPAGTX0501_004354-T2, XANPAGTX0501_004354-T1		
N2.HOG0001330	OG0000974	n0	XANCAGTX0491_004987-T1	XANPAGTX0501_004324-T2, XANPAGTX0501_004324-T1		
N2.HOG0001331	OG0000975	n0	XANCAGTX0491_004992-T1	XANPAGTX0501_004320-T1, XANPAGTX0501_004320-T2		
N2.HOG0001332	OG0000976	n0	XANCAGTX0491_004995-T1	XANPAGTX0501_004316-T1		
N2.HOG0001333	OG0000977	n0	XANCAGTX0491_008832-T1, XANCAGTX0491_005033-T1	XANPAGTX0501_004274-T1		
N2.HOG0001334	OG0000978	n0	XANCAGTX0491_005046-T1	XANPAGTX0501_004260-T2, XANPAGTX0501_004260-T1		
N2.HOG0001335	OG0000979	n0	XANCAGTX0491_005055-T1	XANPAGTX0501_004251-T1, XANPAGTX0501_004251-T2		
N2.HOG0001336	OG0000980	n0	XANCAGTX0491_005061-T1	XANPAGTX0501_004245-T2, XANPAGTX0501_004245-T1		
N2.HOG0001337	OG0000981	n0	XANCAGTX0491_005088-T1	XANPAGTX0501_004221-T1, XANPAGTX0501_010573-T1		
N2.HOG0001338	OG0000982	n0	XANCAGTX0491_005089-T1	XANPAGTX0501_010574-T1, XANPAGTX0501_004220-T1		
N2.HOG0001339	OG0000983	n0	XANCAGTX0491_005090-T1	XANPAGTX0501_004219-T1, XANPAGTX0501_010575-T1		
N2.HOG0001340	OG0000984	n0	XANCAGTX0491_005103-T1	XANPAGTX0501_004204-T1, XANPAGTX0501_004204-T2		
N2.HOG0001341	OG0000985	n0	XANCAGTX0491_005132-T1	XANPAGTX0501_004176-T1, XANPAGTX0501_004176-T2		
N2.HOG0001342	OG0000986	n0	XANCAGTX0491_005138-T2, XANCAGTX0491_005138-T1	XANPAGTX0501_004170-T1		
N2.HOG0001343	OG0000987	n0	XANCAGTX0491_005139-T1	XANPAGTX0501_004169-T2, XANPAGTX0501_004169-T1		
N2.HOG0001344	OG0000988	n0	XANCAGTX0491_005146-T1, XANCAGTX0491_005146-T2	XANPAGTX0501_004160-T1		
N2.HOG0001345	OG0000989	n0	XANCAGTX0491_005173-T1	XANPAGTX0501_004130-T1, XANPAGTX0501_004130-T2		
N2.HOG0001346	OG0000990	n0	XANCAGTX0491_005185-T1, XANCAGTX0491_005185-T2	XANPAGTX0501_004118-T1		
N2.HOG0001347	OG0000991	n0	XANCAGTX0491_005211-T1	XANPAGTX0501_004090-T2, XANPAGTX0501_004090-T1		
N2.HOG0001348	OG0000992	n0	XANCAGTX0491_005215-T1	XANPAGTX0501_004087-T2, XANPAGTX0501_004087-T1		
N2.HOG0001349	OG0000993	n0	XANCAGTX0491_005218-T2, XANCAGTX0491_005218-T1	XANPAGTX0501_004085-T1		
N2.HOG0001350	OG0000994	n0	XANCAGTX0491_005262-T1	XANPAGTX0501_004044-T2, XANPAGTX0501_004044-T1		
N2.HOG0001351	OG0000995	n0	XANCAGTX0491_005266-T2, XANCAGTX0491_005266-T1	XANPAGTX0501_004040-T1		
N2.HOG0001352	OG0000996	n2		XANPAGTX0501_004037-T1		
N2.HOG0001353	OG0000996	n3		XANPAGTX0501_004038-T1		
N2.HOG0001354	OG0000997	n0	XANCAGTX0491_005281-T1, XANCAGTX0491_005281-T2	XANPAGTX0501_004024-T1		
N2.HOG0001355	OG0000998	n0	XANCAGTX0491_005285-T1	XANPAGTX0501_004018-T1, XANPAGTX0501_004018-T2		
N2.HOG0001356	OG0000999	n0	XANCAGTX0491_005294-T2, XANCAGTX0491_005294-T1	XANPAGTX0501_004010-T1		
N2.HOG0001357	OG0001000	n0	XANCAGTX0491_005298-T1	XANPAGTX0501_004006-T2, XANPAGTX0501_004006-T1		
N2.HOG0001358	OG0001001	n0	XANCAGTX0491_005304-T2, XANCAGTX0491_005304-T1	XANPAGTX0501_003999-T1		
N2.HOG0001359	OG0001002	n0	XANCAGTX0491_005311-T1	XANPAGTX0501_003992-T2, XANPAGTX0501_003992-T1		
N2.HOG0001360	OG0001003	n0	XANCAGTX0491_005314-T1, XANCAGTX0491_005314-T2	XANPAGTX0501_003989-T1		
N2.HOG0001361	OG0001004	n0	XANCAGTX0491_005326-T1	XANPAGTX0501_003972-T1, XANPAGTX0501_003972-T2		
N2.HOG0001362	OG0001005	n0	XANCAGTX0491_005372-T1	XANPAGTX0501_003922-T1		
N2.HOG0001363	OG0001006	n2	XANCAGTX0491_005385-T1	XANPAGTX0501_003908-T1		
N2.HOG0001364	OG0001006	n3	XANCAGTX0491_005385-T2	XANPAGTX0501_003907-T1		
N2.HOG0001365	OG0001007	n0	XANCAGTX0491_005439-T1	XANPAGTX0501_005718-T1, XANPAGTX0501_003850-T1		
N2.HOG0001366	OG0001008	n0	XANCAGTX0491_005443-T1	XANPAGTX0501_003849-T1, XANPAGTX0501_010717-T1, XANPAGTX0501_003848-T1		
N2.HOG0001367	OG0001009	n2	XANCAGTX0491_005444-T1	XANPAGTX0501_003847-T1		
N2.HOG0001368	OG0001009	n3	XANCAGTX0491_006096-T1	XANPAGTX0501_010716-T1		
N2.HOG0001369	OG0001010	n0	XANCAGTX0491_005448-T1	XANPAGTX0501_000993-T1, XANPAGTX0501_010558-T1		
N2.HOG0001370	OG0001011	n0	XANCAGTX0491_005453-T1, XANCAGTX0491_005452-T1			
N2.HOG0001371	OG0001012	n0	XANCAGTX0491_005573-T1, XANCAGTX0491_005456-T1	XANPAGTX0501_005593-T1		
N2.HOG0001372	OG0001013	n0	XANCAGTX0491_005473-T1	XANPAGTX0501_005697-T1, XANPAGTX0501_005697-T2, XANPAGTX0501_010687-T1		
N2.HOG0001373	OG0001014	n1	XANCAGTX0491_005475-T1	XANPAGTX0501_005695-T1		
N2.HOG0001374	OG0001014	n3		XANPAGTX0501_010689-T1		
N2.HOG0001375	OG0001015	n0	XANCAGTX0491_005477-T1, XANCAGTX0491_006960-T1	XANPAGTX0501_006698-T1		
N2.HOG0001376	OG0001016	n2	XANCAGTX0491_005509-T1			
N2.HOG0001377	OG0001016	n3	XANCAGTX0491_005510-T1			
N2.HOG0001378	OG0001017	n2	XANCAGTX0491_006058-T1	XANPAGTX0501_008453-T1		
N2.HOG0001379	OG0001017	n3	XANCAGTX0491_005534-T1	XANPAGTX0501_005632-T1		
N2.HOG0001380	OG0001018	n0	XANCAGTX0491_005551-T1, XANCAGTX0491_005710-T1	XANPAGTX0501_005445-T1		
N2.HOG0001381	OG0001019	n0	XANCAGTX0491_009709-T1, XANCAGTX0491_005579-T1	XANPAGTX0501_005588-T1		
N2.HOG0001382	OG0001020	n0	XANCAGTX0491_005603-T1, XANCAGTX0491_005603-T2	XANPAGTX0501_005562-T1		
N2.HOG0001383	OG0001021	n0	XANCAGTX0491_005616-T1, XANCAGTX0491_005616-T2	XANPAGTX0501_005549-T1		
N2.HOG0001384	OG0001022	n0	XANCAGTX0491_005637-T1	XANPAGTX0501_010722-T1, XANPAGTX0501_005524-T1		
N2.HOG0001385	OG0001023	n0	XANCAGTX0491_005698-T1	XANPAGTX0501_005457-T2, XANPAGTX0501_005457-T1		
N2.HOG0001386	OG0001024	n0	XANCAGTX0491_005714-T1, XANCAGTX0491_005714-T2	XANPAGTX0501_005441-T1		
N2.HOG0001387	OG0001025	n0	XANCAGTX0491_005716-T2, XANCAGTX0491_005716-T1	XANPAGTX0501_005439-T1		
N2.HOG0001388	OG0001026	n0	XANCAGTX0491_005723-T1, XANCAGTX0491_005722-T1	XANPAGTX0501_005433-T1		
N2.HOG0001389	OG0001027	n0	XANCAGTX0491_005733-T2, XANCAGTX0491_005733-T1	XANPAGTX0501_005419-T1		
N2.HOG0001390	OG0001028	n0	XANCAGTX0491_005739-T1	XANPAGTX0501_005411-T1, XANPAGTX0501_005412-T1		
N2.HOG0001391	OG0001029	n0	XANCAGTX0491_005741-T1	XANPAGTX0501_005408-T1		
N2.HOG0001392	OG0001030	n0	XANCAGTX0491_005746-T1	XANPAGTX0501_005403-T1		
N2.HOG0001393	OG0001031	n0	XANCAGTX0491_005750-T1	XANPAGTX0501_005398-T1		
N2.HOG0001394	OG0001032	n0	XANCAGTX0491_005752-T1	XANPAGTX0501_005394-T1		
N2.HOG0001395	OG0001033	n0	XANCAGTX0491_005753-T1	XANPAGTX0501_005392-T1		
N2.HOG0001396	OG0001034	n0	XANCAGTX0491_008308-T1, XANCAGTX0491_005762-T1	XANPAGTX0501_005792-T1		
N2.HOG0001397	OG0001035	n0	XANCAGTX0491_005763-T1	XANPAGTX0501_005382-T2, XANPAGTX0501_005382-T1		
N2.HOG0001398	OG0001036	n0	XANCAGTX0491_005766-T1	XANPAGTX0501_005379-T1		
N2.HOG0001399	OG0001037	n0	XANCAGTX0491_005789-T2, XANCAGTX0491_005789-T1	XANPAGTX0501_005355-T1		
N2.HOG0001400	OG0001038	n0	XANCAGTX0491_005802-T1, XANCAGTX0491_008059-T1	XANPAGTX0501_005341-T1		
N2.HOG0001401	OG0001039	n0	XANCAGTX0491_005832-T1	XANPAGTX0501_005309-T1, XANPAGTX0501_005309-T2		
N2.HOG0001402	OG0001040	n0	XANCAGTX0491_005838-T1	XANPAGTX0501_005300-T1, XANPAGTX0501_005303-T1		
N2.HOG0001403	OG0001041	n0	XANCAGTX0491_005866-T1	XANPAGTX0501_005267-T1		
N2.HOG0001404	OG0001042	n0	XANCAGTX0491_005868-T1	XANPAGTX0501_005265-T1		
N2.HOG0001405	OG0001043	n0	XANCAGTX0491_005869-T1	XANPAGTX0501_005263-T1		
N2.HOG0001406	OG0001044	n0	XANCAGTX0491_005871-T1	XANPAGTX0501_005261-T1		
N2.HOG0001407	OG0001045	n0	XANCAGTX0491_005873-T1	XANPAGTX0501_005259-T1		
N2.HOG0001408	OG0001046	n0	XANCAGTX0491_005874-T1	XANPAGTX0501_005258-T1		
N2.HOG0001409	OG0001047	n0	XANCAGTX0491_005875-T1	XANPAGTX0501_005257-T1		
N2.HOG0001410	OG0001048	n0	XANCAGTX0491_005876-T1	XANPAGTX0501_005251-T1		
N2.HOG0001411	OG0001049	n0	XANCAGTX0491_005877-T1	XANPAGTX0501_005250-T1		
N2.HOG0001412	OG0001050	n0	XANCAGTX0491_005878-T1	XANPAGTX0501_005249-T1		
N2.HOG0001413	OG0001051	n0	XANCAGTX0491_005879-T1	XANPAGTX0501_005247-T1		
N2.HOG0001414	OG0001052	n0	XANCAGTX0491_005882-T1	XANPAGTX0501_005245-T2, XANPAGTX0501_005245-T1		
N2.HOG0001415	OG0001053	n0	XANCAGTX0491_005884-T1	XANPAGTX0501_005243-T1		
N2.HOG0001416	OG0001054	n0	XANCAGTX0491_005894-T1	XANPAGTX0501_005233-T1, XANPAGTX0501_005233-T2		
N2.HOG0001417	OG0001055	n0	XANCAGTX0491_005912-T1, XANCAGTX0491_005912-T2	XANPAGTX0501_005213-T1		
N2.HOG0001418	OG0001056	n0	XANCAGTX0491_005916-T1	XANPAGTX0501_005209-T2, XANPAGTX0501_005209-T1		
N2.HOG0001419	OG0001057	n0	XANCAGTX0491_005919-T1	XANPAGTX0501_005206-T2, XANPAGTX0501_005206-T1		
N2.HOG0001420	OG0001058	n0	XANCAGTX0491_005921-T1, XANCAGTX0491_005921-T2	XANPAGTX0501_005204-T1		
N2.HOG0001421	OG0001059	n0	XANCAGTX0491_005927-T1	XANPAGTX0501_005199-T2, XANPAGTX0501_005199-T1		
N2.HOG0001422	OG0001060	n0	XANCAGTX0491_005928-T2, XANCAGTX0491_005928-T1	XANPAGTX0501_005198-T1		
N2.HOG0001423	OG0001061	n0	XANCAGTX0491_005936-T2, XANCAGTX0491_005936-T1	XANPAGTX0501_005186-T1		
N2.HOG0001424	OG0001062	n0	XANCAGTX0491_005945-T1, XANCAGTX0491_005945-T2	XANPAGTX0501_005177-T1		
N2.HOG0001425	OG0001063	n0	XANCAGTX0491_005953-T2, XANCAGTX0491_005953-T1	XANPAGTX0501_005169-T1		
N2.HOG0001426	OG0001064	n0	XANCAGTX0491_005962-T1	XANPAGTX0501_005159-T2, XANPAGTX0501_005159-T1		
N2.HOG0001427	OG0001065	n0	XANCAGTX0491_005965-T1, XANCAGTX0491_007179-T1	XANPAGTX0501_005156-T1		
N2.HOG0001428	OG0001066	n0	XANCAGTX0491_005984-T2, XANCAGTX0491_005984-T1	XANPAGTX0501_005134-T1		
N2.HOG0001429	OG0001067	n0	XANCAGTX0491_005991-T1, XANCAGTX0491_005991-T2	XANPAGTX0501_005127-T1		
N2.HOG0001430	OG0001068	n0	XANCAGTX0491_006002-T1	XANPAGTX0501_005108-T1, XANPAGTX0501_010570-T1		
N2.HOG0001431	OG0001069	n0	XANCAGTX0491_006007-T1, XANCAGTX0491_006003-T1	XANPAGTX0501_005105-T1		
N2.HOG0001432	OG0001070	n0	XANCAGTX0491_009309-T1, XANCAGTX0491_006004-T1	XANPAGTX0501_009716-T1		
N2.HOG0001433	OG0001071	n0	XANCAGTX0491_006031-T1	XANPAGTX0501_010376-T1		
N2.HOG0001434	OG0001072	n0	XANCAGTX0491_006039-T2, XANCAGTX0491_006039-T1	XANPAGTX0501_010387-T1		
N2.HOG0001435	OG0001073	n0	XANCAGTX0491_006045-T1	XANPAGTX0501_010392-T1, XANPAGTX0501_010392-T2		
N2.HOG0001436	OG0001074	n0	XANCAGTX0491_006079-T1			
N2.HOG0001437	OG0001075	n0	XANCAGTX0491_006087-T1			
N2.HOG0001438	OG0001076	n0	XANCAGTX0491_006088-T1			
N2.HOG0001439	OG0001077	n0	XANCAGTX0491_006089-T1			
N2.HOG0001440	OG0001078	n0	XANCAGTX0491_006090-T1	XANPAGTX0501_005098-T1		
N2.HOG0001441	OG0001079	n0	XANCAGTX0491_006106-T1	XANPAGTX0501_010580-T1		
N2.HOG0001442	OG0001080	n0	XANCAGTX0491_006107-T1	XANPAGTX0501_010581-T1		
N2.HOG0001443	OG0001081	n0	XANCAGTX0491_006108-T1	XANPAGTX0501_010583-T1		
N2.HOG0001444	OG0001082	n0	XANCAGTX0491_006112-T1	XANPAGTX0501_010587-T2, XANPAGTX0501_010587-T1		
N2.HOG0001445	OG0001083	n0	XANCAGTX0491_006140-T1, XANCAGTX0491_008172-T1	XANPAGTX0501_010621-T1		
N2.HOG0001446	OG0001084	n0	XANCAGTX0491_006142-T1	XANPAGTX0501_010576-T1, XANPAGTX0501_010562-T1		
N2.HOG0001447	OG0001085	n0	XANCAGTX0491_006146-T1	XANPAGTX0501_010578-T1, XANPAGTX0501_010565-T1		
N2.HOG0001448	OG0001086	n0	XANCAGTX0491_006170-T2, XANCAGTX0491_006170-T1	XANPAGTX0501_003814-T1		
N2.HOG0001449	OG0001087	n0	XANCAGTX0491_006184-T2, XANCAGTX0491_006184-T1	XANPAGTX0501_003798-T1		
N2.HOG0001450	OG0001088	n0	XANCAGTX0491_006201-T1	XANPAGTX0501_003779-T2, XANPAGTX0501_003779-T1		
N2.HOG0001451	OG0001089	n0	XANCAGTX0491_006230-T1	XANPAGTX0501_003747-T1, XANPAGTX0501_003747-T2		
N2.HOG0001452	OG0001090	n0	XANCAGTX0491_006249-T1	XANPAGTX0501_003730-T1, XANPAGTX0501_003730-T2		
N2.HOG0001453	OG0001091	n0	XANCAGTX0491_006275-T1	XANPAGTX0501_003704-T1		
N2.HOG0001454	OG0001092	n0	XANCAGTX0491_006289-T1, XANCAGTX0491_006289-T2	XANPAGTX0501_003691-T1		
N2.HOG0001455	OG0001093	n0	XANCAGTX0491_006299-T1, XANCAGTX0491_006299-T2	XANPAGTX0501_003682-T1		
N2.HOG0001456	OG0001094	n0	XANCAGTX0491_006310-T1	XANPAGTX0501_003671-T1, XANPAGTX0501_003671-T2		
N2.HOG0001457	OG0001095	n0	XANCAGTX0491_006318-T1	XANPAGTX0501_003662-T1, XANPAGTX0501_004531-T1		
N2.HOG0001458	OG0001096	n0	XANCAGTX0491_006324-T1	XANPAGTX0501_003657-T1, XANPAGTX0501_001581-T1		
N2.HOG0001459	OG0001097	n0	XANCAGTX0491_006351-T2, XANCAGTX0491_006351-T1	XANPAGTX0501_003628-T1		
N2.HOG0001460	OG0001098	n0	XANCAGTX0491_006359-T1, XANCAGTX0491_006359-T2	XANPAGTX0501_003620-T1		
N2.HOG0001461	OG0001099	n0	XANCAGTX0491_006366-T1	XANPAGTX0501_003613-T2, XANPAGTX0501_003613-T1		
N2.HOG0001462	OG0001100	n0	XANCAGTX0491_006395-T1	XANPAGTX0501_003583-T2, XANPAGTX0501_003583-T1		
N2.HOG0001463	OG0001101	n0	XANCAGTX0491_006403-T1	XANPAGTX0501_003573-T1		
N2.HOG0001464	OG0001102	n0	XANCAGTX0491_006410-T1	XANPAGTX0501_003567-T2, XANPAGTX0501_003567-T1		
N2.HOG0001465	OG0001103	n0	XANCAGTX0491_006416-T1	XANPAGTX0501_003561-T1, XANPAGTX0501_003561-T2		
N2.HOG0001466	OG0001104	n0	XANCAGTX0491_006421-T1, XANCAGTX0491_006421-T2	XANPAGTX0501_003556-T1		
N2.HOG0001467	OG0001105	n0	XANCAGTX0491_006424-T1	XANPAGTX0501_003552-T1, XANPAGTX0501_003552-T2		
N2.HOG0001468	OG0001106	n0	XANCAGTX0491_006425-T1	XANPAGTX0501_003551-T1, XANPAGTX0501_003551-T2		
N2.HOG0001469	OG0001107	n0	XANCAGTX0491_006427-T2, XANCAGTX0491_006427-T1	XANPAGTX0501_003549-T1		
N2.HOG0001470	OG0001108	n0	XANCAGTX0491_006445-T1	XANPAGTX0501_003532-T1, XANPAGTX0501_003532-T2		
N2.HOG0001471	OG0001109	n0	XANCAGTX0491_006459-T1	XANPAGTX0501_003518-T2, XANPAGTX0501_003518-T1		
N2.HOG0001472	OG0001110	n0	XANCAGTX0491_006496-T1, XANCAGTX0491_006496-T2	XANPAGTX0501_003480-T1		
N2.HOG0001473	OG0001111	n0	XANCAGTX0491_006513-T2, XANCAGTX0491_006513-T1	XANPAGTX0501_003461-T1		
N2.HOG0001474	OG0001112	n0	XANCAGTX0491_006530-T1	XANPAGTX0501_000402-T1, XANPAGTX0501_003441-T1		
N2.HOG0001475	OG0001113	n0	XANCAGTX0491_006548-T1, XANCAGTX0491_006548-T2	XANPAGTX0501_003420-T1		
N2.HOG0001476	OG0001114	n0	XANCAGTX0491_006575-T2, XANCAGTX0491_006575-T1	XANPAGTX0501_003391-T1		
