"Name","Start","End","Size","Count Of Windows","Product","Substrate","Composite","GC Content"
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",252000,257500,5500,10,1.28,0.41,0.87,24.89
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",400500,408500,8000,15,1.75,0.26,1.49,39.8
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",408500,414000,5500,10,1.64,0.51,1.12,46.24
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",430000,443500,13500,26,1.62,0.32,1.3,39.29
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",446000,465000,19000,37,1.76,0.27,1.49,41.39
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",475500,485000,9500,18,1.82,0.24,1.57,40.17
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",485500,538000,52500,104,1.7,0.3,1.4,40.44
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",889500,894500,5000,9,1.58,0.65,0.93,45.86
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",903000,909500,6500,12,1.55,0.6,0.95,44.94
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",909500,914500,5000,9,1.41,0.55,0.86,43.46
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",917500,925000,7500,14,1.4,0.55,0.85,44.68
"ENA|OZ210043|OZ210043.1 Xanthoria parietina genome assembly, chromosome: 16",1153500,1167000,13500,26,1.64,0.41,1.24,43.14
