geneID	familyID	included_in_subset
asplen8_tyr1775	fam06	N
aspter10_tyr2888	fam06	N
aspoch5_tyr2231	fam06	N
aspfum5_tyr1395	fam06	N
asplat7_tyr1723	fam06	N
aspter10_tyr2885	fam06	N
asplen8_tyr1773	fam06	N
aspgla1_OJJ81546.1	fam06	N
aspnig5_tyr2095	fam06	N
hiscap1_5928	fam06	N
penbra1_3631	fam06	N
penroq1_7137_7138	n.d.	N
penthy1_174382	fam06	N
aspcor3_tyr920	fam06	N
asppuu1_tyr2548	fam06	N
aspscl6_tyr2634	fam06	N
aspfis5_tyr1170	fam06	N
aspuda4_tyr3016	fam06	N
asplat6_tyr1698	fam06	N
aspnid1_CBF75942.1_CBF75944.1_CBF75946.1	n.d.	N
aspche2_tyr892	fam06	N
emmcre2_KKZ61741.1	fam06	N
psesp.11_tyr9301	fam06	N
psesp.5_187	fam06	N
psesp.14_KFY20107.1	fam06	N
psesp.20_KFY66944.1	fam06	N
psesp.22_KFZ20555.1	fam06	N
psesp.5_1992	fam06	N
psesp.17_KFZ02619.1	fam06	N
psesp.3_1735	fam06	N
psesp.4_1827_1828	n.d.	N
psesp.4_tyr9584	fam06	N
psesp.5_712	fam06	N
psesp.14_KFY31799.1	fam06	N
psesp.15_KFY57135.1_KFY57136.1	n.d.	N
psesp.4_tyr9579	fam06	N
Galactica_Afla-Captain	fam07	N
asppse8_286872	fam07	N
asplep2_tyr1813	fam07	N
aspche2_tyr868	fam07	N
aspfum5_EAL87801.2	fam07	N
Starship-1_Asoj-Captain	fam07	N
asppse8_278758	fam07	N
Starship-2_Pvar-Captain	fam07	N
aspcar1_tyr828	fam07	N
aspcla3_EAW09702.1	fam07	N
aspoli1_tyr2253	fam07	N
aspacu4_tyr350	fam07	N
aspell2_tyr1081	fam07	N
aspfum5_EAL87819.1_EAL87820.1_EAL87821.1	n.d.	N
aspthe1_tyr2953	fam07	N
aspasp3_tyr578	fam07	N
aspche2_tyr882	fam07	N
aspqua1_tyr2559	fam07	N
aspaff1_tyr365	fam07	N
aspter10_tyr2883	fam07	N
aspust1_tyr3097	fam07	N
aspamo1_tyr433	fam07	N
aspnan1_KAF9890711.1	fam07	N
aspcri1_6849	fam07	N
aspcri5_tyr1036	fam07	N
aspgla1_OJJ85450.1_OJJ85451.1	n.d.	N
aspmel1_tyr1930	fam07	N
aspscl5_tyr2626	fam07	N
aspara2_tyr467	fam07	N
penant1_11477	fam07	N
penari1_5287	fam07	N
penrub1_CAP95304.1_CAP95306.1	n.d.	N
penthy1_187711	fam07	N
penbra1_9248	fam07	N
penfre1_tyr8819	fam07	N
pencam1_3517	fam07	N
penrub2_KAF3027235.1	fam07	N
pensp.9_KAF4765341.1	fam07	N
paevar1_289487	fam07	N
Starship-1_Cpsa-Captain	fam07	N
clapsa1_10577	fam07	N
elagra2_tyr4830	fam07	N
rhimac1_11078	fam07	N
cypeur1_114146	fam07	N
exospi1_9399	fam07	N
fonmon1_2411_2412	n.d.	N
phachl1_4316	fam07	N
phachl1_5955	fam07	N
elagra2_tyr4812	fam07	N
gluame1_KAH0543790.1	fam07	N
amores1_PSS18507.1	fam07	N
beabas1_10106	fam07	N
mictri1_252258	fam07	N
torhem1_9920	fam07	N
metacr1_2241	fam07	N
pocchl3_OAQ57905.2	fam07	N
stacha1_4873	fam07	N
fusneo1_tyr6117	fam07	N
fussp.8_RSL81990.1	fam07	N
dacest1_679540	fam07	N
fusfus45_tyr5792	fam07	N
fusman3_tyr6063	fam07	N
fusfus45_tyr5796	fam07	N
fusver2_EWG46573.1	fam07	N
metmaj1_tyr8185	fam07	N
fusoxy36_RKK64490.1	fam07	N
fusoxy44_KAG7415401.1_KAG7415409.1	n.d.	N
dacmac1_17988	fam07	N
ilysp.1_683701	fam07	N
chaglo1_574115	fam07	N
colfru5_tyr4312	fam07	N
coltof2_tyr4402	fam07	N
coltri1_tyr4416	fam07	N
coltru1_KAF6782444.1	fam07	N
colnym1_1020188	fam07	N
coltof2_2047	fam07	N
colnym1_1013311	fam07	N
gluame1_KAH0547751.1	fam07	N
gomame1_CAF9912407.1	fam07	N
gomame1_CAF9918205.1	fam07	N
gomame1_CAF9914209.1	fam07	N
chasp.7_RMZ91819.1	fam07	N
aspasp6_tyr598	fam07	N
aspsyd4_tyr2807	fam07	N
aspasp6_tyr601	fam07	N
aspsyd4_tyr2794	fam07	N
aspver1_OJI99576.1	fam07	N
aspscl4_tyr2611	fam07	N
aspthe1_tyr2959	fam07	N
asphir2_tyr1515	fam07	N
aspnan1_KAF9885275.1	fam07	N
paeniv1_tyr8569	fam07	N
raseme1_KKA23990.1	fam07	N
endpus1_8492	fam07	N
chasp.4_RMD40828.1	clade02	N
chasp.7_RMZ90284.1	clade02	N
bipmay2_EMD97612.1	clade02	N
lining1_19457	clade03	N
polfus1_563474	clade02	N
wilmik1_644492	clade02	N
tubaes1_5336	clade03	N
tubmag1_343032	clade01	N
tubmag1_tyr10602	clade02	N
vergal1_120558_120559	n.d.	N
gluame1_KAH0542452.1	clade02	N
lacari1_tyr7736	clade03	N
phisub1_17749	clade03	N
zalvar1_678354	clade03	N
lachya1_TVY25302.1	clade02	N
rhesp.1_tyr9923	clade02	N
psedes1_tyr9230	clade03	N
psesp.4_4487_4488	n.d.	N
psesp.12_tyr9318	clade02	N
psesp.4_6788_6789	n.d.	N
psesp.15_tyr9392	clade03	N
psesp.16_KFY89749.1	clade03	N
acemac1_681948	fam08	N
ascsar1_9624	fam08	N
venech1_RDL41173.1	fam08	N
psever1_9422	fam08	N
lacari1_tyr7740	fam08	N
botcal1_tyr3614	fam08	N
botcal1_tyr3618	fam08	N
monfru2_RAL66735.1	fam08	N
monlax1_tyr8314	fam08	N
sclbor1_tyr10062	fam08	N
monfru2_RAL60102.1	fam08	N
sclcep1_KAF7877687.1	fam08	N
botpor2_TGO90359.1	fam08	N
amyenc1_389645	fam08	N
hymalb1_CAG8976161.1_CAG8976162.1	n.d.	N
helsp.4_KAE8441678.1	fam08	N
phisco1_737160_737161	n.d.	N
phisub1_17707	fam08	N
lepsp.1_482229	fam08	N
hyphym1_tyr7592	fam08	N
lacari1_tyr7741	fam08	N
rutsp.2_tyr10042	fam08	N
sclscl1_APA09337.1	fam08	N
psever1_8338	fam08	N
lepsp.1_707367	fam08	N
orboli10_KAF3191570.1	fam08	N
orboli15_KAF3089738.1	fam08	N
orboli19_KAF3231896.1	fam08	N
orboli16_KAF3107618.1	fam08	N
trihyb1_905659	fam08	N
choven1_1052954	fam08	N
crycur1_tyr4496	clade03	N
ascsar1_7037	fam11	N
chlaer1_TAQ83553.1	fam11	N
cadsp.2_KAG4436364.1	fam11	N
leosp.1_775379	fam11	N
psesp.13_KFX99979.1	clade03	N
chlaer1_TAQ85415.1	fam11	N
rhyagr1_1870_1869	n.d.	N
lacari1_TVY14354.1	fam11	N
diacit1_KAG6354360.1	fam11	N
elsamp1_316789	fam11	N
glaloz2_EHL01589.1	fam11	N
lachya1_TVY26861.1	fam11	N
spobra1_10745	fam11	N
coccar1_81378	fam11	N
diaamp1_tyr4647	fam11	N
dotsep1_32084	fam11	N
neucra4_2977	fam11	N
diabat1_KAG8161438.1	fam11	N
fusnan1_tyr6095	fam11	N
fustja1_KAF5616136.1	fam11	N
fusxyl1_KAG5773589.1	fam11	N
psesp.4_703	fam11	N
leosp.1_718556	fam11	N
psesp.14_KFY24906.1	fam11	N
conlig1_643740	fam11	N
melbic1_394156	fam11	N
oidmai1_53117	fam11	N
cytleu1_ROW05950.1	fam11	N
altgai1_tyr157	clade03	N
altsol2_tyr198	clade03	N
stasp.1_382781	clade03	N
baupan1_EMC98256.1	clade03	N
parnod1_QRC96480.1	clade03	N
ascsar1_3734	clade03	N
emepas2_OJD15817.1_OJD15818.1	n.d.	N
aurpul1_15872	clade03	N
aursub2_KEQ98213.1	clade03	N
psefij1_EME77334.1	clade03	N
botdew1_KAF7921612.1	clade03	N
aurpul2_36615	clade03	N
colcam1_KAH0438924.1	clade03	N
colglo1_5357	clade03	N
colsia5_tyr4375	clade03	N
fuspen1_tyr6433	clade03	N
xylsp.8_760567	clade03	N
aurpul6_KEQ79301.1	clade03	N
hyspul1_112804	clade03	N
zymtri3_SMQ45618.1	clade03	N
zymtri4_SMY26934.1	clade03	N
psesp.4_4572	clade03	N
mictri1_387286	clade03	N
fusbux1_tyr5352	clade03	N
fustha1_tyr6742	clade03	N
consp.1_1239454	clade03	N
exomes1_110667	clade03	N
racsp.1_tyr9894	clade03	N
jimfla1_476449	clade03	N
jimfla2_143193	clade03	N
cergua1_330854	clade03	N
amapse1_tyr227	fam11	N
aursub3_EJD38325.1	fam11	N
monsp.5_RYP50627.1_RYP50628.1	n.d.	N
mycchl1_tyr8389	fam11	N
antflo1_EPQ28709.1	fam11	N
viopal1_370908	fam11	N
jamsp.1_185530	fam11	N
meimil1_154462	fam11	N
pseflo1_6738	fam11	N
Starship-1_Aalt-Captain	fam10	N
Starship-1_Agai-Captain	fam10	N
altgai1_tyr155	fam10	N
Starship-1_Aten-Captain	fam10	N
Starship-2_Aten-Captain	fam10	N
altatr1_tyr121	fam10	N
altatr2_tyr125	fam10	N
lizemp1_118025	fam10	N
pyrter3_EFQ93944.1	fam10	N
pyrtri10_tyr9789	fam10	N
pyrtri6_tyr9856	fam10	N
pyrtri11_KAG9375895.1	fam10	N
lizemp1_143644	fam10	N
pletra1_KAF2849805.1	fam10	N
lizemp1_103933	fam10	N
lizemp1_148783	fam10	N
macano1_413805_348491	n.d.	N
claely1_463329	fam10	N
coccar1_9885_111421	n.d.	N
cocmiy1_41893_111066	n.d.	N
maspha1_259090_259074	n.d.	N
corcas2_PSN65677.1	fam10	N
permac1_700065	fam10	N
altgan2_tyr165	fam10	N
delcon1_29688_29730_486811	n.d.	N
hyspul1_120259	fam10	N
patatr1_KAF2840256.1_KAF2840257.1	n.d.	N
patatr1_tyr8666	fam10	N
zoprhi1_KAF2178190.1	fam10	N
Voyager_Mpha_mp102-Captain	fam10	N
macpha1_756324	fam10	N
neopar1_tyr8483	fam10	N
neopar1_tyr8484	fam10	N
aaoarx1_319010	fam10	N
maspha1_203713	fam10	N
wesorn1_tyr10759	fam10	N
didexi1_10501	fam10	N
macano1_420158	fam10	N
claely1_437966	fam10	N
sethol1_15133	fam10	N
stasp.1_299864	fam10	N
lenflu1_KAF2680563.1	fam10	N
lenflu1_KAF2680670.1	fam10	N
cloaqu1_482612	fam10	N
parmin1_KAF9733691.1	fam10	N
polfus1_408015	fam10	N
polfus1_594435_594441	n.d.	N
polfus1_595134	fam10	N
wesorn1_504387	fam10	N
bimnov1_564002	fam10	N
rhyruf1_112818	fam10	N
gloste1_250357_290901	n.d.	N
hyspul1_118805	fam10	N
rhyruf1_tyr9994	fam10	N
mytres1_483318	fam10	N
mytres1_516471_225833	n.d.	N
mytres1_569544	fam10	N
rhyruf1_tyr9997	fam10	N
aurpul6_KEQ83187.1_KEQ83188.1	n.d.	N
delstr1_204501	fam10	N
delstr1_369760	fam10	N
delstr1_282815	fam10	N
cerber1_4073	fam10	N
cerbet1_PIA93163.1	fam10	N
cerkik1_GIZ46179.1	fam10	N
pasful1_KAH3649967.1_KAH3649832.1	n.d.	N
disaci1_KAF1825875.1	fam10	N
elsamp1_256687	fam10	N
elsbat1_KAG8628150.1	fam10	N
elsaus1_tyr4897	fam10	N
elsbat1_KAG8623403.1_KAG8623701.1	n.d.	N
elsfaw1_KAF4556065.1	fam10	N
elsaus2_TKX19097.1	fam10	N
cerkik1_GIZ36574.1	fam10	N
zascel1_17254	fam10	N
racsp.1_tyr9897	fam10	N
cudaci1_KAF4629989.1	fam08	N
Starship-1_Foxy_Fol4287-Captain	fam09	N
fussp.4_KAF9770092.1	fam09	N
fusxyl9_tyr7051	fam09	N
fusfus45_tyr5795	fam09	N
fusfus31_tyr5727	fam09	N
fusfus39_tyr5763	fam09	N
fusill1_tyr5996	fam09	N
fusdom1_tyr5472	fam09	N
neodit1_1586	fam09	N
fuspen1_tyr6438	fam09	N
cyloli1_548470	fam09	N
dacest1_612184	fam09	N
fusbeo1_KAF4342966.1	fam09	N
fusxyr1_tyr7062	fam09	N
fuscon1_tyr5412	fam09	N
fussp.6_tyr6673	fam09	N
neodit1_181	fam09	N
fusman2_tyr6057	fam09	N
fusnem1_tyr6103	fam09	N
fusnem1_tyr6106	fam09	N
geomor1_KAF4119892.1	fam09	N
hirmin1_9210	fam09	N
pocchl2_RZR69165.1	fam09	N
Starship-1_Tasp-Captain	fam09	N
triasp2_43980	fam09	N
triatr4_tyr10505	fam09	N
beabas2_KGQ02280.1	fam09	N
isafum1_tyr7678	fam09	N
leclec1_10286	fam09	N
pocchl2_RZR70293.1	fam09	N
moelib1_tyr8263	fam09	N
Starship-2_Pans-Captain	fam09	N
podans1_209680	fam09	N
podcom1_tyr9195	fam09	N
chasp.2_354242	fam09	N
sorsp.1_KAH7633559.1	fam09	N
sorsp.1_KAH7633844.1	fam09	N
podcom1_tyr9196	fam09	N
pyrgri1_TLD03770.1	fam09	N
pyrgri1_TLD05862.1	fam09	N
pyrory2_QBZ54310.1	fam09	N
pyrory4_ELQ69711.1	fam09	N
pyrsp.2_TLD25447.1	fam09	N
crypar1_KAF3763129.1	fam09	N
diacit1_KAG6368733.1	fam09	N
valmal3_664	fam09	N
colfru1_KAE9565890.1	fam09	N
diabat1_KAG8162722.1	fam09	N
diahel1_9225	fam09	N
colsal1_941573	fam09	N
coltri1_tyr4417	fam09	N
colvin1_tyr4425	fam09	N
coltof2_1585	fam09	N
neodit1_6628	fam09	N
colsub1_6891	fam09	N
hypsp.2_326193_642931	n.d.	N
mictri1_388981	fam09	N
xylsp.19_30440	fam09	N
colasi1_KAF0330480.1	fam09	N
colsid1_tyr4377	fam09	N
colplu1_KAF6806911.1	fam09	N
colplu1_KAF6808160.1	fam09	N
colplu1_KAF6821138.1	fam09	N
colsid1_tyr4379	fam09	N
verdah3_tyr10695	fam09	N
micbol1_140131	fam09	N
mictri1_436685	fam09	N
xylarb1_416827	fam09	N
xylarb1_485319	fam09	N
truang1_417612	fam09	N
verlon1_1636	fam09	N
annsty1_339604_401957	n.d.	N
kredeu2_220161_512558	n.d.	N
nemser2_436945	fam09	N
annsty1_404214	fam09	N
annsty1_427123	fam09	N
hyptru1_435293	fam09	N
monsp.3_tyr8334	fam09	N
monsp.6_tyr8358	fam09	N
astsub1_437548	fam09	N
astsub1_465646	fam09	N
xylsp.5_451751	fam09	N
xylsp.4_304735	fam09	N
truang1_533773	fam09	N
tolpar1_tyr10469	fam09	N
chaglo1_159177	fam09	N
chasp.2_300927	fam09	N
stalon1_KAG7293987.1	fam09	N
erebil1_455447	fam09	N
helsp.4_KAE8441012.1	fam09	N
lepsp.1_603043_720900_734108	n.d.	N
lining1_125901_125887	n.d.	N
polfus1_16250	fam09	N
crypar1_tyr4503	fam09	N
diacit1_KAG6354864.1	fam09	N
kredeu2_498028	fam09	N
tulsp.13_KAG8978541.1_KAG8978542.1	n.d.	N
phlbre1_15608	fam09	N
volvol2_KAF8645791.1	fam09	N
treper1_499963_134336	n.d.	N
lacwil1_tyr7764	fam09	N
xylbam1_657765	fam09	N
lopnuc1_601207	fam09	N
zoprhi1_KAF2186083.1	fam09	N
erebil1_510855	fam09	N
aspasp1_tyr547	clade03	N
aspcal3_tyr819	clade03	N
zymtri1_EGP85669.1	clade03	N
elsfaw1_KAF4556931.1	clade03	N
rutsp.1_tyr10026	clade03	N
exospi1_6301	clade03	N
bacgig1_KAG8533760.1	clade03	N
phisub1_19656	clade03	N
psesp.16_KFY82747.1	clade03	N
psesp.14_KFY24325.1	clade03	N
psesp.10_OBT66236.1	clade03	N
elsfaw1_KAF4547791.1	clade03	N
pyrter2_CAA9956742.1	clade03	N
pyrter3_EFQ88401.1	clade03	N
pucgra2_10909	clade03	N
fusfus16_tyr5625	clade03	N
fusfus29_tyr5704	clade03	N
fusfus30_tyr5713	clade03	N
ilydes1_KAH6980527.1	clade03	N
fusvan1_EEU46504.1	clade03	N
fusfus39_tyr5764	clade03	N
micbol1_176150	clade03	N
phicur1_TPX13777.1	clade03	N
cerbet1_PIA90313.1	clade03	N
mellar1_EGG09125.1	clade03	N
fusfra1_tyr5556	clade03	N
tolinf1_199956	clade01	N
delcon1_470772	clade03	N
