geneID	repID_mmseqs90/80	repID_mmseqs50/80	familyID
aspory4_tyr2306	aspfla12_tyr1192	aspfla8_tyr1221	fam07
aspory4_tyr2307	aspory10_tyr2266	aspbra1_OJJ65752.1	fam05
aspory4_tyr2308	aspfla10_tyr1186	aspche2_tyr892	fam06
aspory4_tyr2309	aspory1_9839_9840	paeniv1_60142	fam05
aspory4_tyr2310	aspfla7_tyr1217	aspsyd4_tyr2798	fam05
aspory5_tyr2311	aspfla7_tyr1213	asplep2_tyr1813	fam07
aspory5_tyr2312	aspory9_tyr2343	aspcri1_2283	fam01
aspory5_tyr2313	aspfla12_tyr1192	aspfla8_tyr1221	fam07
aspory5_tyr2314	aspfla7_tyr1211	aspsoj2_tyr2667	fam05
aspory5_tyr2315	aspory1_9839_9840	paeniv1_60142	fam05
aspory5_tyr2316	aspory5_tyr2316	aspory4_tyr2302	fam05
aspory5_tyr2317	aspfla10_tyr1186	aspche2_tyr892	fam06
aspory5_tyr2318	aspory10_tyr2259	blaper1_1788	fam05
aspory5_tyr2319	aspory2_EIT83020.1_EIT83023.1	aspory2_EIT83020.1_EIT83023.1	fam05
aspory6_tyr2320	aspfla12_tyr1192	aspfla8_tyr1221	fam07
aspory6_tyr2321	aspory7_tyr2325	aspory7_tyr2325	fam05
aspory6_tyr2322	aspory7_tyr2326	aspory7_tyr2326	fam05
aspory6_tyr2323	aspory7_tyr2327	aspory7_tyr2327	fam05
aspory7_tyr2324	aspfla12_tyr1192	aspfla8_tyr1221	fam07
aspory7_tyr2325	aspory7_tyr2325	aspory7_tyr2325	fam05
aspory7_tyr2326	aspory7_tyr2326	aspory7_tyr2326	fam05
aspory7_tyr2327	aspory7_tyr2327	aspory7_tyr2327	fam05
aspory8_tyr2328	asppse14_tyr2477	aspory2_EIT83020.1_EIT83023.1	fam05
aspory8_tyr2329	penchr1_144858	aspfla13_tyr1195	fam05
aspory8_tyr2330	aspfla13_tyr1195	aspfla13_tyr1195	fam05
aspory8_tyr2331	aspory1_9839_9840	paeniv1_60142	fam05
aspory8_tyr2332	aspfla12_tyr1192	aspfla8_tyr1221	fam07
aspory8_tyr2333	aspory1_9839_9840	paeniv1_60142	fam05
aspory8_tyr2334	aspfla7_tyr1211	aspsoj2_tyr2667	fam05
aspory8_tyr2335	aspfla7_tyr1213	asplep2_tyr1813	fam07
aspory8_tyr2336	aspory1_9839_9840	paeniv1_60142	fam05
aspory8_tyr2337	aspory10_tyr2266	aspbra1_OJJ65752.1	fam05
aspory8_tyr2338	aspfla10_tyr1186	aspche2_tyr892	fam06
aspory8_tyr2339	aspory10_tyr2259	blaper1_1788	fam05
aspory9_tyr2340	aspory5_tyr2316	aspory4_tyr2302	fam05
aspory9_tyr2341	aspfla10_tyr1186	aspche2_tyr892	fam06
aspory9_tyr2342	aspory9_tyr2342	aspory9_tyr2342	fam05
aspory9_tyr2343	aspory9_tyr2343	aspcri1_2283	fam01
aspory9_tyr2344	aspfla12_tyr1192	aspfla8_tyr1221	fam07
aspory9_tyr2345	asptra3_tyr2979	aspnov4_tyr2203	fam05
aspory9_tyr2346	aspory10_tyr2259	blaper1_1788	fam05
asppar10_tyr2348	asppar10_tyr2348	asptam4_tyr2843	fam06
asppar10_tyr2349	asppar13_tyr2365	asppar13_tyr2365	fam07
asppar10_tyr2350	asppar10_tyr2350	aspscl4_RJE24476.1	fam03
asppar10_tyr2351	asppar9_tyr2412	aspsyd4_tyr2794	fam07
asppar11_tyr2352	asppar11_tyr2352	asptam4_tyr2843	fam06
asppar11_tyr2353	aspfla10_tyr1186	aspche2_tyr892	fam06
asppar11_tyr2355	asppar11_tyr2355	aspnig9_PYH50115.1	fam05
asppar11_tyr2357	asppar11_tyr2357	blaper1_1788	fam05
asppar12_tyr2359	asppar13_tyr2365	asppar13_tyr2365	fam07
asppar12_tyr2360	asppar12_tyr2360	paeniv1_62125	fam05
asppar12_tyr2361	aspfla10_tyr1186	aspche2_tyr892	fam06
asppar12_tyr2362	asptra3_tyr2982	asptra3_tyr2982	fam03
asppar13_tyr2364	asptra3_tyr2982	asptra3_tyr2982	fam03
asppar13_tyr2365	asppar13_tyr2365	asppar13_tyr2365	fam07
asppar13_tyr2366	aspnov1_229355	aspcri1_2283	fam01
asppar13_tyr2367	aspfla10_tyr1184	aspibe2_tyr1544	fam06
asppar13_tyr2368	asppar13_tyr2368	asppar13_tyr2368	fam05
asppar13_tyr2369	asppar13_tyr2372	asppar13_tyr2372	fam05
asppar13_tyr2370	asppar13_tyr2370	aspuda5_tyr3030	fam05
asppar13_tyr2371	asppar13_tyr2371	asppar13_tyr2371	fam05
asppar13_tyr2372	asppar13_tyr2372	asppar13_tyr2372	fam05
asppar13_tyr2374	asppar13_tyr2374	pesfic1_tyr9064	fam05
asppar14_tyr2375	asppar14_tyr2375	asppar13_tyr2371	fam05
asppar14_tyr2376	asppar14_tyr2376	asppar14_tyr2376	fam05
asppar14_tyr2377	aspber1_tyr678	asppse7_tyr2516	fam06
asppar14_tyr2380	asppse14_tyr2477	aspory2_EIT83020.1_EIT83023.1	fam05
asppar14_tyr2381	asptra3_tyr2976	asptam4_tyr2843	fam06
asppar14_tyr2382	asppar14_tyr2375	asppar13_tyr2371	fam05
asppar14_tyr2383	aspsoj2_tyr2667	aspsoj2_tyr2667	fam05
asppar14_tyr2384	aspfla10_tyr1186	aspche2_tyr892	fam06
asppar14_tyr2385	asppar14_tyr2385	asppar14_tyr2385	fam05
asppar1_350418_188598	aspfla12_tyr1192	aspfla8_tyr1221	n.d.
asppar1_359631	aspory9_tyr2343	aspcri1_2283	fam01
asppar1_364611	asptra3_tyr2979	aspnov4_tyr2203	fam05
asppar4_227605	asppar13_tyr2365	asppar13_tyr2365	fam07
asppar4_tyr2390	asppar5_tyr2396	asppar5_tyr2396	fam06
asppar4_tyr2392	asppar7_tyr2406	aspmon1_tyr1958	fam06
asppar5_tyr2393	asppar14_tyr2375	asppar13_tyr2371	fam05
asppar5_tyr2394	asppar5_tyr2394	asppar5_tyr2394	fam05
asppar5_tyr2396	asppar5_tyr2396	asppar5_tyr2396	fam06
asppar5_tyr2397	asppar13_tyr2365	asppar13_tyr2365	fam07
asppar5_tyr2398	aspory9_tyr2343	aspcri1_2283	fam01
asppar5_tyr2399	asppar5_tyr2399	aspfis5_tyr1176	fam05
asppar6_tyr2400	asppar5_tyr2396	asppar5_tyr2396	fam06
asppar6_tyr2401	asppar6_tyr2401	asppar13_tyr2365	fam07
asppar7_tyr2403	asppar13_tyr2365	asppar13_tyr2365	fam07
asppar7_tyr2404	asppar5_tyr2396	asppar5_tyr2396	fam06
asppar7_tyr2406	asppar7_tyr2406	aspmon1_tyr1958	fam06
asppar8_tyr2407	aspfla12_tyr1192	aspfla8_tyr1221	fam07
asppar8_tyr2408	aspfla10_tyr1184	aspibe2_tyr1544	fam06
asppar8_tyr2409	aspasp9_tyr633	hiscap1_tyr7335	fam05
asppar9_tyr2410	asppar9_tyr2410	elagra2_3893	fam03
asppar9_tyr2411	asppar13_tyr2365	asppar13_tyr2365	fam07
asppar9_tyr2412	asppar9_tyr2412	aspsyd4_tyr2794	fam07
asppar9_tyr2413	asptra3_tyr2982	asptra3_tyr2982	fam03
aspper1_tyr2416	aspper1_tyr2416	aspawa2_tyr663	fam06
aspper1_tyr2417	aspper1_tyr2417	aspuda5_tyr3030	fam05
aspper1_tyr2418	aspper1_tyr2418	pesfic1_tyr9064	fam05
aspper1_tyr2419	aspper1_tyr2419	elagra2_5720	fam05
aspper1_tyr2420	aspoch5_tyr2230	aspmel1_tyr1930	fam07
aspper1_tyr2421	aspscl4_RJE17657.1	aspgla1_OJJ85450.1_OJJ85451.1	fam07
aspper1_tyr2422	aspper1_tyr2422	aspper1_tyr2422	fam05
aspper1_tyr2423	aspper1_tyr2423	aspasp7_tyr611	fam02
aspper1_tyr2424	aspper1_tyr2424	aspper1_tyr2424	fam06
aspper1_tyr2425	aspper1_tyr2425	aspasp3_tyr590	fam06
aspper1_tyr2427	aspper1_tyr2427	aspche2_tyr892	fam06
asppho1_RDK36439.1_RDK36440.1	asppho1_RDK36439.1_RDK36440.1	asppho1_RDK36439.1_RDK36440.1	n.d.
asppho1_RDK41012.1	asppho1_RDK41012.1	asppho1_RDK41012.1	fam05
asppho1_RDK41021.1	asppho1_RDK41021.1	asppho1_RDK41021.1	fam05
asppho1_RDK42386.1	aspawa2_tyr663	aspawa2_tyr663	fam06
asppho1_tyr2430	asppho1_tyr2430	asppho1_tyr2430	fam05
asppro1_tyr2436	aspasp9_tyr633	hiscap1_tyr7335	fam05
asppro1_tyr2437	aspasp6_tyr597	aspasp7_tyr611	fam02
asppro1_tyr2438	asppro1_tyr2438	asplat4_tyr1652	fam02
asppro1_tyr2439	asppro1_tyr2441	aspscl5_tyr2626	fam07
asppro1_tyr2441	asppro1_tyr2441	aspscl5_tyr2626	fam07
asppro1_tyr2442	aspasp6_tyr604	aspasp7_tyr611	fam02
asppro1_tyr2443	aspasp11_tyr515	blader5_EQL29727.1	fam05
asppro1_tyr2444	aspamo1_tyr437	paeniv1_60142	fam05
asppro1_tyr2445	asppro1_tyr2445	aspory2_EIT83020.1_EIT83023.1	fam05
asppro1_tyr2447	asppro1_tyr2447	asppro1_tyr2447	fam05
asppse10_KAB8253550.1	aspnom1_38117	aspscl5_tyr2618	fam05
asppse10_KAB8253913.1	aspnom1_155723	aspnom1_155723	fam05
asppse10_KAB8254115.1	aspnom1_143162	aspsoj2_tyr2667	fam05
asppse10_KAB8254129.1	aspory1_9839_9840	paeniv1_60142	fam05
asppse10_KAB8254281.1	aspnom1_143040	aspsp.1_RMJ24447.1	fam03
asppse10_KAB8256787.1	aspfla13_tyr1195	aspfla13_tyr1195	fam05
asppse10_KAB8256789.1	aspnom1_152942	aspsp.1_RMJ24447.1	fam03
asppse10_KAB8257962.1	asppse10_KAB8257962.1	aspfla13_tyr1195	fam05
asppse10_KAB8258649.1_KAB8258650.1	aspnom1_125579_139535	aspnom1_125579_139535	n.d.
asppse10_KAB8259317.1	asppar10_tyr2350	aspscl4_RJE24476.1	fam03
asppse10_KAB8259318.1	asppse10_KAB8259318.1	aspuda5_tyr3030	fam05
asppse10_KAB8261545.1	asppse10_KAB8261545.1	aspasp7_tyr611	fam02
asppse11_303436	asppse11_303436	blaper1_1788	fam05
asppse11_tyr2466	asppse11_tyr2466	asppse11_tyr2466	fam06
asppse12_tyr2467	asppse11_303436	blaper1_1788	fam05
asppse12_tyr2468	asppse11_tyr2466	asppse11_tyr2466	fam06
asppse13_tyr2470	asppse13_tyr2470	aspawa2_tyr658	fam05
asppse13_tyr2471	asppse7_269677	aspcri1_2283	fam01
asppse13_tyr2472	asppse7_288767_264632	asppse7_288767_264632	fam05
asppse13_tyr2473	aspbom1_4180	asppar13_tyr2371	fam05
asppse13_tyr2474	asppse13_tyr2470	aspawa2_tyr658	fam05
asppse13_tyr2475	aspber1_tyr678	asppse7_tyr2516	fam06
asppse13_tyr2476	asppse7_tyr2516	asppse7_tyr2516	fam06
asppse14_tyr2477	asppse14_tyr2477	aspory2_EIT83020.1_EIT83023.1	fam05
asppse14_tyr2478	asppse8_298672_298673	asppse8_298672_298673	fam05
asppse14_tyr2479	asppse8_286879	asppar13_tyr2371	fam05
asppse14_tyr2480	asppse8_286872	asppse8_286872	fam07
asppse14_tyr2481	asppse8_279151	asppuu1_tyr2548	fam06
asppse14_tyr2482	asppse14_tyr2482	aspibe2_tyr1544	fam06
asppse14_tyr2484	asppse8_278758	asppse8_278758	fam07
asppse15_tyr2485	asppse15_tyr2485	asppse15_tyr2485	fam02
asppse15_tyr2486	asppse15_tyr2486	aspuda5_tyr3030	fam05
asppse15_tyr2489	asppse15_tyr2489	paeniv1_60142	fam05
asppse15_tyr2490	asppse15_tyr2490	aspawa2_tyr663	fam06
asppse6_100525	asppse14_tyr2477	aspory2_EIT83020.1_EIT83023.1	fam05
asppse6_259663	aspfla13_tyr1195	aspfla13_tyr1195	fam05
asppse6_272785_252398_159621	aspnom1_125579_139535	aspnom1_125579_139535	n.d.
asppse6_276485	aspnom1_143040	aspsp.1_RMJ24447.1	fam03
asppse6_276635	aspory1_9839_9840	paeniv1_60142	fam05
asppse6_276968	aspnom1_143162	aspsoj2_tyr2667	fam05
asppse6_280384	asppse9_KAE8407123.1	aspibe2_tyr1544	fam06
asppse6_287298	aspnom1_152942	aspsp.1_RMJ24447.1	fam03
asppse6_289491	asppse9_KAE8397347.1	asppse9_KAE8397347.1	fam05
asppse6_289557	asppar11_tyr2355	aspnig9_PYH50115.1	fam05
asppse6_290564	asppse9_KAE8399029.1	paeniv1_60142	fam05
asppse6_291961_265565	aspara2_tyr465	penrub2_KAF3021169.1	n.d.
asppse6_65251_289620	aspnom1_155723	aspnom1_155723	n.d.
asppse6_tyr2494	aspfla10_tyr1186	aspche2_tyr892	fam06
asppse7_269677	asppse7_269677	aspcri1_2283	fam01
asppse7_288024	asppse13_tyr2470	aspawa2_tyr658	fam05
asppse7_288767_264632	asppse7_288767_264632	asppse7_288767_264632	n.d.
asppse7_291355	aspbom1_4180	asppar13_tyr2371	fam05
asppse7_tyr2510	asppse13_tyr2470	aspawa2_tyr658	fam05
asppse7_tyr2515	aspber1_tyr678	asppse7_tyr2516	fam06
asppse7_tyr2516	asppse7_tyr2516	asppse7_tyr2516	fam06
asppse8_145480	asppse14_tyr2477	aspory2_EIT83020.1_EIT83023.1	fam05
asppse8_278758	asppse8_278758	asppse8_278758	fam07
asppse8_279151	asppse8_279151	asppuu1_tyr2548	fam06
asppse8_286872	asppse8_286872	asppse8_286872	fam07
asppse8_286879	asppse8_286879	asppar13_tyr2371	fam05
asppse8_298672_298673	asppse8_298672_298673	asppse8_298672_298673	n.d.
asppse8_306156	asppse14_tyr2482	aspibe2_tyr1544	fam06
asppse9_KAE8397197.1_KAE8397198.1	aspnom1_155723	aspnom1_155723	n.d.
asppse9_KAE8397269.1	asppar11_tyr2355	aspnig9_PYH50115.1	fam05
asppse9_KAE8397347.1	asppse9_KAE8397347.1	asppse9_KAE8397347.1	fam05
asppse9_KAE8397377.1	aspnom1_143162	aspsoj2_tyr2667	fam05
asppse9_KAE8397492.1_KAE8397493.1	aspara2_tyr465	penrub2_KAF3021169.1	n.d.
asppse9_KAE8397824.1	aspory1_9839_9840	paeniv1_60142	fam05
asppse9_KAE8398015.1	aspnom1_143040	aspsp.1_RMJ24447.1	fam03
asppse9_KAE8399029.1	asppse9_KAE8399029.1	paeniv1_60142	fam05
asppse9_KAE8399767.1	aspfla13_tyr1195	aspfla13_tyr1195	fam05
asppse9_KAE8399769.1	aspnom1_152942	aspsp.1_RMJ24447.1	fam03
asppse9_KAE8402468.1_KAE8402469.1_KAE8402470.1	aspnom1_125579_139535	aspnom1_125579_139535	n.d.
asppse9_KAE8404947.1	asppse14_tyr2477	aspory2_EIT83020.1_EIT83023.1	fam05
asppse9_KAE8407123.1	asppse9_KAE8407123.1	aspibe2_tyr1544	fam06
asppse9_tyr2540	aspfla10_tyr1186	aspche2_tyr892	fam06
asppuu1_tyr2545	asppuu1_tyr2545	asplat4_tyr1652	fam02
asppuu1_tyr2548	asppuu1_tyr2548	asppuu1_tyr2548	fam06
aspqua1_tyr2550	aspqua1_tyr2550	asplat6_tyr1695	fam02
aspqua1_tyr2551	aspqua1_tyr2551	aspasp7_tyr611	fam02
aspqua1_tyr2552	aspqua1_tyr2552	aspqua1_tyr2552	fam05
aspqua1_tyr2553	aspqua1_tyr2553	aspqua1_tyr2553	fam05
aspqua1_tyr2554	aspqua1_tyr2554	aspche2_tyr892	fam06
aspqua1_tyr2555	aspqua1_tyr2555	aspqua1_tyr2555	fam05
aspqua1_tyr2556	aspqua1_tyr2556	aspqua1_tyr2555	fam05
aspqua1_tyr2557	aspspi2_tyr2734	aspnid3_tyr2023	fam05
aspqua1_tyr2558	aspqua1_tyr2558	paeniv1_60142	fam05
aspqua1_tyr2559	aspqua1_tyr2559	aspqua1_tyr2559	fam07
aspqua1_tyr2560	aspqua1_tyr2560	pesfic1_tyr9064	fam05
aspqua1_tyr2561	aspqua1_tyr2561	aspasp11_tyr514	fam06
aspram2_2097	aspoch1_560274	aspory2_EIT83020.1_EIT83023.1	fam05
aspram2_6264_6265	aspram3_tyr2565	aspcri1_2283	n.d.
aspram3_tyr2565	aspram3_tyr2565	aspcri1_2283	fam01
aspram3_tyr2566	aspoch1_560274	aspory2_EIT83020.1_EIT83023.1	fam05
asprub1_EYE89990.1	eurrub1_468238	aspche2_tyr892	fam06
asprub1_EYE90137.1	eurrub1_534540	aspsyd4_tyr2803	fam02
asprub1_EYE90275.1	eurrub1_519261	aspuda5_tyr3030	fam05
asprub1_EYE90365.1	aspmon1_tyr1975	aspcro1_tyr1044	fam05
asprub1_EYE90951.1	eurrub1_381440	aspwel3_tyr3177	fam05
asprub1_EYE91989.1_EYE91990.1	eurrub1_405644_415988	eurrub1_405644_415988	n.d.
asprub1_EYE92095.1	eurrub1_525771	eurrub1_525771	fam03
asprub1_EYE94547.1_EYE94764.1_EYE94548.1	eurrub1_403102_531196	eurrub1_403102_531196	n.d.
asprub1_EYE95670.1	eurrub1_515067	aspcri1_2283	fam01
asprub1_EYE97833.1_EYE97834.1	eurrub1_409098_400016	paeniv1_60142	n.d.
asprub1_EYE97835.1	eurrub1_449754	eurrub1_449754	fam02
asprub1_EYE97963.1_EYE97964.1	eurrub1_264469_264480	eurrub1_264469_264480	n.d.
asprub1_tyr2586	eurrub1_tyr5064	aspgla1_tyr1464	fam05
aspsac1_350951	aspsac2_tyr2594	aspawa2_tyr663	fam06
aspsac1_415037	aspell1_446527	aspscl4_RJE24476.1	fam03
aspsac1_tyr2591	aspjap1_tyr1560	aspscl6_tyr2634	fam06
aspsac1_tyr2592	aspsac2_tyr2593	aspsac2_tyr2593	fam01
aspsac2_tyr2593	aspsac2_tyr2593	aspsac2_tyr2593	fam01
aspsac2_tyr2594	aspsac2_tyr2594	aspawa2_tyr663	fam06
aspsac2_tyr2595	aspell1_446527	aspscl4_RJE24476.1	fam03
aspsac2_tyr2596	aspjap1_tyr1560	aspscl6_tyr2634	fam06
aspscl2_313132	aspscl7_tyr2638	aspscl4_RJE24476.1	fam03
aspscl3_542116	aspscl6_tyr2637	aspoch5_tyr2223	fam01
aspscl3_571035	aspscl6_tyr2635	aspscl6_tyr2635	fam05
aspscl3_tyr2598	aspscl6_tyr2636	aspscl6_tyr2634	fam06
aspscl3_tyr2600	aspscl6_tyr2634	aspscl6_tyr2634	fam06
aspscl4_RJE17632.1	aspscl4_RJE17632.1	aspscl4_RJE17632.1	fam05
aspscl4_RJE17657.1	aspscl4_RJE17657.1	aspgla1_OJJ85450.1_OJJ85451.1	fam07
aspscl4_RJE18904.1_RJE18905.1_RJE18906.1	aspscl4_RJE18904.1_RJE18905.1_RJE18906.1	paeniv1_60142	n.d.
aspscl4_RJE22918.1_RJE22917.1	aspscl4_RJE22918.1_RJE22917.1	blaper1_1788	n.d.
aspscl4_RJE24476.1	aspscl4_RJE24476.1	aspscl4_RJE24476.1	fam03
aspscl4_tyr2611	aspscl4_tyr2611	aspscl4_tyr2611	fam07
aspscl5_tyr2614	aspscl5_tyr2614	aspscl5_tyr2614	fam06
aspscl5_tyr2615	aspscl5_tyr2615	aspscl5_tyr2615	fam05
aspscl5_tyr2616	aspscl5_tyr2618	aspscl5_tyr2618	fam05
aspscl5_tyr2618	aspscl5_tyr2618	aspscl5_tyr2618	fam05
aspscl5_tyr2619	aspscl5_tyr2619	aspuda5_tyr3030	fam05
aspscl5_tyr2621	aspmel1_tyr1937	aspory2_EIT83020.1_EIT83023.1	fam05
aspscl5_tyr2622	aspscl5_tyr2622	aspnid4_tyr2028	fam05
aspscl5_tyr2623	aspscl5_tyr2623	aspcri1_2283	fam01
aspscl5_tyr2625	aspscl5_tyr2625	asppar5_tyr2396	fam06
aspscl5_tyr2626	aspscl5_tyr2626	aspscl5_tyr2626	fam07
aspscl5_tyr2627	aspscl5_tyr2627	aspfla13_tyr1195	fam05
aspscl5_tyr2628	aspscl5_tyr2628	aspasp1_tyr543	fam02
aspscl5_tyr2629	aspscl5_tyr2629	aspscl5_tyr2629	fam02
aspscl5_tyr2631	aspscl5_tyr2627	aspfla13_tyr1195	fam05
aspscl6_tyr2634	aspscl6_tyr2634	aspscl6_tyr2634	fam06
aspscl6_tyr2635	aspscl6_tyr2635	aspscl6_tyr2635	fam05
aspscl6_tyr2636	aspscl6_tyr2636	aspscl6_tyr2634	fam06
aspscl6_tyr2637	aspscl6_tyr2637	aspoch5_tyr2223	fam01
aspscl7_tyr2638	aspscl7_tyr2638	aspscl4_RJE24476.1	fam03
aspser1_193194	aspfla10_tyr1184	aspibe2_tyr1544	fam06
aspser1_193889	aspser2_tyr2648	asppar14_tyr2385	fam05
aspser1_213172	aspbom1_4180	asppar13_tyr2371	fam05
aspser1_tyr2640	aspser2_tyr2644	aspser2_tyr2644	fam03
aspser1_tyr2643	asptra3_tyr2976	asptam4_tyr2843	fam06
aspser2_tyr2644	aspser2_tyr2644	aspser2_tyr2644	fam03
aspser2_tyr2645	asptra3_tyr2976	asptam4_tyr2843	fam06
aspser2_tyr2646	aspfla10_tyr1184	aspibe2_tyr1544	fam06
aspser2_tyr2647	aspbom1_4180	asppar13_tyr2371	fam05
aspser2_tyr2648	aspser2_tyr2648	asppar14_tyr2385	fam05
aspsoj1_tyr2650	asppar5_tyr2396	asppar5_tyr2396	fam06
aspsoj1_tyr2651	aspsoj1_tyr2651	aspwel3_tyr3177	fam03
aspsoj1_tyr2652	paevar2_465981	aspfum5_EAL87801.2	fam07
aspsoj1_tyr2653	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj1_tyr2654	aspfla10_tyr1184	aspibe2_tyr1544	fam06
aspsoj1_tyr2655	aspber1_tyr678	asppse7_tyr2516	fam06
aspsoj1_tyr2656	aspara1_170171	asppar13_tyr2371	fam05
aspsoj1_tyr2657	aspory1_9839_9840	paeniv1_60142	fam05
aspsoj1_tyr2658	aspara1_170171	asppar13_tyr2371	fam05
aspsoj1_tyr2659	aspsoj2_tyr2667	aspsoj2_tyr2667	fam05
aspsoj1_tyr2660	aspsoj1_tyr2660	aspsoj1_tyr2660	fam05
aspsoj1_tyr2661	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj2_tyr2664	aspsoj1_tyr2660	aspsoj1_tyr2660	fam05
aspsoj2_tyr2665	aspara1_170171	asppar13_tyr2371	fam05
aspsoj2_tyr2666	aspsoj1_tyr2651	aspwel3_tyr3177	fam03
aspsoj2_tyr2667	aspsoj2_tyr2667	aspsoj2_tyr2667	fam05
aspsoj2_tyr2668	paevar2_465981	aspfum5_EAL87801.2	fam07
aspsoj2_tyr2669	aspfla10_tyr1184	aspibe2_tyr1544	fam06
aspsoj2_tyr2670	aspber1_tyr678	asppse7_tyr2516	fam06
aspsoj2_tyr2671	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj2_tyr2672	asppar5_tyr2396	asppar5_tyr2396	fam06
aspsoj2_tyr2673	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj2_tyr2674	aspara1_170171	asppar13_tyr2371	fam05
aspsoj2_tyr2675	aspory1_9839_9840	paeniv1_60142	fam05
aspsoj2_tyr2676	aspory1_9839_9840	paeniv1_60142	fam05
aspsoj3_tyr2678	aspsoj1_tyr2651	aspwel3_tyr3177	fam03
aspsoj3_tyr2681	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj3_tyr2682	aspsoj3_tyr2690	aspche2_tyr884	fam05
aspsoj3_tyr2683	aspsoj1_tyr2660	aspsoj1_tyr2660	fam05
aspsoj3_tyr2684	aspara1_170171	asppar13_tyr2371	fam05
aspsoj3_tyr2685	aspsoj2_tyr2667	aspsoj2_tyr2667	fam05
aspsoj3_tyr2686	aspfla10_tyr1184	aspibe2_tyr1544	fam06
aspsoj3_tyr2687	aspber1_tyr678	asppse7_tyr2516	fam06
aspsoj3_tyr2688	asppar5_tyr2396	asppar5_tyr2396	fam06
aspsoj3_tyr2689	aspara1_170171	asppar13_tyr2371	fam05
aspsoj3_tyr2690	aspsoj3_tyr2690	aspche2_tyr884	fam05
aspsoj3_tyr2691	paevar2_465981	aspfum5_EAL87801.2	fam07
aspsoj3_tyr2692	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj4_tyr2693	aspara1_170171	asppar13_tyr2371	fam05
aspsoj4_tyr2694	aspory1_9839_9840	paeniv1_60142	fam05
aspsoj4_tyr2696	paevar2_465981	aspfum5_EAL87801.2	fam07
aspsoj4_tyr2697	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj4_tyr2698	aspsoj1_tyr2651	aspwel3_tyr3177	fam03
aspsoj4_tyr2699	aspfla10_tyr1184	aspibe2_tyr1544	fam06
aspsoj4_tyr2700	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj4_tyr2701	aspsoj1_tyr2660	aspsoj1_tyr2660	fam05
aspsoj4_tyr2702	aspara1_170171	asppar13_tyr2371	fam05
aspsoj4_tyr2703	aspsoj2_tyr2667	aspsoj2_tyr2667	fam05
aspsoj5_tyr2705	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj5_tyr2706	aspfla10_tyr1184	aspibe2_tyr1544	fam06
aspsoj5_tyr2707	asppar5_tyr2396	asppar5_tyr2396	fam06
aspsoj5_tyr2708	paevar2_465981	aspfum5_EAL87801.2	fam07
aspsoj5_tyr2709	aspory9_tyr2343	aspcri1_2283	fam01
aspsoj5_tyr2710	aspara1_170171	asppar13_tyr2371	fam05
aspsoj5_tyr2711	aspara1_170171	asppar13_tyr2371	fam05
aspsoj5_tyr2712	aspsoj2_tyr2667	aspsoj2_tyr2667	fam05
aspsoj5_tyr2713	aspber1_tyr678	asppse7_tyr2516	fam06
aspsoj5_tyr2715	aspsoj1_tyr2651	aspwel3_tyr3177	fam03
aspsoj5_tyr2717	aspsoj1_tyr2660	aspsoj1_tyr2660	fam05
aspsp.1_RMJ21038.1_RMJ21039.1	aspsp.1_RMJ21038.1_RMJ21039.1	aspcri1_2283	n.d.
aspsp.1_RMJ24447.1	aspsp.1_RMJ24447.1	aspsp.1_RMJ24447.1	fam03
aspsp.1_tyr2718	aspsp.1_tyr2718	paeniv1_60142	fam05
aspsp.1_tyr2720	aspsp.1_tyr2720	aspsp.1_tyr2720	fam05
aspsp.1_tyr2723	aspsp.1_tyr2723	aspsp.1_tyr2723	fam01
aspspi1_tyr2725	aspspi1_tyr2725	aspspi1_tyr2725	fam06
aspspi1_tyr2728	asplat1_tyr1595	asppar5_tyr2396	fam06
aspspi1_tyr2730	asplat1_tyr1604	asplat1_tyr1604	fam05
aspspi1_tyr2731	aspspi1_tyr2731	blaper1_1788	fam05
aspspi2_tyr2732	asplat1_tyr1604	asplat1_tyr1604	fam05
aspspi2_tyr2734	aspspi2_tyr2734	aspnid3_tyr2023	fam05
aspspi2_tyr2737	asplat1_tyr1595	asppar5_tyr2396	fam06
aspste3_356643	aspste4_tyr2752	aspste4_tyr2752	fam05
aspste3_360496	aspoch5_tyr2230	aspmel1_tyr1930	fam07
aspste3_465391_437579	aspste4_tyr2753	aspwes1_tyr3209	n.d.
aspste3_tyr2739	aspste4_tyr2750	aspoch5_tyr2231	fam06
aspste4_tyr2750	aspste4_tyr2750	aspoch5_tyr2231	fam06
aspste4_tyr2752	aspste4_tyr2752	aspste4_tyr2752	fam05
aspste4_tyr2753	aspste4_tyr2753	aspwes1_tyr3209	fam05
aspste4_tyr2754	aspoch5_tyr2230	aspmel1_tyr1930	fam07
aspsyd1_1170341_715686	aspsyd1_1170341_715686	aspnid3_tyr2019	n.d.
aspsyd1_145891	aspasp11_tyr517	aspscl4_RJE24476.1	fam03
