Captain_Sequence	First_Cluster_Rep	Second_Cluster_Rep
phlyctis.speirea.1_tyr496	phlyctis.speirea.1_tyr496	phlyctis.speirea.1_tyr496
phlyctis.speirea.1_tyr538	phlyctis.speirea.1_tyr538	alectoria.sarmentosa.3_tyr1179
phyllopsora.corallina.1_tyr576	phyllopsora.corallina.1_tyr576	umbilicaria.spodochroa.4_tyr2482
phyllopsora.parvifolia.1_tyr1413	phyllopsora.parvifolia.1_tyr1413	umbilicaria.mammulata.1_tyr624
phyllopsora.parvifolia.1_tyr2002	phyllopsora.parvifolia.1_tyr2002	acanthothecis.fontana.1_tyr3737
phyllopsora.parvifolia.1_tyr3702	phyllopsora.parvifolia.1_tyr3702	alectoria.sarmentosa.3_tyr1179
physciaceae.sp..4_tyr1550	physciaceae.sp..4_tyr1550	melanelia.culbersonii.1_tyr901
polyblastidium.squamulosum.1_tyr1128	physciaceae.sp..4_tyr1550	melanelia.culbersonii.1_tyr901
physciaceae.sp..4_tyr3794	physciaceae.sp..4_tyr3794	physciaceae.sp..4_tyr3794
polyblastidium.squamulosum.1_tyr1642	physciaceae.sp..4_tyr3794	physciaceae.sp..4_tyr3794
pilophorus.fibula.1_tyr2273	pilophorus.fibula.1_tyr2273	pilophorus.fibula.1_tyr2273
placynthium.petersii.1_tyr1421	placynthium.petersii.1_tyr1421	placynthium.petersii.1_tyr1421
placynthium.petersii.1_tyr3666	placynthium.petersii.1_tyr3666	placynthium.petersii.1_tyr3666
platismatia.glauca.1_tyr1872	platismatia.glauca.1_tyr1872	alectoria.sarmentosa.3_tyr1179
lecanorales.sp..5_tyr405	platismatia.glauca.1_tyr1872	alectoria.sarmentosa.3_tyr1179
ramalina.petrina.1_tyr2210	platismatia.glauca.1_tyr1872	alectoria.sarmentosa.3_tyr1179
platismatia.glauca.1_tyr3612	platismatia.glauca.1_tyr3612	flavopunctelia.flaventior.1_tyr3604
platismatia.glauca.2_tyr27	platismatia.glauca.2_tyr27	platismatia.glauca.2_tyr27
platismatia.glauca.1_tyr1356	platismatia.glauca.2_tyr27	platismatia.glauca.2_tyr27
platismatia.glauca.3_tyr2772	platismatia.glauca.2_tyr27	platismatia.glauca.2_tyr27
platismatia.glauca.2_tyr3892	platismatia.glauca.2_tyr3892	xanthoparmelia.taractica.1_tyr3364
platismatia.glauca.1_tyr3809	platismatia.glauca.2_tyr3892	xanthoparmelia.taractica.1_tyr3364
platismatia.glauca.2_tyr870	platismatia.glauca.2_tyr870	umbilicaria.crustulosa.2_tyr2366
platismatia.glauca.3_tyr3764	platismatia.glauca.2_tyr870	umbilicaria.crustulosa.2_tyr2366
platismatia.glauca.1_tyr3810	platismatia.glauca.2_tyr870	umbilicaria.crustulosa.2_tyr2366
platismatia.glauca.3_tyr1502	platismatia.glauca.3_tyr1502	usnea.hakonensis.1_tyr1050
platismatia.glauca.3_tyr2090	platismatia.glauca.3_tyr2090	puttea.exsequens.1_tyr4125
platismatia.glauca.3_tyr2149	platismatia.glauca.3_tyr2149	alectoria.sarmentosa.3_tyr1179
platismatia.glauca.3_tyr2295	platismatia.glauca.3_tyr2295	flavopunctelia.flaventior.1_tyr3604
platismatia.glauca.3_tyr3970	platismatia.glauca.3_tyr3970	vulpicida.juniperinus.1_tyr1524
pleopsidium.flavum.1_tyr1541	pleopsidium.flavum.1_tyr1541	pleopsidium.flavum.1_tyr1541
pleopsidium.flavum.1_tyr2871	pleopsidium.flavum.1_tyr2871	pleopsidium.flavum.1_tyr2871
acarospora.strigata.1_tyr462	pleopsidium.flavum.1_tyr2871	pleopsidium.flavum.1_tyr2871
acarospora.strigata.2_tyr842	pleopsidium.flavum.1_tyr2871	pleopsidium.flavum.1_tyr2871
variospora.flavescens.1_tyr4146	pleopsidium.flavum.1_tyr2871	pleopsidium.flavum.1_tyr2871
polyblastidium.squamulosum.1_tyr4040	polyblastidium.squamulosum.1_tyr4040	polyblastidium.squamulosum.1_tyr4040
physciaceae.sp..4_tyr802	polyblastidium.squamulosum.1_tyr4040	polyblastidium.squamulosum.1_tyr4040
polycauliona.sp..2_tyr1326	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
xanthoria.aureola.1_tyr1297	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
variospora.flavescens.1_tyr2402	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
gallowayella.fulva.1_tyr3268	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
OZ2100_003971-T1	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
XcGTX0491_009866-T1	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
scaffold_005633-T1	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
XpGTX0501_007307-T1	polycauliona.sp..2_tyr1326	flavoplaca.marina.2_tyr1816
polycauliona.sp..2_tyr1999	polycauliona.sp..2_tyr1999	umbilicaria.spodochroa.4_tyr2482
polycauliona.sp..2_tyr3658	polycauliona.sp..2_tyr3658	teloschistes.exilis.3_tyr394
porina.heterospora.1_tyr1249	porina.heterospora.1_tyr1249	umbilicaria.hispanica.1_tyr1614
porina.heterospora.1_tyr2130	porina.heterospora.1_tyr2130	porina.heterospora.1_tyr2130
porina.heterospora.1_tyr569	porina.heterospora.1_tyr569	lecanorales.sp..5_tyr406
porpidia.albocaerulescens.1_tyr3320	porpidia.albocaerulescens.1_tyr3320	porpidia.albocaerulescens.1_tyr3320
porpidia.albocaerulescens.1_tyr665	porpidia.albocaerulescens.1_tyr665	usnea.hakonensis.1_tyr3823
porpidia.contraponenda.1_tyr415	porpidia.contraponenda.1_tyr415	porpidia.contraponenda.1_tyr415
porpidia.crustulata.1_tyr1268	porpidia.crustulata.1_tyr1268	lecanorales.sp..5_tyr406
porpidia.crustulata.1_tyr3202	porpidia.crustulata.1_tyr3202	alectoria.sarmentosa.3_tyr1179
porpidia.macrocarpa.1_tyr2736	porpidia.macrocarpa.1_tyr2736	pleopsidium.flavum.1_tyr2871
porpidia.macrocarpa.1_tyr3690	porpidia.macrocarpa.1_tyr3690	porpidia.macrocarpa.1_tyr3690
porpidia.macrocarpa.1_tyr3848	porpidia.macrocarpa.1_tyr3848	porpidia.macrocarpa.1_tyr3848
porpidia.macrocarpa.1_tyr578	porpidia.macrocarpa.1_tyr578	porpidia.macrocarpa.1_tyr578
porpidia.subsimplex.1_tyr2619	porpidia.subsimplex.1_tyr2619	porpidia.subsimplex.1_tyr2619
porpidia.subsimplex.1_tyr2738	porpidia.subsimplex.1_tyr2738	porpidia.subsimplex.1_tyr2738
rhizocarpon.geographicum.1_tyr2823	porpidia.subsimplex.1_tyr2738	porpidia.subsimplex.1_tyr2738
porpidia.subsimplex.1_tyr3802	porpidia.subsimplex.1_tyr3802	porpidia.subsimplex.1_tyr3802
porpidia.subsimplex.1_tyr3915	porpidia.subsimplex.1_tyr3915	porpidia.subsimplex.1_tyr3915
protoblastenia.rupestris.1_tyr3083	protoblastenia.rupestris.1_tyr3083	umbilicaria.hispanica.1_tyr1614
protoblastenia.rupestris.2_tyr2177	protoblastenia.rupestris.2_tyr2177	protoblastenia.rupestris.2_tyr2177
protoblastenia.rupestris.2_tyr3986	protoblastenia.rupestris.2_tyr3986	protoblastenia.rupestris.2_tyr3986
pseudephebe.minuscula.1_tyr2975	pseudephebe.minuscula.1_tyr2975	pseudephebe.minuscula.1_tyr2975
pseudephebe.minuscula.1_tyr3983	pseudephebe.minuscula.1_tyr3983	umbilicaria.crustulosa.2_tyr1381
pseudevernia.cladonia.1_tyr2154	pseudevernia.cladonia.1_tyr2154	umbilicaria.crustulosa.2_tyr2366
pseudevernia.cladonia.1_tyr3410	pseudevernia.cladonia.1_tyr3410	xanthoparmelia.taractica.1_tyr3364
pseudevernia.consocians.1_tyr1255	pseudevernia.consocians.1_tyr1255	flavoparmelia.baltimorensis.1_tyr3090
pseudevernia.consocians.1_tyr2995	pseudevernia.consocians.1_tyr2995	usnea.hakonensis.1_tyr1050
pseudevernia.cladonia.1_tyr1027	pseudevernia.consocians.1_tyr2995	usnea.hakonensis.1_tyr1050
usnea.merrillii.1_tyr2828	pseudevernia.consocians.1_tyr2995	usnea.hakonensis.1_tyr1050
pseudephebe.minuscula.1_tyr3984	pseudevernia.consocians.1_tyr2995	usnea.hakonensis.1_tyr1050
usnea.hakonensis.1_tyr4165	pseudevernia.consocians.1_tyr2995	usnea.hakonensis.1_tyr1050
pseudevernia.consocians.1_tyr3771	pseudevernia.consocians.1_tyr3771	usnea.hakonensis.1_tyr1050
platismatia.glauca.1_tyr1582	pseudevernia.consocians.1_tyr3771	usnea.hakonensis.1_tyr1050
pseudevernia.furfuracea.1_tyr327	pseudevernia.furfuracea.1_tyr327	pseudevernia.furfuracea.1_tyr327
pseudevernia.furfuracea.1_tyr3916	pseudevernia.furfuracea.1_tyr3916	usnea.hakonensis.1_tyr3823
pseudevernia.furfuracea.1_tyr3917	pseudevernia.furfuracea.1_tyr3917	parmotrema.reticulatum.1_tyr3664
pseudevernia.furfuracea.1_tyr86	pseudevernia.furfuracea.1_tyr86	parmotrema.reticulatum.1_tyr3664
pseudevernia.furfuracea.2_tyr1279	pseudevernia.furfuracea.2_tyr1279	usnea.hakonensis.1_tyr3823
evernia.divaricata.1_tyr246	pseudevernia.furfuracea.2_tyr1279	usnea.hakonensis.1_tyr3823
pseudevernia.furfuracea.3_tyr1486	pseudevernia.furfuracea.2_tyr1279	usnea.hakonensis.1_tyr3823
pseudevernia.furfuracea.3_tyr1235	pseudevernia.furfuracea.3_tyr1235	pseudevernia.furfuracea.3_tyr1235
pseudevernia.furfuracea.3_tyr1236	pseudevernia.furfuracea.3_tyr1236	lecanorales.sp..5_tyr406
pseudevernia.furfuracea.2_tyr3696	pseudevernia.furfuracea.3_tyr1236	lecanorales.sp..5_tyr406
pseudevernia.furfuracea.1_tyr3867	pseudevernia.furfuracea.3_tyr1236	lecanorales.sp..5_tyr406
pseudevernia.furfuracea.3_tyr1485	pseudevernia.furfuracea.3_tyr1485	parmeliaceae.sp..1_tyr2917
pseudevernia.furfuracea.4_tyr3413	pseudevernia.furfuracea.4_tyr3413	usnea.hakonensis.1_tyr513
pseudocyphellaria.aurata.1_tyr2535	pseudocyphellaria.aurata.1_tyr2535	pseudocyphellaria.aurata.1_tyr2535
pseudopyrenochaetaceae.sp..1_tyr1768	pseudopyrenochaetaceae.sp..1_tyr1768	pseudopyrenochaetaceae.sp..1_tyr1768
pseudosagedia.isidiata.1_tyr477	pseudosagedia.isidiata.1_tyr477	pseudosagedia.isidiata.1_tyr477
pseudosagedia.isidiata.1_tyr707	pseudosagedia.isidiata.1_tyr707	pseudosagedia.isidiata.1_tyr707
pseudosagedia.sp..1_tyr1320	pseudosagedia.sp..1_tyr1320	pseudosagedia.sp..1_tyr1320
pseudosagedia.sp..1_tyr3004	pseudosagedia.sp..1_tyr3004	pseudosagedia.sp..1_tyr3004
psora.crenata.1_tyr1714	psora.crenata.1_tyr1714	trapelia.coarctata.2_tyr1443
psora.crenata.1_tyr256	psora.crenata.1_tyr256	psora.crenata.1_tyr256
psora.testacea.1_tyr1198	psora.testacea.1_tyr1198	umbilicaria.mammulata.1_tyr624
psora.testacea.1_tyr1362	psora.testacea.1_tyr1362	psora.testacea.1_tyr1362
psora.testacea.1_tyr2544	psora.testacea.1_tyr2544	psora.testacea.1_tyr2544
psora.testacea.1_tyr3628	psora.testacea.1_tyr3628	alectoria.sarmentosa.4_tyr2248
psora.testacea.1_tyr3791	psora.testacea.1_tyr3791	lecanoromycetes.sp..3_tyr106
psora.testacea.1_tyr75	psora.testacea.1_tyr75	lecanorales.sp..2_tyr2300
ptychographa.xylographoides.1_tyr1363	ptychographa.xylographoides.1_tyr1363	ptychographa.xylographoides.1_tyr1363
ptychographa.xylographoides.2_tyr1321	ptychographa.xylographoides.1_tyr1363	ptychographa.xylographoides.1_tyr1363
ptychographa.xylographoides.1_tyr2152	ptychographa.xylographoides.1_tyr2152	ptychographa.xylographoides.1_tyr2152
ptychographa.xylographoides.2_tyr773	ptychographa.xylographoides.1_tyr2152	ptychographa.xylographoides.1_tyr2152
ptychographa.xylographoides.2_tyr1503	ptychographa.xylographoides.2_tyr1503	ptychographa.xylographoides.2_tyr1503
ptychographa.xylographoides.1_tyr768	ptychographa.xylographoides.2_tyr1503	ptychographa.xylographoides.2_tyr1503
punctelia.appalachensis.1_tyr157	punctelia.appalachensis.1_tyr157	punctelia.appalachensis.1_tyr157
punctelia.appalachensis.1_tyr2004	punctelia.appalachensis.1_tyr2004	punctelia.appalachensis.1_tyr2004
punctelia.appalachensis.1_tyr2219	punctelia.appalachensis.1_tyr2219	punctelia.appalachensis.1_tyr2219
punctelia.appalachensis.1_tyr3058	punctelia.appalachensis.1_tyr3058	punctelia.appalachensis.1_tyr3058
punctelia.appalachensis.1_tyr925	punctelia.appalachensis.1_tyr925	lecanorales.sp..2_tyr2300
puttea.exsequens.1_tyr2206	puttea.exsequens.1_tyr2206	lecanoromycetes.sp..3_tyr106
puttea.exsequens.2_tyr414	puttea.exsequens.1_tyr2206	lecanoromycetes.sp..3_tyr106
puttea.exsequens.1_tyr3752	puttea.exsequens.1_tyr3752	puttea.exsequens.1_tyr3752
puttea.exsequens.2_tyr3329	puttea.exsequens.1_tyr3752	puttea.exsequens.1_tyr3752
puttea.exsequens.1_tyr4125	puttea.exsequens.1_tyr4125	puttea.exsequens.1_tyr4125
puttea.exsequens.2_tyr958	puttea.exsequens.1_tyr4125	puttea.exsequens.1_tyr4125
puttea.exsequens.2_tyr972	puttea.exsequens.2_tyr972	puttea.exsequens.2_tyr972
puttea.exsequens.1_tyr618	puttea.exsequens.2_tyr972	puttea.exsequens.2_tyr972
puttea.exsequens.2_tyr973	puttea.exsequens.2_tyr973	puttea.exsequens.2_tyr973
puttea.exsequens.1_tyr619	puttea.exsequens.2_tyr973	puttea.exsequens.2_tyr973
pyrenodesmia.sp..1_tyr3753	pyrenodesmia.sp..1_tyr3753	flavoplaca.limonia.1_tyr3663
pyrrhospora.varians.1_tyr3775	pyrrhospora.varians.1_tyr3775	pyrrhospora.varians.1_tyr3775
ramalina.farinacea.1_tyr3393	ramalina.farinacea.1_tyr3393	ramalina.farinacea.1_tyr3393
ramalina.thrausta.1_tyr1392	ramalina.farinacea.1_tyr3393	ramalina.farinacea.1_tyr3393
ramalina.farinacea.1_tyr4179	ramalina.farinacea.1_tyr4179	ramalina.farinacea.1_tyr4179
ramalina.petrina.1_tyr3342	ramalina.petrina.1_tyr3342	ramalina.petrina.1_tyr3342
ramalina.siliquosa.1_tyr1191	ramalina.siliquosa.1_tyr1191	ramalina.siliquosa.1_tyr1191
ramalina.petrina.1_tyr473	ramalina.siliquosa.1_tyr1191	ramalina.siliquosa.1_tyr1191
ramalina.siliquosa.1_tyr3421	ramalina.siliquosa.1_tyr3421	ramalina.siliquosa.1_tyr3421
ramalina.siliquosa.1_tyr3935	ramalina.siliquosa.1_tyr3935	ramalina.siliquosa.1_tyr3935
ramalina.thrausta.1_tyr185	ramalina.thrausta.1_tyr185	ramalina.thrausta.1_tyr185
rhizocarpon.geographicum.1_tyr1673	rhizocarpon.geographicum.1_tyr1673	baeomycetales.sp..4_tyr1767
rhizocarpon.geographicum.1_tyr1674	rhizocarpon.geographicum.1_tyr1674	rhizocarpon.geographicum.1_tyr1674
rhizocarpon.geographicum.1_tyr3008	rhizocarpon.geographicum.1_tyr3008	rhizocarpon.geographicum.1_tyr3008
rhizocarpon.geographicum.1_tyr3412	rhizocarpon.geographicum.1_tyr3412	lecanorales.sp..2_tyr2300
rhizocarpon.subgeminatum.1_tyr3275	rhizocarpon.subgeminatum.1_tyr3275	rhizocarpon.subgeminatum.1_tyr3275
rhizocarpon.subgeminatum.1_tyr3407	rhizocarpon.subgeminatum.1_tyr3407	rhizocarpon.subgeminatum.1_tyr3407
rhizocarpon.subgeminatum.1_tyr3783	rhizocarpon.subgeminatum.1_tyr3783	lecanoromycetes.sp..3_tyr106
rinodina.dolichospora.1_tyr2026	rinodina.dolichospora.1_tyr2026	rinodina.dolichospora.1_tyr2026
rinodina.dolichospora.1_tyr97	rinodina.dolichospora.1_tyr97	rusavskia.elegans.1_tyr3814
rusavskia.elegans.1_tyr3814	rusavskia.elegans.1_tyr3814	rusavskia.elegans.1_tyr3814
scaffold_007362-T1	scaffold_007362-T1	squamulea.squamosa.1_tyr3214
xanthoria.steineri.1_tyr393	scaffold_007362-T1	squamulea.squamosa.1_tyr3214
scaffold_008752-T1	scaffold_008752-T1	xanthoria.sp..2_tyr633
XpGTX0501_001716-T1	scaffold_008752-T1	xanthoria.sp..2_tyr633
OZ2100_002162-T1	scaffold_008752-T1	xanthoria.sp..2_tyr633
solorina.crocea.1_tyr1256	solorina.crocea.1_tyr1256	lecanorales.sp..5_tyr406
solorina.crocea.1_tyr1762	solorina.crocea.1_tyr1762	stereocaulon.dactylophyllum.1_tyr2212
solorina.crocea.1_tyr2839	solorina.crocea.1_tyr2839	solorina.crocea.1_tyr2839
solorina.crocea.1_tyr2868	solorina.crocea.1_tyr2868	umbilicaria.spodochroa.3_tyr1176
solorina.crocea.1_tyr2911	solorina.crocea.1_tyr2911	solorina.crocea.1_tyr2911
solorina.crocea.1_tyr3472	solorina.crocea.1_tyr3472	solorina.crocea.1_tyr3472
solorina.crocea.1_tyr3630	solorina.crocea.1_tyr3630	solorina.crocea.1_tyr3630
solorina.crocea.1_tyr3631	solorina.crocea.1_tyr3631	gyalolechia.ehrenbergii.1_tyr2514
solorina.crocea.1_tyr4188	solorina.crocea.1_tyr4188	usnea.hakonensis.1_tyr513
solorina.crocea.1_tyr419	solorina.crocea.1_tyr419	solorina.crocea.1_tyr419
solorina.crocea.1_tyr791	solorina.crocea.1_tyr791	solorina.crocea.1_tyr791
squamulea.sp..1_tyr2986	squamulea.sp..1_tyr2986	teloschistes.exilis.3_tyr394
squamulea.squamosa.1_tyr3214	squamulea.squamosa.1_tyr3214	squamulea.squamosa.1_tyr3214
stereocaulon.alpinum.1_tyr1945	stereocaulon.alpinum.1_tyr1945	flavoparmelia.baltimorensis.1_tyr3090
stereocaulon.alpinum.1_tyr237	stereocaulon.alpinum.1_tyr237	alectoria.sarmentosa.3_tyr1179
stereocaulon.alpinum.1_tyr3793	stereocaulon.alpinum.1_tyr3793	rusavskia.elegans.1_tyr3814
stereocaulon.dactylophyllum.1_tyr2212	stereocaulon.dactylophyllum.1_tyr2212	stereocaulon.dactylophyllum.1_tyr2212
stereocaulon.dactylophyllum.1_tyr2235	stereocaulon.dactylophyllum.1_tyr2235	trapelia.coarctata.2_tyr1443
usnea.halei.1_tyr3825	stereocaulon.dactylophyllum.1_tyr2235	trapelia.coarctata.2_tyr1443
stereocaulon.dactylophyllum.1_tyr3962	stereocaulon.dactylophyllum.1_tyr3962	melanelia.culbersonii.1_tyr901
stereocaulon.dactylophyllum.1_tyr921	stereocaulon.dactylophyllum.1_tyr921	flavoparmelia.baltimorensis.1_tyr3090
stereocaulon.alpinum.1_tyr66	stereocaulon.dactylophyllum.1_tyr921	flavoparmelia.baltimorensis.1_tyr3090
stereocaulon.virgatum.1_tyr1494	stereocaulon.virgatum.1_tyr1494	lecanoromycetes.sp..3_tyr106
stereocaulon.virgatum.1_tyr1769	stereocaulon.virgatum.1_tyr1769	stereocaulon.virgatum.1_tyr1769
stereocaulon.virgatum.1_tyr1959	stereocaulon.virgatum.1_tyr1959	lecanorales.sp..2_tyr2300
stereocaulon.virgatum.1_tyr1960	stereocaulon.virgatum.1_tyr1960	lecanoromycetes.sp..3_tyr106
stereocaulon.virgatum.1_tyr2296	stereocaulon.virgatum.1_tyr2296	lecanorales.sp..2_tyr2300
stereocaulon.virgatum.1_tyr3063	stereocaulon.virgatum.1_tyr3063	lasallia.pustulata.1_tyr527
stereocaulon.virgatum.1_tyr3365	stereocaulon.virgatum.1_tyr3365	alectoria.sarmentosa.3_tyr1179
stereocaulon.virgatum.1_tyr4122	stereocaulon.virgatum.1_tyr4122	stereocaulon.virgatum.1_tyr4122
ramalina.siliquosa.1_tyr3423	stereocaulon.virgatum.1_tyr4122	stereocaulon.virgatum.1_tyr4122
sticta.canariensis.1_tyr1098	sticta.canariensis.1_tyr1098	endocarpon.pusillum.2_tyr350
sticta.canariensis.1_tyr1454	sticta.canariensis.1_tyr1454	sticta.canariensis.1_tyr1454
sticta.canariensis.1_tyr180	sticta.canariensis.1_tyr180	porpidia.subsimplex.1_tyr3915
sticta.canariensis.1_tyr3468	sticta.canariensis.1_tyr3468	sticta.canariensis.1_tyr3468
sticta.canariensis.1_tyr4091	sticta.canariensis.1_tyr4091	umbilicaria.hispanica.1_tyr1614
sticta.canariensis.1_tyr72	sticta.canariensis.1_tyr72	sticta.canariensis.1_tyr72
sticta.sp..1_tyr2883	sticta.sp..1_tyr2883	sticta.sp..1_tyr2883
stictis.urceolata.1_tyr1403	stictis.urceolata.1_tyr1403	stictis.urceolata.1_tyr1403
stictis.urceolata.2_tyr149	stictis.urceolata.1_tyr1403	stictis.urceolata.1_tyr1403
stictis.urceolata.1_tyr1442	stictis.urceolata.1_tyr1442	stictis.urceolata.1_tyr1442
stictis.urceolata.1_tyr1760	stictis.urceolata.1_tyr1760	stictis.urceolata.2_tyr1426
stictis.urceolata.1_tyr1936	stictis.urceolata.1_tyr1936	alectoria.sarmentosa.4_tyr2248
stictis.urceolata.2_tyr519	stictis.urceolata.1_tyr1936	alectoria.sarmentosa.4_tyr2248
stictis.urceolata.1_tyr2397	stictis.urceolata.1_tyr2397	umbilicaria.hispanica.1_tyr1614
stictis.urceolata.2_tyr1764	stictis.urceolata.1_tyr2397	umbilicaria.hispanica.1_tyr1614
stictis.urceolata.1_tyr2464	stictis.urceolata.1_tyr2464	umbilicaria.hispanica.1_tyr1614
stictis.urceolata.2_tyr738	stictis.urceolata.1_tyr2464	umbilicaria.hispanica.1_tyr1614
stictis.urceolata.1_tyr4160	stictis.urceolata.1_tyr4160	stictis.urceolata.1_tyr4160
stictis.urceolata.1_tyr685	stictis.urceolata.1_tyr685	stictis.urceolata.1_tyr685
stictis.urceolata.2_tyr2309	stictis.urceolata.1_tyr685	stictis.urceolata.1_tyr685
stictis.urceolata.2_tyr1426	stictis.urceolata.2_tyr1426	stictis.urceolata.2_tyr1426
stictis.urceolata.2_tyr224	stictis.urceolata.2_tyr224	stictis.urceolata.2_tyr224
stictis.urceolata.1_tyr128	stictis.urceolata.2_tyr224	stictis.urceolata.2_tyr224
stictis.urceolata.2_tyr2470	stictis.urceolata.2_tyr2470	stictis.urceolata.2_tyr2470
stictis.urceolata.1_tyr1911	stictis.urceolata.2_tyr2470	stictis.urceolata.2_tyr2470
stictis.urceolata.2_tyr2769	stictis.urceolata.2_tyr2769	stictis.urceolata.2_tyr2769
stictis.urceolata.2_tyr3715	stictis.urceolata.2_tyr3715	stictis.urceolata.2_tyr3715
stictis.urceolata.2_tyr3841	stictis.urceolata.2_tyr3841	alectoria.sarmentosa.4_tyr2248
stictis.urceolata.1_tyr3	stictis.urceolata.2_tyr3841	alectoria.sarmentosa.4_tyr2248
stictis.urceolata.2_tyr390	stictis.urceolata.2_tyr390	stictis.urceolata.2_tyr390
teloschistales.sp..1_tyr3354	teloschistales.sp..1_tyr3354	lecanorales.sp..5_tyr406
teloschistes.chrysophthalmus.1_tyr1428	teloschistes.chrysophthalmus.1_tyr1428	teloschistes.exilis.1_tyr3101
teloschistes.chrysophthalmus.2_tyr3795	teloschistes.chrysophthalmus.1_tyr1428	teloschistes.exilis.1_tyr3101
teloschistes.chrysophthalmus.2_tyr2575	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
gallowayella.weberi.2_tyr270	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
fulgogasparrea.decipioides.1_tyr1677	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
wetmoreana.sp..1_tyr1795	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
teloschistes.peruensis.1_tyr2131	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
rusavskia.elegans.1_tyr2539	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
polycauliona.sp..2_tyr2944	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
flavoplaca.marina.2_tyr3240	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
letrouitia.transgressa.2_tyr3948	teloschistes.chrysophthalmus.2_tyr2575	lecanorales.sp..5_tyr406
teloschistes.chrysophthalmus.2_tyr3936	teloschistes.chrysophthalmus.2_tyr3936	cladonia.diversa.2_tyr1126
teloschistes.exilis.1_tyr2992	teloschistes.exilis.1_tyr2992	rusavskia.elegans.1_tyr3814
teloschistes.exilis.2_tyr2742	teloschistes.exilis.1_tyr2992	rusavskia.elegans.1_tyr3814
teloschistes.exilis.1_tyr3101	teloschistes.exilis.1_tyr3101	teloschistes.exilis.1_tyr3101
teloschistes.chrysophthalmus.1_tyr980	teloschistes.exilis.1_tyr3101	teloschistes.exilis.1_tyr3101
teloschistes.exilis.2_tyr4051	teloschistes.exilis.1_tyr3101	teloschistes.exilis.1_tyr3101
teloschistes.exilis.1_tyr3137	teloschistes.exilis.1_tyr3137	teloschistes.exilis.3_tyr1984
teloschistes.exilis.2_tyr4052	teloschistes.exilis.1_tyr3137	teloschistes.exilis.3_tyr1984
teloschistes.exilis.1_tyr3644	teloschistes.exilis.1_tyr3644	umbilicaria.spodochroa.4_tyr2482
teloschistes.exilis.1_tyr919	teloschistes.exilis.1_tyr919	teloschistes.exilis.3_tyr394
teloschistes.exilis.3_tyr2312	teloschistes.exilis.1_tyr919	teloschistes.exilis.3_tyr394
teloschistes.exilis.2_tyr2659	teloschistes.exilis.1_tyr919	teloschistes.exilis.3_tyr394
teloschistes.exilis.2_tyr1555	teloschistes.exilis.2_tyr1555	lecanorales.sp..6_tyr1295
teloschistes.exilis.2_tyr3488	teloschistes.exilis.2_tyr3488	teloschistes.exilis.2_tyr3488
teloschistes.exilis.1_tyr87	teloschistes.exilis.2_tyr3488	teloschistes.exilis.2_tyr3488
teloschistes.exilis.2_tyr3635	teloschistes.exilis.2_tyr3635	teloschistes.exilis.2_tyr3635
teloschistes.exilis.1_tyr3279	teloschistes.exilis.2_tyr3635	teloschistes.exilis.2_tyr3635
teloschistes.exilis.3_tyr1430	teloschistes.exilis.3_tyr1430	teloschistes.exilis.3_tyr1430
teloschistes.exilis.3_tyr1984	teloschistes.exilis.3_tyr1984	teloschistes.exilis.3_tyr1984
teloschistes.exilis.3_tyr2165	teloschistes.exilis.3_tyr2165	teloschistes.exilis.3_tyr2165
teloschistes.exilis.3_tyr3078	teloschistes.exilis.3_tyr3078	teloschistes.exilis.3_tyr3078
teloschistes.exilis.3_tyr394	teloschistes.exilis.3_tyr394	teloschistes.exilis.3_tyr394
teloschistes.chrysophthalmus.1_tyr2102	teloschistes.exilis.3_tyr394	teloschistes.exilis.3_tyr394
teloschistes.chrysophthalmus.2_tyr2422	teloschistes.exilis.3_tyr394	teloschistes.exilis.3_tyr394
teloschistes.exilis.3_tyr4193	teloschistes.exilis.3_tyr4193	xanthoria.sp..2_tyr633
teloschistes.flavicans.2_tyr4102	teloschistes.flavicans.2_tyr4102	teloschistes.exilis.3_tyr1984
teloschistes.hypoglaucus.1_tyr3519	teloschistes.hypoglaucus.1_tyr3519	lecanorales.sp..6_tyr1295
teloschistes.exilis.3_tyr560	teloschistes.hypoglaucus.1_tyr3519	lecanorales.sp..6_tyr1295
