>SBS000001 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034207.1:4887211.0-4979594.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000169 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499596.1:3104563.0-3129159.0] [family=None]
>SBS000170 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=WIPF01000002.1:288914.0-393880.0] [assembly=GCA_011066925.1] [family=Moya]
>SBS000171 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=Chr4AoryzaeRIB40:3311120.0-3391168.0] [family=Enterprise]
>SBS000172 [organism=Aspergillus creber] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAJAEB010000003.1:456793.0-509028.0] [family=Hephaestus]
>SBS000173 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=DS028093.1:5265531.0-5329690.0] [family=Phoenix]
>SBS000174 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGXKD010000001.1:1232700.0-1288318.0] [family=Prometheus]
>SBS000175 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGXKE010000008.1:3497045.0-3547352.0] [family=Prometheus]
>SBS000176 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JABULI020000001.1:3774812.0-3893594.0] [family=Prometheus]
>SBS000177 [organism=Aspergillus sojae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DF340821.1:200685.0-249041.0] [family=Enterprise]
>SBS000178 [organism=Ilyonectria sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Ilyonectria] [location=scaffold8:2277491.0-2460325.0] [assembly=GCA_020740775.1] [family=Galactica]
>SBS000179 [organism=Botryosphaeria dothidea] [lineage=Fungi; Botryosphaeriales; Botryosphaeriaceae; Botryosphaeria] [location=None:nan-nan] [family=Voyager]
>SBS000180 [organism=Aspergillus felis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Voyager]
>SBS000181 [organism=Fusarium sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=scaffold4:4618994.0-4707424.0] [assembly=GCF_020744385.1] [family=None]
>SBS000183 [organism=Aspergillus unguis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGUQC010000004.1:767796.0-883296.0] [family=Phoenix]
>SBS000185 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069104.1:1672151.0-1927000.0] [family=Tardis]
>SBS000186 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QPMX01000006.1:3986702.0-4091871.0] [assembly=GCA_013390205.1] [family=Prometheus]
>SBS000187 [organism=Fusarium citri] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=QHHH01000182.1:190969.0-216021.0] [family=Galactica]
>SBS000188 [organism=Aspergillus spinulosporus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=QPHH01000053.1:2092.0-46808.0] [family=Prometheus]
>SBS000189 [organism=Talaromyces islandicus] [lineage=Fungi; Eurotiales; Trichocomaceae; Talaromyces] [location=None:nan-nan] [family=Hephaestus]
>SBS000190 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=ANPB02000006.1:2680903.0-2754355.0] [assembly=GCF_000319635.2] [family=Prometheus]
>SBS000191 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=None]
>SBS000192 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000193 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGXKE010000013.1:332623.0-390450.0] [family=Enterprise]
>SBS000194 [organism=Aspergillus chevalieri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024416.1:1258899.0-1316306.0] [family=Hephaestus]
>SBS000195 [organism=Fusarium virguliforme] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGQA010000004.1:4141885.0-4188240.0] [family=Phoenix]
>SBS000196 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024438.1:280122.0-522557.0] [family=Prometheus]
>SBS000197 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=SSNE01000026.1:330361.0-387534.0] [assembly=GCF_009771025.1] [family=Galactica]
>SBS000198 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=Chr1AfumigatusAf293:4343061.0-4400403.0] [family=Hephaestus]
>SBS000199 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VWYB01000012.1:534856.0-583774.0] [family=Hephaestus]
>SBS000200 [organism=Fusarium sp.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAHBOG010000008.1:220955.0-306635.0] [family=Phoenix]
>SBS000201 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VWYB01000033.1:117409.0-140237.0] [family=Tardis]
>SBS000202 [organism=Blastomyces dermatitidis] [lineage=Fungi; Onygenales; Ajellomycetaceae; Blastomyces] [location=Supercontig6:2863239.0-2924855.0] [family=Prometheus]
>SBS000203 [organism=Lasiodiplodia theobromae] [lineage=Fungi; Botryosphaeriales; Botryosphaeriaceae; Lasiodiplodia] [location=KZ107830.1:2671758.0-2744468.0] [assembly=GCA_002111425.1] [family=Voyager]
>SBS000204 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=scaffold2:1038019.0-1100263.0] [family=Hephaestus]
>SBS000205 [organism=Aspergillus sp.] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGXKD010000011.1:2134149.0-2463451.0] [family=Phoenix]
>SBS000206 [organism=Aspergillus westerdijkiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LKBE01000001.1:996008.0-1049584.0] [family=Tardis]
>SBS000207 [organism=Aspergillus calidoustus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold1:1418600.0-1794302.0] [family=None]
>SBS000208 [organism=Metarhizium brunneum] [lineage=Fungi; Hypocreales; Clavicipitaceae; Metarhizium] [location=scaffold11:379236.0-446305.0] [family=Phoenix]
>SBS000209 [organism=Cladophialophora psammophila] [lineage=Fungi; Chaetothyriales; Herpotrichiellaceae; Cladophialophora] [location=None:nan-nan] [family=Arwing]
>SBS000210 [organism=Alternaria tenuissima] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=None:nan-nan] [family=Voyager]
>SBS000211 [organism=Fusarium fujikuroi] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CP023106.1:2804807.0-2924212.0] [family=Galactica]
>SBS000212 [organism=Letharia lupina] [lineage=Fungi; Lecanorales; Parmeliaceae; Letharia] [location=None:nan-nan] [family=Arwing]
>SBS000213 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=WIQY01000067.1:58385.0-136658.0] [assembly=GCA_011066585.1] [family=Phoenix]
>SBS000214 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADLZR010000224.1:242063.0-291406.0] [family=Enterprise]
>SBS000215 [organism=Aspergillus unguis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAGUQC010000003.1:2154358.0-2267398.0] [family=Tardis]
>SBS000216 [organism=Aspergillus novoparasiticus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=ML733409.1:176073.0-193014.0] [family=Tardis]
>SBS000217 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JACYHG010000017.1:433390.0-453927.0] [family=Prometheus]
>SBS000219 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BA000054.1:3823181.0-3932214.0] [family=Enterprise]
>SBS000220 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=AP024427.1:4365075.0-4633634.0] [family=Phoenix]
>SBS000221 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig5:270743.0-291613.0] [family=Phoenix]
>SBS000222 [organism=Monosporascus sp.] [lineage=Fungi; Xylariales; None; Monosporascus] [location=QJNV01000053.1:107646.0-197336.0] [assembly=GCA_004155935.1] [family=Phoenix]
>SBS000223 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig3:2166410.0-2193363.0] [family=Tardis]
>SBS000224 [organism=Paecilomyces variotii] [lineage=Fungi; Eurotiales; Thermoascaceae; Paecilomyces] [location=None:nan-nan] [family=Hephaestus]
>SBS000225 [organism=Fusarium cf.] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=WEVB01000058.1:18405.0-53315.0] [family=Phoenix]
>SBS000226 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig2:967175.0-1014862.0] [family=Prometheus]
>SBS000227 [organism=Paecilomyces variotii] [lineage=Fungi; Eurotiales; Thermoascaceae; Paecilomyces] [location=None:nan-nan] [family=Galactica]
>SBS000229 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CM032459.1:2186933.0-2285342.0] [family=Voyager]
>SBS000230 [organism=Verticillium dahliae] [lineage=Fungi; Glomerellales; Plectosphaerellaceae; Verticillium] [location=scaffold4:926226.0-949093.0] [assembly=GCA_020726535.1] [family=None]
>SBS000231 [organism=Fusarium pilosicola] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGQDI010000006.1:3408202.0-3502687.0] [family=Phoenix]
>SBS000232 [organism=Alternaria solani] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CP022024.1:1744502.0-1841491.0] [family=Voyager]
>SBS000233 [organism=Fusarium asiaticum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JABFEQ010000036.1:58644.0-86976.0] [family=Arwing]
>SBS000234 [organism=Sporothrix brasiliensis] [lineage=Fungi; Ophiostomatales; Ophiostomataceae; Sporothrix] [location=Cont15:1664594.0-1721443.0] [family=Phoenix]
>SBS000235 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CM034652.1:3028043.0-3170532.0] [family=Prometheus]
>SBS000236 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000237 [organism=Verticillium dahliae] [lineage=Fungi; Glomerellales; Plectosphaerellaceae; Verticillium] [location=scaffold11:915627.0-1466381.0] [assembly=GCA_020726535.1] [family=Arwing]
>SBS000238 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig1:5724639.0-5776055.0] [family=Galactica]
>SBS000239 [organism=Aspergillus cristatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold12:386029.0-424604.0] [family=Arwing]
>SBS000240 [organism=Fusarium poae] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=None:nan-nan] [family=Galactica]
>SBS000241 [organism=Aspergillus unguis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADBGV010000004.1:1857943.0-1973554.0] [family=Phoenix]
>SBS000242 [organism=Fusarium nanum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=QGDY01000130.1:138550.0-158932.0] [family=Family-11]
>SBS000243 [organism=Aspergillus nidulans] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAFYM010000034.1:409873.0-451719.0] [family=Galactica]
>SBS000244 [organism=Aspergillus fumigatiaffinis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAAPY010000002.1:222840.0-270021.0] [family=Enterprise]
>SBS000245 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=Supercontig3:1841218.0-1935838.0] [family=Prometheus]
>SBS000246 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADLZP010000246.1:42944.0-90469.0] [family=Enterprise]
>SBS000247 [organism=Pyricularia oryzae] [lineage=Fungi; Magnaporthales; Pyriculariaceae; Pyricularia] [location=CP034204.1:3598290.0-3824959.0] [assembly=GCA_004346965.1] [family=Arwing]
>SBS000248 [organism=Fusarium aethiopicum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAGDVJ010000014.1:381330.0-399335.0] [family=Arwing]
>SBS000249 [organism=Fonsecaea nubica] [lineage=Fungi; Chaetothyriales; Herpotrichiellaceae; Fonsecaea] [location=None:nan-nan] [family=Galactica]
>SBS000250 [organism=Paracoccidioides brasiliensis] [lineage=Fungi; Onygenales; None; Paracoccidioides] [location=KN275960.1:796734.0-812902.0] [family=Tardis]
>SBS000251 [organism=Cladophialophora psammophila] [lineage=Fungi; Chaetothyriales; Herpotrichiellaceae; Cladophialophora] [location=None:nan-nan] [family=None]
>SBS000252 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KQ087374.1:111914.0-177132.0] [family=Enterprise]
>SBS000253 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030947.1:1202457.0-1263739.0] [family=Phoenix]
>SBS000254 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig1:1223651.0-1302538.0] [family=Prometheus]
>SBS000255 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=Chr5AfumigatusAf293:3842374.0-3895493.0] [family=Hephaestus]
>SBS000256 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JABULI020000006.1:2439736.0-2479555.0] [family=Prometheus]
>SBS000257 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=RSAI01000017.1:242563.0-331464.0] [family=Arwing]
>SBS000258 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM030949.1:3359595.0-3458485.0] [family=Enterprise]
>SBS000259 [organism=Aspergillus fumigatiaffinis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAAPW010000035.1:22703.0-96745.0] [family=Enterprise]
>SBS000260 [organism=Alternaria consortialis] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=BCGG01000008.1:2196938.0-2297583.0] [family=Voyager]
>SBS000261 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP059858.1:2452810.0-2530214.0] [family=Prometheus]
>SBS000262 [organism=Fusarium solani] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=WUYW01000016.1:436120.0-552930.0] [family=Arwing]
>SBS000263 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=Chromosome13:2464524.0-2553426.0] [family=Arwing]
>SBS000264 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAKEP010000054.1:23937.0-48707.0] [family=Enterprise]
>SBS000265 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=PCZV01000023.1:267683.0-362083.0] [family=Enterprise]
>SBS000266 [organism=Aspergillus arachidicola] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=ML737112.1:859059.0-908563.0] [family=Galactica]
>SBS000267 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP061810.1:39663.0-178270.0] [family=Enterprise]
>SBS000268 [organism=Aspergillus welwitschiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=KZ852039.1:539123.0-621404.0] [family=Enterprise]
>SBS000269 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JADLZR010000307.1:315798.0-391022.0] [family=Galactica]
>SBS000270 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499596.1:2944255.0-3025828.0] [family=Enterprise]
>SBS000271 [organism=Aspergillus nidulans] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BN001307.1:82840.0-128769.0] [family=Enterprise]
>SBS000272 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=JAHLEY010000013.1:1916146.0-2001433.0] [family=Voyager]
>SBS000273 [organism=Fusarium udum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=NIFK01000006.1:3121679.0-3196501.0] [family=Arwing]
>SBS000274 [organism=Blastomyces dermatitidis] [lineage=Fungi; Onygenales; Ajellomycetaceae; Blastomyces] [location=GL538476.1:92990.0-163645.0] [family=Prometheus]
>SBS000275 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=CP064748.1:6993537.0-7033886.0] [family=Serenity]
>SBS000276 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=RIBO01000004.1:3162190.0-3215961.0] [family=Prometheus]
>SBS000277 [organism=Aspergillus luchuensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BJBS01000012.1:736067.0-788031.0] [family=Prometheus]
>SBS000278 [organism=Aspergillus udagawae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BLKF01000085.1:86522.0-110066.0] [family=Tardis]
>SBS000279 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=WIQY01000001.1:81154.0-111097.0] [assembly=GCA_011066585.1] [family=Phoenix]
>SBS000280 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=JAHLEY010000006.1:6360355.0-6434712.0] [family=Voyager]
>SBS000281 [organism=Fusarium sporotrichioides] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAHKNS010000002.1:2744948.0-2887524.0] [family=Enterprise]
>SBS000282 [organism=Colletotrichum fructicola] [lineage=Fungi; Glomerellales; Glomerellaceae; Colletotrichum] [location=QLYQ01000050.1:67579.0-140949.0] [assembly=GCA_012932255.1] [family=Prometheus]
>SBS000283 [organism=Pyrenophora tritici-repentis] [lineage=Fungi; Pleosporales; Pleosporaceae; Pyrenophora] [location=None:nan-nan] [family=None]
>SBS000284 [organism=Alternaria longipes] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=CM032459.1:2186984.0-2285343.0] [family=Voyager]
>SBS000285 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAJGYP010000006.1:2127006.0-2297341.0] [family=Galactica]
>SBS000286 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM033102.1:3657832.0-3709290.0] [family=Prometheus]
>SBS000287 [organism=Fusarium oxysporum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=scaffold28:197785.0-292902.0] [assembly=GCA_020744455.1] [family=Arwing]
>SBS000289 [organism=Aspergillus sydowii] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold2:2576163.0-2682904.0] [assembly=GCF_001890705.1] [family=Tardis]
>SBS000290 [organism=Pseudogymnoascus sp.] [lineage=Fungi; None; Pseudeurotiaceae; Pseudogymnoascus] [location=KV458829.1:93842.0-122416.0] [family=Prometheus]
>SBS000291 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000292 [organism=Fusarium oxyspoum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=None:nan-nan] [family=Arwing]
>SBS000293 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM033101.1:3242245.0-3317649.0] [family=Enterprise]
>SBS000294 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig1:1727188.0-1774791.0] [family=Prometheus]
>SBS000295 [organism=Alternaria alternata] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=VEOJ01000001.1:5316932.0-5434006.0] [family=Serenity]
>SBS000296 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP061811.2:226507.0-284386.0] [family=Prometheus]
>SBS000297 [organism=Aspergillus persii] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=NGZO01000008.1:747831.0-791244.0] [family=Hephaestus]
>SBS000298 [organism=Metarhizium robertsii] [lineage=Fungi; Hypocreales; Clavicipitaceae; Metarhizium] [location=GL698729.1:131491.0-240437.0] [family=Arwing]
>SBS000299 [organism=Penicillium griseoroseum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000300 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=Pc00c15:295931.0-314720.0] [family=None]
>SBS000301 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=Supercontig6:2111205.0-2128156.0] [family=Prometheus]
>SBS000302 [organism=Aspergillus welwitschiae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=scaffold27:161143.0-221333.0] [assembly=GCF_003344945.1] [family=Prometheus]
>SBS000303 [organism=Aspergillus niger] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=LLBX01000009.1:3160495.0-3267666.0] [family=Enterprise]
>SBS000305 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=VWYA01000013.1:272329.0-299622.0] [family=Tardis]
>SBS000307 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=WHVT01000018.1:69210.0-126120.0] [assembly=GCA_016748045.1] [family=Phoenix]
>SBS000308 [organism=Penicillium rubens] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=AM920436.1:863490.0-975169.0] [assembly=GCF_000226395.1] [family=Galactica]
>SBS000309 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499599.1:872613.0-960539.0] [family=Prometheus]
>SBS000310 [organism=Paracoccidioides brasiliensis] [lineage=Fungi; Onygenales; None; Paracoccidioides] [location=supercont5:1586774.0-1635579.0] [family=Phoenix]
>SBS000311 [organism=Aspergillus clavatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS026990.1:109041.0-126616.0] [family=Phoenix]
>SBS000312 [organism=Aspergillus flavus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CP059858.1:607240.0-916843.0] [family=Galactica]
>SBS000313 [organism=Aspergillus fumigatiaffinis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAAPW010000009.1:224900.0-271962.0] [family=Enterprise]
>SBS000314 [organism=Aspergillus terreus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JACYHG010000001.1:1593701.0-1647844.0] [family=Tardis]
>SBS000315 [organism=Aspergillus tubingensis] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JACVQP010000005.1:307607.0-406325.0] [family=Enterprise]
>SBS000316 [organism=Aspergillus oryzae] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=BA000054.1:3726272.0-3768606.0] [family=Prometheus]
>SBS000317 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS499598.1:2382111.0-2474627.0] [family=Prometheus]
>SBS000318 [organism=Penicillium chrysogenum] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Hephaestus]
>SBS000319 [organism=Orbilia oligospora] [lineage=Fungi; Orbiliales; Orbiliaceae; Orbilia] [location=SOZJ01000003.1:4272194.0-4359606.0] [assembly=GCA_004768765.1] [family=Tardis]
>SBS000320 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Prometheus]
>SBS000321 [organism=Penicilliopsis zonata] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicilliopsis] [location=None:nan-nan] [family=Prometheus]
>SBS000322 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=JAHKOU010000004.1:520709.0-546998.0] [family=Arwing]
>SBS000323 [organism=Aspergillus fischeri] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=DS027697.1:1278275.0-1326835.0] [assembly=GCF_000149645.3] [family=Enterprise]
>SBS000324 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=Supercontig3:1298864.0-1603538.0] [family=Enterprise]
>SBS000325 [organism=Fusarium culmorum] [lineage=Fungi; Hypocreales; Nectriaceae; Fusarium] [location=None:nan-nan] [family=None]
>SBS000326 [organism=Aspergillus nidulans] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=None:nan-nan] [family=Hephaestus]
>SBS000327 [organism=Aspergillus nidulans] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=JAAFYL010000042.1:3302309.0-3384020.0] [family=Hephaestus]
>SBS000328 [organism=Histoplasma capsulatum] [lineage=Fungi; Onygenales; Ajellomycetaceae; Histoplasma] [location=CP069122.1:3068543.0-3199835.0] [family=Prometheus]
>SBS000329 [organism=Penicillium roqueforti] [lineage=Fungi; Eurotiales; Aspergillaceae; Penicillium] [location=None:nan-nan] [family=Galactica]
>SBS000330 [organism=Alternaria consortialis] [lineage=Fungi; Pleosporales; Pleosporaceae; Alternaria] [location=BCGG01000003.1:1022884.0-1152235.0] [family=Voyager]
>SBS000331 [organism=Coccidioides immitis] [lineage=Fungi; Onygenales; None; Coccidioides] [location=DS028095.1:2492478.0-2520784.0] [family=Prometheus]
>SBS000332 [organism=Kretzschmaria deusta] [lineage=Fungi; Xylariales; Xylariaceae; Kretzschmaria] [location=scaffold46:168277.0-365638.0] [assembly=GCA_023159155.1] [family=Arwing]
>SBS000333 [organism=Aspergillus fumigatus] [lineage=Fungi; Eurotiales; Aspergillaceae; Aspergillus] [location=CM000176.1:1455740.0-1544644.0] [family=Tardis]
